seed,b_index,step,n_alive,n_freeze_win
6,88,880000,2,0
6,89,890000,2,0
6,90,900000,3,0
6,91,910000,6,1
6,92,920000,5,0
6,93,930000,8,0
6,94,940000,7,0
6,95,950000,5,0
6,96,960000,7,0
6,97,970000,6,0
6,98,980000,5,1
6,99,990000,4,0
7,1,10000,63,4
7,2,20000,50,2
7,3,30000,56,3
7,4,40000,55,5
7,5,50000,54,7
7,6,60000,51,9
7,7,70000,38,3
7,8,80000,29,3
7,9,90000,32,7
7,10,100000,42,6
7,11,110000,36,8
7,12,120000,33,4
7,13,130000,29,6
7,14,140000,23,3
7,15,150000,33,9
7,16,160000,22,0
7,17,170000,23,1
7,18,180000,16,2
7,19,190000,15,3
7,20,200000,10,2
7,21,210000,10,1
7,22,220000,7,2
7,23,230000,5,0
7,24,240000,6,3
7,25,250000,1,0
7,26,260000,4,3
7,27,270000,5,0
7,28,280000,11,2
7,29,290000,21,5
7,30,300000,14,3
7,31,310000,19,4
7,32,320000,24,11
7,33,330000,13,4
7,34,340000,10,1
7,35,350000,15,3
7,36,360000,17,2
7,37,370000,19,4
7,38,380000,19,7
7,39,390000,19,5
7,40,400000,13,1
7,41,410000,13,5
7,42,420000,8,0
7,43,430000,6,1
7,44,440000,6,1
7,45,450000,6,1
7,46,460000,5,2
7,47,470000,2,0
7,48,480000,5,0
7,49,490000,3,0
7,50,500000,5,0
7,51,510000,8,0
7,52,520000,10,1
7,53,530000,12,4
7,54,540000,9,3
7,55,550000,8,0
7,56,560000,14,3
7,57,570000,10,0
7,58,580000,20,6
7,59,590000,13,2
7,60,600000,10,0
7,61,610000,13,5
7,62,620000,7,1
7,63,630000,4,0
7,64,640000,4,2
7,65,650000,0,0
7,66,660000,4,1
7,67,670000,5,1
7,68,680000,4,2
7,69,690000,4,2
7,70,700000,2,0
7,71,710000,2,0
7,72,720000,3,0
7,73,730000,4,1
7,74,740000,3,0
7,75,750000,2,0
7,76,760000,1,0
7,77,770000,0,0
7,78,780000,0,0
7,79,790000,0,0
7,80,800000,3,0
7,81,810000,2,0
7,82,820000,1,0
7,83,830000,2,1
7,84,840000,1,0
7,85,850000,1,0
7,86,860000,3,0
7,87,870000,3,0
7,88,880000,4,2
7,89,890000,2,0
7,90,900000,2,0
7,91,910000,3,1
7,92,920000,2,0
7,93,930000,2,0
7,94,940000,3,1
7,95,950000,2,1
7,96,960000,4,1
7,97,970000,6,1
7,98,980000,3,0
7,99,990000,7,3
8,1,10000,75,7
8,2,20000,59,7
8,3,30000,58,6
8,4,40000,44,1
8,5,50000,52,1
8,6,60000,53,9
8,7,70000,44,6
8,8,80000,48,14
8,9,90000,35,5
8,10,100000,36,2
8,11,110000,42,3
8,12,120000,46,5
8,13,130000,56,4
8,14,140000,57,11
8,15,150000,54,15
8,16,160000,43,6
8,17,170000,33,3
8,18,180000,40,10
8,19,190000,28,4
8,20,200000,28,7
8,21,210000,25,6
8,22,220000,17,4
8,23,230000,11,2
8,24,240000,12,3
8,25,250000,8,1
8,26,260000,4,1
8,27,270000,1,0
8,28,280000,6,1
8,29,290000,8,2
8,30,300000,16,1
8,31,310000,18,0
8,32,320000,30,5
8,33,330000,42,8
8,34,340000,32,3
8,35,350000,30,3
8,36,360000,25,2
8,37,370000,27,3
8,38,380000,19,3
8,39,390000,15,0
8,40,400000,20,0
8,41,410000,21,3
8,42,420000,20,1
8,43,430000,27,8
8,44,440000,17,2
8,45,450000,14,2
8,46,460000,12,3
8,47,470000,8,0
8,48,480000,13,2
8,49,490000,24,8
8,50,500000,24,4
8,51,510000,16,0
8,52,520000,26,3
8,53,530000,32,6
8,54,540000,23,5
8,55,550000,17,4
8,56,560000,13,1
8,57,570000,14,7
8,58,580000,8,0
8,59,590000,9,1
8,60,600000,11,2
8,61,610000,3,0
8,62,620000,12,5
8,63,630000,5,0
8,64,640000,5,0
8,65,650000,7,1
8,66,660000,8,2
8,67,670000,7,1
8,68,680000,4,1
8,69,690000,4,1
8,70,700000,7,2
8,71,710000,8,0
8,72,720000,8,2
8,73,730000,5,0
8,74,740000,6,1
8,75,750000,6,2
8,76,760000,6,0
8,77,770000,7,0
8,78,780000,6,1
8,79,790000,5,2
8,80,800000,2,1
8,81,810000,1,0
