arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKT1,std,0,0,0.0001,28,0,1,0.9675080128,1,1,1,0,0,-1.733781457,6.532192707,-8.29949379,0.8596922755,50.47552535,0,0,-2.843644619,5.067225456,-10.93897724,0.7112263441,47.22137124,1.128851295,0.6438024044,0.7353981137,0.09211280942,0.0345011875,0.1993262768,0,1.200000048,0.1201672852,0.05004306138,0.2392443568,0,1.200000048
KKT1,std,0,0,0.0001,29,1,5,0.6898237179,0.8295999765,0.7180000544,0.8295999765,0,0,-0.2370065153,7.612297058,-3.637725353,0.9732220173,53.92210551,0,0,-2.087986946,6.023149967,-12.32993889,0.8471790552,49.5987018,1.173268318,0.6451433301,0.7394384742,0.08111019433,0.0269869715,0.1839112937,0,1.200000048,0.104334034,0.03312519938,0.2305249721,0,1.200000048
KKT1,std,0,0,0.0001,30,0,1,0.9762820513,1,0.9799999595,1,0,0,-3.389135838,7.244664192,-13.048522,0.7728887796,45.80466987,0,0,-2.241431475,5.880600929,-12.83434296,0.8251506686,41.75183002,1.176173091,0.6419613957,0.7416082025,0.08404549956,0.0204275474,0.1668557525,0,1.200000048,0.1042141244,0.03371189162,0.2204663754,0,1.200000048
KKT1,std,1,1,0.0001,1,1,5,0.718349359,0.8631999493,0.6540000439,0.8631999493,0,0,0.3064664602,3.931164742,-5.083332062,1.064131021,32.49904646,0,0,0.5418725014,3.465350389,-8.063412666,1.069530487,32.69772416,0.660808742,0.5972760916,0.6124907136,0.1581613719,0.03938778117,0.9315472245,0,1.200000048,0.1826870739,0.0696093142,0.4942124188,0,1.200000048
KKT1,std,1,1,0.0001,2,0,1,0.9721955128,1,0.9499999881,1,0,0,-0.8199753761,2.825421333,-4.34516573,0.8294855356,29.35997507,0,0,-0.2085935771,2.925125599,-7.50249815,0.9446721673,27.52683807,0.6558408141,0.5976296663,0.6243252158,0.213446632,0.03735147417,0.7759821415,0,1.200000048,0.208893016,0.06911814213,0.5550737381,0,1.200000048
KKT1,std,1,1,0.0001,3,1,5,0.6767628205,0.817999959,0.6080000401,0.817999959,0,0,0.1932080835,4.308311939,-3.80299592,1.035044551,40.29074412,0,0,0.3390884101,3.360008478,-4.391468048,1.047748208,35.62009414,0.7127144933,0.6031340957,0.6963396668,0.1458744407,0.03196983412,0.4267686307,0,1.200000048,0.1842729002,0.04870760068,0.486997813,0,1.200000048
KKT1,std,1,1,0.0001,4,0,1,0.9736778846,1,0.9599999785,1,0,0,-1.873947024,3.372976303,-9.413133621,0.6417328119,30.27127528,0,0,-0.826862514,2.95910573,-7.863285542,0.7159425616,27.26969312,0.7148654461,0.6092116237,0.715434432,0.1807143092,0.04742359743,0.6277140975,0,1.200000048,0.2071333826,0.08967630565,0.4758981466,0,1.200000048
KKT1,std,1,1,0.0001,5,1,5,0.6908253205,0.828799963,0.6980000138,0.828799963,0,0,-0.4445538819,4.931001186,-6.76708889,0.9173567295,36.48234103,0,0,-1.073060274,4.010121346,-9.49701786,0.8897173405,36.88628936,0.764713347,0.6110887527,0.7912736535,0.1281258613,0.03258015215,0.3543846607,0,1.200000048,0.1498024613,0.03824910149,0.4444748759,0,1.200000048
KKT1,std,1,1,0.0001,6,0,1,0.9678685897,1,1,1,0,0,-1.109820247,4.052829266,-7.093594074,0.7359226346,33.26726349,0,0,-0.5349526405,3.343176603,-7.58760643,0.8985655904,31.7725471,0.7702953815,0.6122142076,0.8070624471,0.1467253268,0.02903807163,0.5412297249,0,1.200000048,0.1819433272,0.06434243917,0.390460521,0,1.200000048
KKT1,std,1,1,0.0001,7,1,5,0.7077323718,0.8579999804,0.6920000315,0.8579999804,0,0,-0.1239931509,4.838209629,-2.060925722,0.9647791982,44.60879956,0,0,-1.189750195,3.53883028,-6.691041946,0.809648335,47.83458492,0.7929000258,0.6142174602,0.8505402207,0.1273094863,0.03126302361,0.4496182501,0,1.200000048,0.1796639562,0.05289243534,0.2825463712,0,1.200000048
KKT1,std,1,1,0.0001,8,0,1,0.9701522436,1,0.9799999595,1,0,0,-0.09531659633,7.104846001,-3.948410273,1.018559813,30.61683269,0,0,-2.292775393,5.444491863,-9.532349586,0.80343467,27.52901403,0.8247765303,0.6171200871,0.8477442265,0.08614933491,0.02171444334,0.4646555781,0,1.200000048,0.1118287891,0.01981382817,0.3442295194,0,1.200000048
KKT1,std,1,1,0.0001,9,1,5,0.6907451923,0.8279999495,0.6680000424,0.8279999495,0,0,-0.3400266469,4.818829536,-5.017464638,0.9239686131,42.70923465,0,0,-1.724142551,4.069404602,-10.37985325,0.7773942947,46.97998953,0.8258148432,0.6209703088,0.8140743971,0.129038915,0.02635143697,0.3825803995,0,1.200000048,0.155798316,0.06258618087,0.2997688651,0,1.200000048
KKT1,std,1,1,0.0001,10,0,1,0.9618990385,1,0.9899999499,1,0,0,-2.454672575,6.508891582,-19.28323555,0.689383328,25.48289955,0,0,-4.324822426,4.542765617,-19.73329735,0.6614697576,24.2223238,0.8463560939,0.6221369505,0.8013688922,0.09323768318,0.02518613636,0.3040826619,0,1.200000048,0.1357178092,0.03762841597,0.3047159016,0,1.200000048
KKT1,std,1,1,0.0001,11,1,5,0.683974359,0.8187999725,0.7080000043,0.8187999725,0,0,-0.1659907848,5.822536469,-2.857991934,0.9745883346,46.20733923,0,0,-2.330463886,4.488812447,-9.564652443,0.7383567691,47.25860215,0.8936092257,0.6166585684,0.7674274445,0.1038454622,0.02762808092,0.3435719907,0,1.200000048,0.1385165751,0.03831763566,0.2882858515,0,1.200000048
KKT1,std,1,1,0.0001,12,0,1,0.9766426282,1,0.9899999499,1,0,0,-2.401058197,5.208241463,-16.22969818,0.7098201513,41.18780614,0,0,-2.715519667,3.3485744,-10.66575432,0.6930596828,39.57314247,0.8961871266,0.6213970184,0.7483440042,0.1179791316,0.03945890442,0.2925824225,0,1.200000048,0.1811671257,0.05149144679,0.2957795858,0,1.200000048
KKT1,std,1,1,0.0001,13,1,5,0.7678685897,0.880400002,0.756000042,0.880400002,0,0,-0.695517838,7.554727554,-5.534555912,0.9299623966,45.28047767,0,0,-1.82528019,5.26238966,-10.68834686,0.8171734214,45.76887303,0.9382718801,0.624476552,0.7438735962,0.08126228303,0.02776619606,0.2313092947,0,1.200000048,0.118139118,0.04344591498,0.2673536241,0,1.200000048
KKT1,std,1,1,0.0001,14,0,1,0.9648637821,1,0.969999969,1,0,0,-0.460283041,6.436265945,-2.589094162,0.9530746341,33.28627899,0,0,-2.452145576,5.66165638,-9.683177948,0.819347918,29.92537817,0.9539963007,0.6284150481,0.7501360774,0.09311597049,0.02162430063,0.383408308,0,1.200000048,0.1080324799,0.02559360117,0.2821249068,0,1.200000048
