task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
85,5.6537064746023535,34.32794788686343,0.7363648370827954,-0.3647953457991061,nan,-0.029457879315252334,-0.0027629606728442014,R,relu,0.0,2,,,,,,,,,,,,,
86,5.68636565680246,34.73903790836963,0.8061351094454688,-0.3950450879392683,nan,-0.029223807655268157,-0.00036951336194761096,R,relu,0.0,2,,,,,,,,,,,,,
87,5.711291622318952,35.05400273044772,0.7678089211998761,-0.45284409912177975,nan,-0.029776528553554678,-0.000926264573354274,R,relu,0.0,2,,,,,,,,,,,,,
88,5.738186984694867,35.3928412086642,0.8143889705327093,-0.47555049231623925,nan,-0.029994827883772435,-0.0034338253957685084,R,relu,0.0,2,,,,,,,,,,,,,
89,5.766425464026197,35.75587118356933,0.7278023740855244,-0.3647723991803899,nan,-0.030029400376351524,-0.0035207671509124338,R,relu,0.0,2,,,,,,,,,,,,,
90,5.7935095798023895,36.105452618255285,0.7828961460314287,-0.4333147113454783,nan,-0.029900536316418827,-0.0024916299199685453,R,relu,0.0,2,0.017601813551646864,44.47815242073049,0.0,0.0,2.0564145410117054,4.505119185883003,-3.005523757528727,0.9003999829292297,,,,,
91,5.829690770012803,36.5561811396791,0.881846675275286,-0.431118153851476,nan,-0.02984830759249961,-0.0018222634273115546,R,relu,0.0,2,,,,,,,,,,,,,
92,5.859676804825217,36.948824494737636,0.80309507879339,-0.4104517237348497,nan,-0.029831178398779436,0.00030471563339233397,R,relu,0.0,2,,,,,,,,,,,,,
93,5.886097493514763,37.29538477590262,0.7686069308706545,-0.4220466497056725,nan,-0.030698912482843815,-0.0024333034572191535,R,relu,0.0,2,,,,,,,,,,,,,
94,5.912159279982892,37.646137483476394,0.8932565348703853,-0.5425038272966007,nan,-0.030851165663799494,-0.002194727493915707,R,relu,0.0,2,,,,,,,,,,,,,
95,5.936936172713109,37.97540332753003,0.8189184927178599,-0.48965264866423125,nan,-0.031422824568252766,-0.004759701963048428,R,relu,0.0,2,,,,,,,,,,,,,
96,5.965133098075841,38.35956019368383,0.7507417881681515,-0.3665849220143443,nan,-0.03217860286680214,-0.004089583538006991,R,relu,0.0,2,,,,,,,,,,,,,
97,5.996267225388579,38.77039991124019,0.8790747119606931,-0.46823499440433175,nan,-0.03220022150096691,-0.0032565988405258393,R,relu,0.0,2,,,,,,,,,,,,,
98,6.029210503586018,39.153540964234956,0.8341328365137772,-0.4509917835190208,nan,-0.03259841415266201,-0.0036124761728569864,R,relu,0.0,2,,,,,,,,,,,,,
99,6.0552100827700235,39.497393793397876,0.7897729251110384,-0.44592009594811555,nan,-0.0327318566228645,-0.0024008331424556673,R,relu,0.0,2,,,,,,,,,,,,,
