task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
13,2.617907436688288,6.867687211987674,0.5914533139050997,-0.21957846731954034,-0.060783990506120274,-0.007248482853989945,0.011688797744573093,SN06,snake,0.6,1,,,,,,,,,,,,,
14,2.686923841330014,7.235675615612979,0.5664101703201648,-0.1984217666948604,-0.054325573376860295,-0.007312833195706078,0.01438638438936323,SN06,snake,0.6,1,,,,,,,,,,,,,
15,2.749098215588287,7.577094398771972,0.5680476574180543,-0.22662887425905973,-0.06073838023079348,-0.007823128881043341,0.013813411846058443,SN06,snake,0.6,1,,,,,,,,,,,,,
16,2.8115029326371923,7.924223217073537,0.5406181461788926,-0.1934893278773265,-0.05269440005306958,-0.007587001972587218,0.0180413895775564,SN06,snake,0.6,1,,,,,,,,,,,,,
17,2.876045670904302,8.289010943681832,0.5987063373618183,-0.23391861075352305,-0.05791773170006587,-0.007547860885522188,0.016453999356599525,SN06,snake,0.6,1,,,,,,,,,,,,,
18,2.930643090023654,8.605535612871094,0.5780012687876193,-0.2614765995983574,-0.06388599606717481,-0.007234763408830745,0.016669762409874236,SN06,snake,0.6,1,,,,,,,,,,,,,
19,2.98835525088564,8.946475467530233,0.5880001005537028,-0.24706024589456585,-0.059735584644429275,-0.00798343940353205,0.01706100200652145,SN06,snake,0.6,1,,,,,,,,,,,,,
20,3.0359943675055177,9.233641929315418,0.5492056012990458,-0.2620391395138582,-0.06631428459524731,-0.0075712210691907525,0.01978753670002334,SN06,snake,0.6,1,0.02264891201445284,24.248652692393524,0.8583759696111966,0.7456169415408249,0.9372269334112581,1.3303578625129813,-0.7649283026012597,0.9121999740600586,0.06634655117413267,0.06634655067156642,0.15095197702969668,0.084605425855564,12.636228856335087
21,3.087896173850139,9.550200751665217,0.5889787549649164,-0.27241993261511743,-0.061851105136973644,-0.008063159345768492,0.019046604182804003,SN06,snake,0.6,1,,,,,,,,,,,,,
22,3.1374217062166543,9.857671147129993,0.5778060432557945,-0.2703356477910197,-0.06069299439925775,-0.00815504979696214,0.020733403908088803,SN06,snake,0.6,1,,,,,,,,,,,,,
23,3.1819770448289306,10.138445961657057,0.5848417534497904,-0.3040669389227268,-0.06756633025274036,-0.007939206237582297,0.02465659656911157,SN06,snake,0.6,1,,,,,,,,,,,,,
24,3.224482865529033,10.411397097374952,0.5573214967454275,-0.2843703610275316,-0.06222743707068026,-0.007733715408667177,0.026537026898004114,SN06,snake,0.6,1,,,,,,,,,,,,,
25,3.26817877755609,10.697588508800948,0.586114869097833,-0.29992345767183687,-0.06564940738771954,-0.00785525353826069,0.027848570700734855,SN06,snake,0.6,1,,,,,,,,,,,,,
26,3.316886016914532,11.017967441515694,0.5617739640257975,-0.24139503131105322,-0.05279285300965061,-0.008300078508597824,0.027987140159821136,SN06,snake,0.6,1,,,,,,,,,,,,,
27,3.357088219851663,11.286652070265834,0.5268493488296657,-0.2581647200795249,-0.056771177458314045,-0.007503898254662792,0.028791466834954916,SN06,snake,0.6,1,,,,,,,,,,,,,
28,3.4000657000468677,11.57479393361148,0.5631375079581457,-0.27499564461250037,-0.057740622902063075,-0.00790256801253023,0.02751846936822403,SN06,snake,0.6,1,,,,,,,,,,,,,
29,3.4420779870554394,11.862068122384066,0.579788077641522,-0.29251388886893587,-0.06086447327635474,-0.007908587928246986,0.028215219031553714,SN06,snake,0.6,1,,,,,,,,,,,,,
30,3.4784207016133255,12.115388126982234,0.5533804892819915,-0.3000604846838222,-0.06300818143825887,-0.0077620590042659565,0.02635674088727683,SN06,snake,0.6,1,0.02278852578043275,24.283294786762763,0.876921061827727,0.7548519293892052,0.8969909610622351,1.4417981127256931,-0.670225352244654,0.9182000160217285,,,,,
31,3.5208428596043655,12.413724162326554,0.569839277549997,-0.27150324220567645,-0.054870612352580575,-0.008137122202196803,0.025737220998853446,SN06,snake,0.6,1,,,,,,,,,,,,,
32,3.5576009669491833,12.674319466795678,0.5787333638670219,-0.31813805939789985,-0.06286834971377545,-0.00784859945509921,0.028762463606253733,SN06,snake,0.6,1,,,,,,,,,,,,,
33,3.594362738390137,12.936053524689225,0.5458444734892164,-0.28411041559566647,-0.05601472846313547,-0.007933608840911564,0.027044742899015546,SN06,snake,0.6,1,,,,,,,,,,,,,
34,3.6301812985689343,13.193935809336866,0.5531148080937972,-0.2952325234461614,-0.0588982434192377,-0.007473737643436474,0.028180876057595016,SN06,snake,0.6,1,,,,,,,,,,,,,
35,3.667467097015632,13.466683356504305,0.5793530738583609,-0.3066055266909193,-0.05943422872050819,-0.006812058508941494,0.027656486723572016,SN06,snake,0.6,1,,,,,,,,,,,,,
36,3.702339846612689,13.723866385343618,0.5532744131410422,-0.29609138430173004,-0.05685775071154262,-0.00753739241843052,0.02777479614218464,SN06,snake,0.6,1,,,,,,,,,,,,,
