arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNAc3,1,0.001,35,none,0.9822229167,1,1,0,0,-1.124984384,5.189592361,-8.512993813,0.9798105955,69.74087089,0,0,-1.602645636,27.35869789,-57.78847122,0.9906489849,51.03874901,13.79211617,4.202810764,1.726456404,0.5954118967,0.3765877783,0.8004267812,0,6,0.1060205251,0.05000000075,0.455978483,0.03999999911,6
SNAc3,1,0.001,36,none,0.9800916667,1,1,0,0,-0.918363452,5.263623714,-10.28757,0.9872831106,67.50869298,0,0,-1.925439239,28.60980797,-51.59729767,0.9919328094,50.0756178,14.03649712,4.189636707,1.76921773,0.5885305405,0.3573710322,0.8414096832,0,6,0.1080211401,0.05000000075,0.4794288576,0.05000000075,6
SNAc3,1,0.001,37,none,0.98074375,1,1,0,0,-1.127697229,5.275815964,-10.5376482,0.9873788357,69.65793583,0,0,-1.316659331,29.25079155,-34.72528076,0.9891442657,51.73956052,14.22808266,4.253236771,1.777809739,0.5873997211,0.379422009,0.7822370529,0,6,0.1008031145,0.05000000075,0.3709862828,0.02999999933,6
SNAc3,1,0.001,38,none,0.98050625,1,1,0,0,-0.5054319501,5.321118355,-9.354956627,0.9822762012,69.67643075,0,0,0.02278535813,29.62369156,-59.63091278,0.9926773906,51.93388628,14.35346031,4.281341076,1.772255421,0.5785319805,0.3792469501,0.850266099,0,6,0.1036029607,0.05000000075,0.3876305819,0.03999999911,6
SNAc3,1,0.001,39,none,0.9797270833,1,1,0,0,-0.6269129515,5.278919697,-11.42295551,0.9851910472,68.24208413,0,0,1.003709078,28.36736298,-89.58680725,0.9878747463,49.99395533,14.42963791,4.179436207,1.700104833,0.5856058002,0.3430456221,0.8537423611,0,6,0.1076653674,0.05000000075,0.3962587416,0.03999999911,6
SNAc3,1,0.001,40,none,0.9815416667,1,1,0,0,-0.8072355986,5.281937122,-8.955269814,0.9838151336,69.56792774,0,0,-0.9091552496,28.3968029,-65.8278656,0.9922355413,51.96303337,14.51875687,4.298102379,1.723130941,0.584228456,0.3605057597,0.7959194183,0,6,0.105751738,0.05000000075,0.3829420805,0.01999999955,6
SNAc3,1,0.001,41,none,0.9789833333,1,1,0,0,-1.040025353,5.324738503,-12.02549458,0.979257524,68.26651642,0,0,-1.171587467,29.32131386,-61.75244141,0.987803638,50.37320754,14.64732647,4.302901745,1.674657822,0.5819015503,0.3557212949,0.7784585953,0,6,0.1026607007,0.05000000075,0.352930963,0.03999999911,6
SNAc3,1,0.001,42,none,0.9812145833,1,1,0,0,-0.6658328176,5.370257854,-6.96186018,0.983466804,69.81447911,0,0,-1.910540581,30.34156418,-46.11715317,0.9915929437,52.2657572,14.68835068,4.484274387,1.711987615,0.5756881237,0.342880249,0.7632457018,0,6,0.09864625335,0.05000000075,0.4007020593,0.03999999911,6
SNAc3,1,0.001,43,none,0.9808125,1,1,0,0,-0.910666883,5.361568928,-9.698465347,0.9868518114,68.50487955,0,0,-3.463817596,30.94117737,-85.77729034,0.9927415848,51.50572669,14.95143986,4.46816349,1.712574244,0.5778207183,0.3348716497,0.7189669609,0,6,0.1002698541,0.05000000075,0.3594099879,0.0700000003,6
SNAc3,1,0.001,44,none,0.9818020833,1,1,0,0,-0.8380975127,5.259923935,-11.6207056,0.9855088592,70.53145297,0,0,-2.915584326,32.33730698,-48.27183533,0.9926820993,53.30705684,14.99099636,4.507083416,1.712001562,0.5853046179,0.3422622681,0.7317526937,0,6,0.09483252466,0.05000000075,0.3551832139,0.03999999911,6
SNAc3,1,0.001,45,none,0.9814083333,1,1,0,0,-0.3146791756,5.335609913,-7.080886364,0.9822734594,71.2522396,0,0,-0.9091546535,30.60414696,-63.14949036,0.9900427461,53.57360042,15.11971188,4.557050228,1.76913166,0.5786919594,0.3887895942,0.7319200635,0,6,0.09999755025,0.05000000075,0.3535803854,0.03999999911,6
SNAc3,1,0.001,46,none,0.9810375,1,1,0,0,-0.2369177788,5.387223721,-9.466702461,0.9800460935,70.21939389,0,0,0.8801739216,32.35201645,-100.5558624,0.9880843163,51.49465022,15.20643044,4.53260231,1.748687506,0.5748734474,0.3781906366,0.7264599204,0,6,0.09344667196,0.05000000075,0.3524404466,0.03999999911,6
SNAc3,1,0.001,47,none,0.9812395833,1,1,0,0,-0.7621135712,5.36521101,-7.044720173,0.9837787151,71.06352681,0,0,2.148096561,33.32588196,-58.56389236,0.9908618331,53.77875153,15.39674664,4.555627823,1.763018608,0.576197803,0.3702921867,0.7256439924,0,6,0.09226531535,0.05000000075,0.3781372309,0.01999999955,6
SNAc3,1,0.001,48,none,0.9821666667,1,1,0,0,-0.9189001322,5.410605907,-8.571688652,0.9837563038,70.60180023,0,0,0.5353681445,34.99533081,-69.09590149,0.9881188869,52.73668718,15.48694801,4.693171501,1.747061849,0.5711537004,0.3739786446,0.7667523623,0,6,0.08823981881,0.05000000075,0.4155134261,0.02999999933,6
SNAc3,1,0.001,49,none,0.9816333333,1,1,0,0,-0.8433849812,5.434163094,-10.02998924,0.9836658835,71.00137113,0,0,-0.09913442284,34.42048264,-77.56230164,0.9928977489,53.42939386,15.52312279,4.834305763,1.738986373,0.5655958652,0.3777962923,0.7162722349,0,6,0.08816247433,0.05000000075,0.3918271959,0.009999999776,6
SNAc3,1,0.001,50,none,0.981875,1,1,0,0,-0.2859768569,5.520232201,-10.12700558,0.9848573804,70.87690396,0,0,-1.433421254,34.19917297,-64.08137512,0.9897041917,53.49012897,15.64804363,4.801652431,1.742477894,0.5607117414,0.3733174205,0.7189390063,0,6,0.09012681246,0.05000000075,0.4087455869,0.02999999933,6
