exp,width,period,enc,c,lr,ckpt,kind,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,git_hash
A,100,1000,std,,0.01,300000,raw,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,1,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,1000,std,,0.01,1000000,raw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,centered,,0.01,0,raw,291,330,316,286,314,281,254,248,256,297,299,306,335,305,346,319,358,355,335,358,350,364,348,373,335,307,347,324,290,311,291,246,245,261,271,280,298,279,326,304,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,centered,,0.01,10000,raw,1383,1160,805,671,682,646,665,624,575,568,537,480,453,463,429,416,385,405,453,415,415,392,411,405,423,410,485,498,466,478,536,608,599,692,691,643,688,808,1272,1615,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,centered,,0.01,50000,raw,265,542,705,702,763,698,676,659,609,601,587,517,547,523,520,521,487,526,494,538,477,466,466,481,525,458,521,504,579,595,577,597,614,694,746,748,806,701,539,329,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,centered,,0.01,100000,raw,888,1060,753,649,533,557,465,446,445,435,417,425,414,451,429,445,396,458,463,425,429,415,403,435,423,443,403,416,432,479,460,473,495,547,526,544,640,728,1054,909,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,centered,,0.01,300000,raw,176,292,380,400,424,431,408,478,463,466,412,487,480,502,461,492,469,504,475,489,486,456,519,475,483,513,500,470,472,477,427,501,467,461,444,424,385,334,292,141,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,centered,,0.01,1000000,raw,80,175,195,248,275,318,350,310,339,351,331,346,416,354,375,385,387,410,376,370,412,368,381,414,376,371,398,343,368,374,345,360,317,290,296,237,232,217,144,73,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.001,0,raw,2716,1140,586,362,214,178,124,112,92,111,102,86,69,66,104,60,73,64,81,74,62,74,60,70,68,96,74,76,79,84,98,97,114,126,172,235,370,571,1141,2703,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.001,10000,raw,3348,890,546,289,171,133,129,82,72,48,41,37,33,44,59,43,44,45,43,40,36,42,51,35,38,63,50,34,32,38,49,49,87,129,139,217,276,468,1012,3288,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.001,50000,raw,3702,1216,453,225,172,162,98,73,63,76,81,53,46,55,32,37,43,19,26,28,19,21,30,44,28,37,45,48,66,63,50,67,83,119,149,170,226,492,1166,3646,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.001,100000,raw,2683,1320,760,383,158,125,104,103,64,47,48,39,32,28,38,37,50,43,42,38,45,38,53,34,32,33,31,26,32,42,53,63,97,101,119,168,364,734,1282,2661,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.001,300000,raw,2705,1293,688,373,243,159,158,111,64,51,45,49,72,78,55,36,35,31,34,25,102,17,26,31,47,43,62,58,64,42,60,65,118,157,140,255,383,704,1212,2663,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,100,10000,std,,0.001,1000000,raw,986,504,347,324,236,194,157,157,144,114,111,109,105,95,81,81,121,78,74,77,71,90,87,83,95,97,112,119,94,109,113,122,144,174,184,230,294,374,471,955,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
