arm,seed,is_control,source,median_s,median_M,median_B,median_denom,median_zbar,n_na_M,n_na_B,n_records,median_M_plus_median_B
G_b1_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed1.npz,-7.228712821006775,-6.0919146060943605,-1.1632291078567505,1.559174358844757,-11.258085012435913,0,0,10,-7.255143713951111
G_b1_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed2.npz,-7.0521845608949665,-5.964806866645813,-1.132606464624405,1.5626545906066895,-11.14636788368225,0,0,10,-7.097413331270218
G_b1_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed3.npz,-7.420514309406281,-6.193906021118164,-1.2511544823646545,1.532065325975418,-10.846287393569947,0,0,10,-7.445060503482819
G_b1_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed4.npz,-7.795501172542572,-6.5933095693588255,-1.2422556281089783,1.556177270412445,-11.20161418914795,0,0,10,-7.835565197467804
G_b1_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed5.npz,-7.922200325131416,-6.670175051689148,-1.2536181807518005,1.3990955352783203,-10.437626600265503,0,0,10,-7.923793232440948
G_b1_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed6.npz,-7.718692916631698,-6.514088487625122,-1.2472687363624573,1.4220196604728699,-10.58774175643921,0,0,10,-7.761357223987579
G_b1_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed7.npz,-7.208836677670479,-6.108490800857544,-1.1296030223369598,1.6810638308525085,-11.330288553237915,0,0,10,-7.238093823194504
G_b1_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed8.npz,-7.304948306083679,-6.096138620376587,-1.2436701297760009,1.5189714431762695,-10.961640119552612,0,0,10,-7.339808750152589
G_b1_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/G_b1_1216_seed9.npz,-6.5189920425415036,-5.4454734325408936,-1.1445657849311828,1.6932333528995513,-10.220310020446778,0,0,10,-6.590039217472077
LR_a0p01_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed0.npz,-3.0241713900119067,-2.6071319699287416,-0.4452233508229256,1.6251429796218873,-4.833735847473145,0,0,10,-3.0523553207516674
LR_a0p01_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed1.npz,-3.0458450070116667,-2.6073195576667785,-0.4288251012563705,1.811651998758316,-5.359237027168274,0,0,10,-3.036144658923149
LR_a0p01_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed2.npz,-3.0603425078094006,-2.632121133804321,-0.4359954833984375,1.5453772962093353,-4.760660076141358,0,0,10,-3.0681166172027585
LR_a0p01_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed3.npz,-2.986230304837227,-2.559532630443573,-0.43298195153474806,1.606535977125168,-4.8366766452789305,0,0,10,-2.992514581978321
LR_a0p01_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed4.npz,-2.990054814517498,-2.5680879592895507,-0.39259018301963805,1.876291674375534,-5.318068242073059,0,0,10,-2.9606781423091886
LR_a0p01_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed5.npz,-3.0182892635464666,-2.508653199672699,-0.47631734758615496,1.542591828107834,-4.48076102733612,0,0,10,-2.984970547258854
LR_a0p01_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed6.npz,-2.968369937688112,-2.492236244678497,-0.4588297247886658,1.6439253211021423,-4.706273746490479,0,0,10,-2.951065969467163
LR_a0p01_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed7.npz,-2.9232901610434054,-2.5078083753585814,-0.4599014431238174,1.8286965191364288,-5.213354468345642,0,0,10,-2.967709818482399
LR_a0p01_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed8.npz,-2.90080048404634,-2.420763683319092,-0.4866675719618797,1.699511456489563,-5.04859082698822,0,0,10,-2.907431255280972
LR_a0p01_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p01_1216_seed9.npz,-2.8992759702727198,-2.437468409538269,-0.46429592967033384,1.7247518658638001,-4.940081238746643,0,0,10,-2.901764339208603
LR_a0p001_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed0.npz,-3.272703032195568,-2.8115942239761353,-0.46914966851472856,1.8123951077461242,-5.912344956398011,0,0,10,-3.280743892490864
LR_a0p001_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed1.npz,-3.5193266086280346,-3.003842282295227,-0.5084632873535156,1.780454933643341,-6.150120496749878,0,0,10,-3.5123055696487424
LR_a0p001_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed2.npz,-3.293485952168703,-2.8222548365592957,-0.49676603376865386,1.8139290392398835,-5.821020984649659,0,0,10,-3.3190208703279493
LR_a0p001_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed3.npz,-3.219329684972763,-2.717204213142395,-0.5098418906331063,1.9402307271957397,-6.191024541854858,0,0,10,-3.227046103775501
LR_a0p001_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed4.npz,-3.5611141577363012,-3.051253843307495,-0.5110489532351494,1.8935102224349976,-6.612798595428467,0,0,10,-3.562302796542644
LR_a0p001_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed5.npz,-3.0709249280393123,-2.587220621109009,-0.5120740965008735,1.705173707008362,-5.224503016471862,0,0,10,-3.0992947176098826
LR_a0p001_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed6.npz,-3.316267683357,-2.854270005226135,-0.5201329618692399,1.6876521229743957,-5.347804665565491,0,0,10,-3.3744029670953752
LR_a0p001_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed7.npz,-3.401365761458874,-2.9651435136795046,-0.43994227349758147,1.8976789474487306,-6.709481596946716,0,0,10,-3.405085787177086
LR_a0p001_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed8.npz,-3.2287816599011423,-2.728414976596832,-0.4660740166902542,1.778652024269104,-5.4709569931030275,0,0,10,-3.1944889932870866
LR_a0p001_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/gate_dial_0902/logs/LR_a0p001_1216_seed9.npz,-2.9854441225528716,-2.5336897373199463,-0.4319861024618149,1.9881761133670808,-5.857360577583313,0,0,10,-2.965675839781761
