arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,raw,0,0,0.001,38,none,0.9879479167,1,1,0,0,-1.990136743,19.4994812,-6.434281826,0.4600000083,74.29646156,0.5429000258,-0.09046576172,0.4600000083,0.4405833483,0,-0.08172011375,0.1215964407,-1.613009912e+12,6.434281826,0,0,-5.568482399,35.38198853,-8.679405212,0.4433333576,71.97658485,0.5515000224,-0.1556262821,0.4433333576,0.4409000278,0,-0.1466767788,0.1466630846,-5.134771814e+12,8.679405212,0.003379308851,25.17718124,3.694825649,1.406589866,8.848871231,15.33796024
CH,raw,0,0,0.001,39,none,0.9876458333,1,1,0,0,-2.133898258,18.40582466,-6.571568489,0.4600000083,74.4728168,0.5465666652,-0.1066414937,0.4600000083,0.4374833107,0,-0.08003925532,0.1328868121,-1.696736215e+12,6.571568489,0,0,-5.677809715,36.96096039,-8.987059593,0.4375,71.88146936,0.5527750254,-0.1568356752,0.4375,0.4379916191,0,-0.1200681478,0.1440108865,-5.270311797e+12,8.987059593,0.00359763694,25.2366581,3.649735928,1.397571802,8.63147068,15.25248241
CH,raw,0,0,0.001,40,none,0.9873458333,1,1,0,0,-2.227590084,18.89619827,-6.846448898,0.4541666806,73.9422035,0.5506416559,-0.1138188317,0.4541666806,0.4336250126,0,-0.05735462159,0.1336678714,-1.784319312e+12,6.846448898,0,0,-5.845450878,36.51950073,-8.967067719,0.4483333528,73.4926613,0.5521500111,-0.156782046,0.4483333528,0.4382000268,0,-0.1805939823,0.1497344971,-5.414069469e+12,8.967067719,0.002494445303,25.38255119,3.612378359,1.422287583,8.741087914,15.06650352
CH,raw,0,0,0.001,41,none,0.9874729167,1,1,0,0,-2.260207415,19.97410965,-7.021778107,0.4583333433,74.46726895,0.5511916876,-0.1037855446,0.4583333433,0.433375001,0,-0.06345205009,0.1313508749,-1.874380718e+12,7.021778107,0,0,-6.05520916,35.5888176,-9.049041748,0.4308333397,69.8519447,0.5569583178,-0.1676312089,0.4308333397,0.4310583472,0,-0.2104857117,0.1579583734,-5.552719528e+12,9.049041748,0.003328663995,25.55632019,3.600379705,1.456683397,8.650261879,15.39225578
CH,raw,0,0,0.001,42,none,0.9883104167,1,1,0,0,-2.293440342,19.39535141,-7.35836792,0.4541666806,72.47667818,0.5539416671,-0.1153991669,0.4541666806,0.4320417047,0,-0.07909657806,0.1394270062,-1.938718851e+12,7.35836792,0,0,-6.015271187,36.01776886,-9.237342834,0.4358333349,69.57039879,0.5518000126,-0.1767183393,0.4358333349,0.4325666726,0,-0.2319582701,0.159785673,-5.684582154e+12,9.237342834,0.002820842201,25.57640648,3.648203373,1.481259942,8.690224648,15.90480423
CH,raw,0,0,0.001,43,none,0.9877270833,1,1,0,0,-2.39141202,18.84580421,-7.530635834,0.4541666806,72.62511842,0.5543166995,-0.1253323108,0.4541666806,0.4306999743,0,-0.07075786591,0.1473209262,-2.01607204e+12,7.530635834,0,0,-6.147704601,36.41031647,-9.513743401,0.4408333302,69.27763583,0.5521416664,-0.1686556339,0.4408333302,0.4340416491,0,-0.301120609,0.1619108915,-5.824042762e+12,9.513743401,0.003688189201,25.86325836,3.689303637,1.487543941,8.826477051,15.79291058
CH,raw,0,0,0.001,44,none,0.9871333333,1,1,0,0,-2.306909084,19.05748558,-7.675241947,0.4525000155,72.23340417,0.5534416437,-0.113418743,0.4525000155,0.4309250116,0,-0.0778407082,0.1480140239,-2.068107887e+12,7.675241947,0,0,-6.309520245,36.46635818,-9.650774956,0.4450000226,68.67066918,0.55112499,-0.1763530523,0.4450000226,0.4354749918,0,-0.2549176216,0.1648974717,-5.943685808e+12,9.650774956,0.004214693327,26.12700462,3.700529337,1.4672575,8.993691444,15.87839699
CH,raw,0,0,0.001,45,none,0.98753125,1,1,0,0,-2.359680891,20.12193108,-7.90594244,0.4608333409,70.83557852,0.554099977,-0.1195600107,0.4608333409,0.4310166836,0,-0.08757601678,0.1436159611,-2.132800307e+12,7.90594244,0,0,-6.558955669,36.6126709,-9.631045341,0.4391666651,65.50172807,0.5561916828,-0.1821221113,0.4391666651,0.4329083264,0,-0.2265861332,0.1682617068,-6.090182885e+12,9.631045341,0.00240287371,26.29895592,3.693524837,1.468401313,9.296099663,16.09427834
CH,raw,0,0,0.001,46,none,0.9873083333,1,1,0,0,-2.307633162,19.94532585,-8.105895042,0.4566666782,71.32391102,0.5548083186,-0.1191892028,0.4566666782,0.4299416542,0,-0.08912017941,0.1477308124,-2.208749584e+12,8.105895042,0,0,-6.63585043,36.98575592,-9.868850708,0.4341666698,64.28159771,0.5658167005,-0.1897799522,0.4341666698,0.4253166616,0,-0.1883337647,0.170431301,-6.23140248e+12,9.868850708,0.005976327695,26.350317,3.70339632,1.475672841,8.948073387,15.75461102
CH,raw,0,0,0.001,47,none,0.987875,1,1,0,0,-2.501414537,19.96351433,-8.363837242,0.4558333457,72.4563424,0.5557667017,-0.1239293367,0.4558333457,0.4300333261,0,-0.08010831475,0.1527984291,-2.310189875e+12,8.363837242,0,0,-6.763261795,35.88777924,-9.922145844,0.4391666651,60.20150837,0.5611333251,-0.190504238,0.4391666651,0.4304000139,0,-0.3039489388,0.1793567538,-6.363614806e+12,9.922145844,0.003595446935,26.29205704,3.64473176,1.531659961,8.808685303,16.03656387
CH,raw,0,0,0.001,48,none,0.98733125,1,1,0,0,-2.570034742,19.29761887,-8.451206207,0.4558333457,71.96690011,0.5602000356,-0.1204153374,0.4558333457,0.4264166951,0,-0.05942130461,0.1620369554,-2.389578088e+12,8.451206207,0,0,-7.026412964,36.63836288,-10.67337894,0.4291666746,57.5939431,0.5654166937,-0.1883059293,0.4291666746,0.4264166951,0,-0.2631806135,0.1793976277,-6.50111248e+12,10.67337894,0.004567178432,26.48288155,3.636482716,1.536222696,8.798405647,16.61263847
