arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
SL,raw,0,0,0.001,33,none,0.7263458333,0.9908333421,0.9908333421,0,0,-33.27838135,15.83052731,-58.0185051,0.1100030169,67.2357768,0,0,-26.88659668,12.80449104,-49.55014801,0.1239541396,69.18199212,37.19483566,4.937925339,4.409852982
SL,raw,0,0,0.001,34,none,0.714175,0.9983333349,0.9983333349,0,0,-34.98971939,15.55449009,-65.60259247,0.1056003869,63.87829952,0,0,-26.22762871,12.33891773,-42.11334229,0.116710104,65.24846993,37.65435791,4.962875843,4.522400379
SL,raw,0,0,0.001,35,none,0.7218541667,0.9983333349,0.9983333349,0,0,-33.74498749,15.51583862,-61.38614655,0.109388262,66.96310022,0,0,-24.90817833,12.74883938,-45.45330048,0.1211899072,70.03729108,38.04207993,5.008032799,4.401278496
SL,raw,0,0,0.001,36,none,0.71865,0.9941666722,0.9941666722,0,0,-35.28985596,15.96683502,-57.21587372,0.1073098928,66.42895633,0,0,-27.42416,13.38780308,-40.33972168,0.1224233806,69.31425984,38.605793,5.093986988,4.394424438
SL,raw,0,0,0.001,37,none,0.7356916667,0.9991666675,0.9991666675,0,0,-38.21184158,16.3674736,-63.17165375,0.1070538238,64.41121477,0,0,-27.08073616,13.24340725,-48.8157196,0.1181684136,66.56724376,39.08335114,5.100179195,4.43458128
SL,raw,0,0,0.001,38,none,0.7267479167,0.9308333397,0.9308333397,0,0,-37.17279434,16.52001953,-63.41799164,0.1078623757,64.60342071,0,0,-26.43645477,13.0428133,-51.3216629,0.1228600815,66.8278629,39.51164627,5.109917641,4.48508358
SL,raw,0,0,0.001,39,none,0.7204895833,0.9641667008,0.9641667008,0,0,-36.86414337,16.19679832,-61.11843872,0.1079348251,65.7772606,0,0,-26.07641411,12.86957741,-45.47891998,0.1219970733,69.26809617,39.99647141,5.104757309,4.362090111
SL,raw,0,0,0.001,40,none,0.7329854167,0.8966667056,0.8966667056,0,0,-36.49671936,16.75569725,-69.49022675,0.1087357774,66.98182426,0,0,-28.56369209,14.05166435,-57.88802338,0.120287545,68.64918704,40.44171143,5.136331081,4.272484779
SL,raw,0,0,0.001,41,none,0.73365625,0.9983333349,0.9983333349,0,0,-38.25379562,16.96811104,-61.96967697,0.1075049341,64.45465018,0,0,-28.91614723,13.68775558,-48.35371399,0.1164886504,67.19513231,40.89150238,5.173785686,4.500120163
SL,raw,0,0,0.001,42,none,0.7181541667,0.9991666675,0.9991666675,0,0,-37.03544617,16.7635231,-63.35352325,0.1080759093,67.22372595,0,0,-27.91985512,13.87930679,-47.09158325,0.123566106,70.21871438,41.26882935,5.182909012,4.422213554
