step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
160000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.38,0.00161616,0.65,14.9138,4.90537,0.188272,0.505859,0,1.56662e-09,3.31878e-08,0.0472046,18.8865,0.158818,0.38,2.85935e-10
160000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.37,0.00242424,0.36,14.2506,5.90309,0.186052,0.50101,0,0.000409236,0.000969898,0.421937,19.0381,0.128698,0.37,6.97928e-06
160000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.22,0.00222222,0.21,15.4171,5.80047,0.188414,0.503747,0,0.000123884,0.00105451,0.117481,19.0865,0.121631,0.22,5.90767e-06
170000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.43,0.0020202,0.39,16.9923,6.647,0.191112,0.499727,0,5.41698e-05,0.000791495,0.0684399,18.7539,0.147324,0.43,4.20491e-06
170000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.47,0.00121212,0.48,12.9954,5.46775,0.190668,0.507677,0,0.00228672,0.034264,0.0667382,18.9293,0.126114,0.47,0.000226462
170000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.33,0.00181818,0.39,15.756,5.54807,0.188011,0.505212,0,2.16546e-07,3.57315e-06,0.0606035,18.9118,0.157405,0.33,2.9809e-08
170000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.41,0.00161616,0.37,16.2146,5.97063,0.187993,0.50196,0,2.94067e-05,0.000262546,0.112006,18.9828,0.129231,0.41,1.3724e-06
170000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.22,0.000808081,0.26,16.1115,6.13373,0.188669,0.501909,0,7.9681e-06,4.48182e-05,0.177787,19.0667,0.12576,0.22,4.50621e-07
180000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.49,0.000606061,0.42,13.2517,4.66331,0.188984,0.500354,0,4.33699e-05,0.0014007,0.0309631,18.806,0.139837,0.49,8.70807e-06
180000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.42,0.00161616,0.44,13.4207,5.59707,0.19245,0.506263,0,0.000276316,0.00279837,0.0987415,18.9378,0.127843,0.42,1.51806e-05
180000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.3,0.00262626,0.29,14.3367,6.03447,0.188458,0.504212,0,4.1105e-07,1.50474e-05,0.0273169,18.8865,0.157781,0.3,1.00868e-07
180000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.38,0.00121212,0.4,17.0027,5.7306,0.191801,0.501626,0,1.40264e-05,6.31328e-05,0.222173,18.8231,0.141293,0.38,2.82034e-07
180000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.23,0.00121212,0.32,14.8842,5.60818,0.187488,0.501263,0,2.92596e-06,4.11787e-05,0.0710552,19.1144,0.119574,0.23,2.49596e-07
190000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.39,0.00141414,0.37,14.8092,6.6828,0.186829,0.500798,0,1.32216e-05,3.54039e-05,0.37345,18.872,0.143783,0.39,2.27706e-07
190000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.4,0.00222222,0.4,11.6325,5.14966,0.191093,0.505444,0,0.116858,0.168363,0.69408,18.9849,0.13792,0.4,0.00131135
190000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.27,0.00383838,0.26,14.0833,6.24193,0.188821,0.503495,0,8.34924e-05,0.000708648,0.117819,18.8105,0.160888,0.27,5.20625e-06
190000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.51,0.00040404,0.51,16.3834,6.8042,0.192586,0.502647,0,0.297706,0.875293,0.340121,18.8564,0.133001,0.51,0.0039263
190000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.22,0.00121212,0.2,15.5181,6.0458,0.187346,0.501808,0,0.00103773,0.00522678,0.19854,19.1049,0.122585,0.22,4.14585e-05
200000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.41,0.00040404,0.42,14.5813,3.8606,0.186942,0.501869,0.00020202,0.00264526,0.00615569,0.429727,18.8613,0.151792,0.41,4.16476e-05
200000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.41,0.000606061,0.38,16.2597,6.18371,0.195923,0.505131,0,0.132342,1.11074,0.119148,18.7995,0.152513,0.41,0.0059548
