act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2init,0.001,0.001,0,21,0.9648520833,1,1,0,0,-0.4999586046,1.223583341,-11.57692719,0.7697430849,63.55945961,0,0,-1.870159268,2.259421349,-6.208800316,0.6411207914,67.93205871,1.512396336,1.213318586,2.405227661,0.5072728992,0.1885272563,1.654803634,0,1.200000048,0.2754718959,0.1669504941,0.6252663136,0,1.200000048,0.3182557879,0.4349789164,0.3182557879,0.1616568505
SNA,l2init,0.001,0.001,0,22,0.96665625,0.9966666698,0.9966666698,0,0,-0.07041998953,1.045509577,-10.07358646,1.035038114,57.91422298,0,0,-1.89688921,2.35978961,-7.090197563,0.6810993552,66.35085079,1.342489958,1.16661346,2.365638018,0.5891087651,0.2112461478,2.525004387,0,1.200000048,0.2606705129,0.1418445557,0.8511120081,0,1.200000048,0.2601971916,0.3729458946,0.2601971916,0.1254738599
SNA,l2init,0.001,0.001,0,23,0.96699375,1,1,0,0,-0.0702765733,1.072927833,-10.86340523,1.004152417,58.12972883,0,0,-2.220461369,2.342263222,-7.376324654,0.626589179,65.34106223,1.359000206,1.187417746,2.403408766,0.5672531724,0.1988242567,2.461400747,0,1.200000048,0.2624024153,0.1458725929,0.7365896106,0,1.200000048,0.2702718988,0.3845224677,0.2702718988,0.1320927851
SNA,l2init,0.001,0.001,0,24,0.9674395833,1,1,0,0,-0.2839303017,1.160360217,-8.723796844,0.9300947785,61.77968772,0,0,-1.418961167,2.156280994,-7.997254848,0.7331154346,68.2771918,1.384985447,1.181248784,2.377516031,0.5262600183,0.2375109345,2.388615608,0,1.200000048,0.2794691026,0.1453966796,0.8352974057,0,1.200000048,0.2814127261,0.3952513601,0.2814127261,0.1381915532
SNA,l2init,0.001,0.001,0,25,0.9669791667,1,1,0,0,-0.2114999443,1.149662137,-12.10283089,0.9319273829,59.43936326,0,0,-1.813979506,2.356276512,-8.313206673,0.6555175781,64.18088805,1.375997663,1.151365638,2.375559092,0.535556674,0.1795832366,2.150648832,0,1.200000048,0.2628990114,0.1399538368,0.9864658117,0,1.200000048,0.2765433523,0.3876836687,0.2765433523,0.1339538258
SNA,l2init,0.001,0.001,0,26,0.9677833333,1,1,0,0,-0.06757254899,1.096531749,-9.137782097,0.9981306791,60.95418755,0,0,-1.634340286,2.336444139,-7.954231739,0.6657236218,66.83098023,1.353790998,1.193965554,2.382540464,0.5578733087,0.2363770604,2.184109449,0,1.200000048,0.2616500854,0.1503172964,0.9357076287,0,1.200000048,0.2657351123,0.3768229118,0.2657351123,0.1278166023
SNA,l2init,0.001,0.001,0,27,0.96639375,0.8974999785,0.8974999785,0,0,-0.3655532897,1.086185932,-11.61536503,0.8473608494,60.08735953,0,0,-2.527930975,2.502753258,-7.110811234,0.603564024,66.76760333,1.449946165,1.223612309,2.403092146,0.5775977373,0.1966630667,1.899146676,0,1.200000048,0.2385810316,0.1384648681,0.7162563205,0,1.200000048,0.3034932643,0.4201650868,0.3034932643,0.1524785665
SNA,l2init,0.001,0.001,0,28,0.9689958333,1,1,0,0,-0.2016910613,1.049274921,-7.844733238,0.9170995355,61.48358146,0,0,-1.124154091,1.918173075,-4.589994431,0.7397962213,67.22139492,1.292427421,1.139062405,2.330020905,0.5665837526,0.2702889442,2.518428326,0,1.200000048,0.3169952631,0.1868757308,1.42748785,0,1.200000048,0.2487125927,0.3598817536,0.2487125927,0.118356739
SNA,l2init,0.001,0.001,0,29,0.9665354167,1,1,0,0,-0.1615853459,1.126161814,-9.687601089,0.9097278118,62.93853559,0,0,-2.037930965,2.358143091,-5.917090893,0.6220247149,66.85632935,1.433891892,1.194657445,2.390807867,0.5440683365,0.2280948013,1.70910275,0,1.200000048,0.2618769705,0.1496643126,0.6752349734,0,1.200000048,0.2953834925,0.4090958755,0.2953834925,0.1463985992
SNA,l2init,0.001,0.001,0,30,0.96719375,1,1,0,0,-0.4093562961,1.163879156,-7.874644279,0.861765027,65.99576425,0,0,-1.217731357,2.236910343,-4.377462387,0.7096930146,68.25324005,1.458000541,1.169371605,2.376631737,0.5248761177,0.2671369016,1.763869047,0,1.200000048,0.2809736133,0.1687504947,1.212471366,0,1.200000048,0.3016235254,0.4135844493,0.3016235254,0.1490661136
