t,branch,seed,cond,status,hit99,hit999,stop_step,bundle_steps,correct_at_stop,stop_observed,min_correct_after_hit,memo_acc,online_acc,tc,parent_ckpt,parent_sha256,reused,stop_snap,end_snap
20,A,6,std,alive,300,400,900,900,1200,1,1200,1,0.9248611111,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed6_stop.npz,snap/fork_t20_A_seed6_end.npz
20,A,7,std,alive,300,400,900,900,1200,1,1200,1,0.9202777778,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed7_stop.npz,snap/fork_t20_A_seed7_end.npz
20,A,8,std,alive,300,400,900,900,1200,1,1200,1,0.9185416667,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed8_stop.npz,snap/fork_t20_A_seed8_end.npz
20,A,9,std,alive,300,300,800,900,1200,1,1192,1,0.9239583333,600900,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_A_seed9_stop.npz,snap/fork_t20_A_seed9_end.npz
20,B,0,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed0_stop.npz,snap/fork_t20_B_seed0_end.npz
20,B,1,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed1_stop.npz,snap/fork_t20_B_seed1_end.npz
20,B,2,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed2_stop.npz,snap/fork_t20_B_seed2_end.npz
20,B,3,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed3_stop.npz,snap/fork_t20_B_seed3_end.npz
20,B,4,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed4_stop.npz,snap/fork_t20_B_seed4_end.npz
20,B,5,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed5_stop.npz,snap/fork_t20_B_seed5_end.npz
20,B,6,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed6_stop.npz,snap/fork_t20_B_seed6_end.npz
20,B,7,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed7_stop.npz,snap/fork_t20_B_seed7_end.npz
20,B,8,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed8_stop.npz,snap/fork_t20_B_seed8_end.npz
20,B,9,std,alive,100,100,600,600,1200,1,1200,1,1,600600,results/altlabels_cifar_0923/LR_abab/ckpts/t20.pt,a28ca4bbb11363524d3019ce3015c48dad3ae0c60db71777e4d3f98031bf1fef,0,snap/fork_t20_B_seed9_stop.npz,snap/fork_t20_B_seed9_end.npz
