arm,seed,task,cap_on,major_frac,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_a1mean_l1,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
cap_par,6,26,1,0.1125,3.1030239482978104,2.031584295795973,25.700742721557617,26.621295928955078,3.840289947760563,2.1949622631073,-1.1063594222068787,0.26060926554162134,-1.7029233702341953,0.6445296668106941,0.0032354642785663674,0.789115866164571,0.05347087981505874,0.27458333333333335,0.9958333333333333,0.6045833333333333,0.0025,0.0033076072267301526,-2.106197992818567,0.042675097000873005,-0.16338325728778727,14.978098481571159,5.187912187572515,7.779014988267317,55.0614181133272,14.977997123980575,4.727747258368755,14.9020465234148,4.9345126498470595,2.0554394666850566,-93.16720600848396,0.26249998807907104,0.1853125,240.62612109072506,0.0,84876,0
cap_par,6,27,1,0.11,3.0793456157124677,2.0687203491532387,26.49199867248535,21.311923027038574,4.047872781730451,2.2810046672821045,-1.134773313999176,0.265941087969624,-1.7545648509477012,0.6375981728466942,0.0021280554104290443,0.7881016083958529,0.04276586005802875,0.275,0.9970833333333333,0.60625,0.0016666666666666668,0.005982466974072702,-2.187769378355762,0.044802665455505326,-0.16470031295146328,15.025580777221702,5.289152949789407,7.757419635689329,54.60099859185331,15.025201173117136,4.808456671622109,14.907505899248989,5.055298732361091,2.275164008339246,-98.68516519760092,0.23250000178813934,0.1728125,236.02175016328692,0.0,85725,0
cap_par,6,28,1,0.11,3.09657504150108,2.0557168326669055,27.59663963317871,15.21739912033081,4.407742390743708,2.318537950515747,-1.1516430974006653,0.26533834684239577,-1.8445503142312396,0.6474512348465793,0.0010932943325197065,0.7939058265167951,0.02943782372645245,0.2783333333333333,0.9983333333333333,0.6133333333333333,0.0008333333333333334,0.0017238969185476155,-2.2292582536198613,0.043039910928859615,-0.16874596037028822,15.127049435419432,5.2747719787261245,7.902977336191473,55.981762181801,15.126856983505967,4.788375961487391,15.05041055968876,5.002587388216247,2.3247402851780254,-103.07227198640504,0.20499999821186066,0.15889583333333332,209.47393256705254,0.0,82930,0
cap_par,6,29,1,0.11916666666666667,3.0921511969528455,1.981115178262172,28.15399742126465,1.4854515194892883,4.371070784435724,2.4749165773391724,-1.157325804233551,0.2763627950068086,-1.8880485210121576,0.6490895025249193,0.0008333527193259084,0.7937849110641493,0.028867513466464524,0.27749999999999997,0.9991666666666666,0.6104166666666666,0.0008333333333333334,-0.006551681288934127,-2.262681301612712,0.0453969414367205,-0.1705562937934883,15.312763103458575,5.320490327470761,7.94132027674182,56.26613698823169,15.312672098408344,4.777979250455784,15.128445688582635,5.007012389874667,2.4307257492840293,-106.55501907149952,0.15333333611488342,0.13620833333333332,189.87991595081985,0.0,78785,0
cap_par,6,30,1,0.12166666666666667,3.069357902252396,2.0587986386777244,27.338912963867188,2.172299861907959,4.463515882457917,2.574078321456909,-1.1701887249946594,0.26987231579411686,-1.9978231969524711,0.6475130139795338,0.0008333370932278024,0.7940275744445355,0.028867513460002762,0.27166666666666667,0.9991666666666666,0.6145833333333333,0.0008333333333333334,0.0002243451886445591,-2.2447163350179435,0.04564644343802415,-0.17121067082203809,15.34961521876033,5.334565093662946,8.14686362127604,53.499610036162025,15.349486317030184,4.842357607140672,15.295857456578517,5.070326599022254,2.392246418893337,-106.83934694960713,0.14749999344348907,0.12923958333333332,193.7915294058621,0.0,90971,0
cap_par,6,31,1,0.11583333333333333,3.1192587301409787,2.0216074103311583,27.70797061920166,3.7935550212860107,4.56480449769025,2.6270543336868286,-1.1682761311531067,0.2966707877663385,-2.002816955974998,0.6620352187710612,0.0008334685481053551,0.8020381695546318,0.02886751380690975,0.26541666666666663,0.9991666666666666,0.6204166666666666,0.0008333333333333334,0.003978574517917582,-2.284692994479072,0.04656364226189555,-0.17044479797128587,15.44904828880774,5.353339062681936,8.204343512104428,55.904875945917496,15.448946635848994,4.791420311705787,15.341056052313053,5.046191272584594,2.525379474808773,-112.15014687856038,0.16083332896232605,0.12284375,171.8394526131451,0.0,84927,0
cap_par,6,32,1,0.10916666666666666,3.0330566964112613,1.9985054516292318,27.82895278930664,0.34835538268089294,4.5709859306256595,2.627405285835266,-1.1497963070869446,0.281640227934303,-1.9625624823608447,0.6570501846392582,0.0006426587656722332,0.7996618368823841,0.022262328745399695,0.26625,0.9991666666666666,0.62,0.0004166666666666667,-0.0004710822993784919,-2.2699843665473534,0.04578854812268905,-0.1623648852010956,15.524388467276227,5.328498042566516,8.183517810967388,58.129184751209486,15.52421044113795,4.826416567626238,15.419768987211178,5.075025319407303,2.5326915500561396,-112.10316648324331,0.15666666626930237,0.12283333333333334,189.21735062263906,0.0,92793,0
cap_par,6,33,1,0.11666666666666667,3.048395239136533,2.006307811922337,28.131312370300293,-6.749797821044922,4.583934133776153,2.680539131164551,-1.1697105765342712,0.29191521897987227,-2.0774411195822835,0.6622454902740027,1.9554056387968287e-06,0.8031925436910798,5.388674426403791e-05,0.26625,1.0,0.6279166666666667,0.0,0.004075273083205787,-2.3088849557198694,0.04724807506986694,-0.16508161874633515,15.584562015251581,5.329861468153302,8.29137917119823,55.53367991991018,15.58449924332015,4.844011219291407,15.49026795188555,5.068999810991785,2.561698449005683,-116.47431045969327,0.14499999582767487,0.12926041666666666,135.78983150795102,0.0,73946,0
cap_par,6,34,1,0.1175,3.0333227672791008,2.0165453258350445,27.42084789276123,-7.463998794555664,4.5724377099704,2.6783370971679688,-1.1774830222129822,0.30054533488401336,-2.1116435974444463,0.659079926193697,5.252075775392502e-07,0.8024424373487871,1.6953181430384786e-05,0.2683333333333333,1.0,0.62625,0.0,0.0063515149145994265,-2.2833000036753206,0.0490581970404111,-0.16717320091091098,15.633785696997577,5.350077784725619,8.388103377298929,53.320626687806076,15.633769500512036,4.825401813147794,15.549367422762284,5.071395864141243,2.582214195479949,-114.87170352558294,0.14499999582767487,0.1203125,169.75447837356478,0.0,96603,0
cap_par,6,35,1,0.11416666666666667,3.096790599990581,2.069173222193361,28.021385192871094,-4.655620574951172,4.696174032278359,2.659513473510742,-1.1460603475570679,0.3053973241443261,-2.078685611613105,0.6598600260827738,8.057372678722337e-06,0.8016666635951637,0.00027895526811492816,0.27375,1.0,0.62,0.0,-0.006078179903416109,-2.28409219210906,0.04718779958702447,-0.16767106019891798,15.75939353494034,5.382640050670039,8.395149086058748,54.355424512458995,15.758941062648718,4.887282891202101,15.571836696512179,5.164950254457786,2.7106224205096563,-114.98497036774953,0.1758333295583725,0.13188541666666667,189.3710825322196,0.0,98171,0
