task,N,N2,D2,erode,cos,rowmean,bias,arm,seed,steps2,persist,zbar_cur,sigma_cur,zbar_inv,sigma_inv,acc,E,E_pred,E_pred_wrong,r_1,r_2,r_scale
74,8.519942139684526,74.53693021303573,6.436349827749533,-6.353610315765124,-0.1434548319615439,-0.32424331269555057,0.07000211626291275,LIN0,0,,,,,,,,,,,,,
75,8.541622620107862,74.96887038075891,5.69871410873453,-5.266773941011349,-0.13298590894539233,-0.3282560760861979,0.07084054052829743,LIN0,0,,,,,,,,,,,,,
76,8.559714056492137,75.36918839229563,5.091648308687031,-4.691330297150316,-0.1269295610229731,-0.33143235273923616,0.0717540755867958,LIN0,0,,,,,,,,,,,,,
77,8.562023210114933,75.35591544448009,5.959304471863419,-5.972577419678954,-0.1406243121753575,-0.33535854430994955,0.07242659777402878,LIN0,0,,,,,,,,,,,,,
78,8.557102480648405,75.34216342516973,5.561283564726104,-5.575035584036479,-0.14034021353272902,-0.3387557991166469,0.07129639536142349,LIN0,0,,,,,,,,,,,,,
79,8.53479766569502,74.92703706262922,5.833890627034851,-6.249016989575346,-0.15209555514371326,-0.34265069152776534,0.07199984490871429,LIN0,0,,,,,,,,,,,,,
80,8.53193022815466,74.84022677042388,5.83217722719142,-5.91898751939676,-0.14401366665435417,-0.34627829428426393,0.07255258262157441,LIN0,0,0.04169022161630796,139.89316921524946,-36.72973358510903,13.383263212426153,-35.90936550781649,12.814624880810005,0.8414999842643738,0.005909133615183606,0.005909085399833591,-0.008176782607247,0.005909133615183606,0.0,6.418652551575659
81,8.533865312297664,74.85553636077225,5.739518451255831,-5.72420886090747,-0.14060357492867098,-0.3494537150493076,0.0722145065665245,LIN0,0,,,,,,,,,,,,,
82,8.510752891409624,74.4125716593369,5.698170293700953,-6.141134995136307,-0.1495987056748802,-0.3532619373427483,0.07202903926372528,LIN0,0,,,,,,,,,,,,,
83,8.515297841615881,74.44606186683816,6.0260275762563555,-5.992537368755073,-0.13948644444388952,-0.3578433435174312,0.07206930220127106,LIN0,0,,,,,,,,,,,,,
84,8.513335476279156,74.44093394801013,6.304955798496357,-6.3100837173244,-0.1475033998263554,-0.36201818751213033,0.0720333531498909,LIN0,0,,,,,,,,,,,,,
85,8.514273971453218,74.46589129701701,5.386910387657451,-5.361953038650578,-0.1358680353083856,-0.365479873465164,0.07259005457162857,LIN0,0,,,,,,,,,,,,,
86,8.485307911033003,74.00526156151739,6.230516796987255,-6.6911465324868855,-0.15876514208451864,-0.36934759314786525,0.07251066267490387,LIN0,0,,,,,,,,,,,,,
87,8.48795962840935,74.0000208985941,5.750085588690812,-5.755326251614093,-0.13919000396703157,-0.3725211865283332,0.07361772358417511,LIN0,0,,,,,,,,,,,,,
88,8.474576088714489,73.76834890400805,5.693688305059192,-5.925360299645232,-0.14509276991211636,-0.3761422722311803,0.07438198775053025,LIN0,0,,,,,,,,,,,,,
89,8.441256913465091,73.15797572580409,6.494368868868024,-7.104742047071994,-0.16059317620223537,-0.3790965781046109,0.07367196679115295,LIN0,0,,,,,,,,,,,,,
90,8.4417067859236,73.21198292527545,5.266385845575073,-5.212378646103707,-0.13711331341854383,-0.3825053742008963,0.07500646114349366,LIN0,0,0.04156675517436017,126.69706411973105,-39.68366949424349,14.458307517831605,-39.67727605085862,14.080917561862746,0.8458999991416931,,,,,,
91,8.435032212611054,73.08996355917034,5.667786866796966,-5.7898062329020705,-0.14394887612707757,-0.3851523001998755,0.07536210715770722,LIN0,0,,,,,,,,,,,,,
92,8.456865000379624,73.42456314603014,5.221847870350196,-4.887248283490403,-0.12553857245438166,-0.3887504321441268,0.07536657154560089,LIN0,0,,,,,,,,,,,,,
93,8.447999804568713,73.29713897030142,5.744247710647272,-5.871671886375991,-0.14470911518853477,-0.392920855987121,0.07467589974403381,LIN0,0,,,,,,,,,,,,,
94,8.45401035214357,73.34259744077556,5.657398645043065,-5.611940174568938,-0.1357695601339636,-0.3966473951662035,0.0757712334394455,LIN0,0,,,,,,,,,,,,,
