task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
106,1.0,0.016105376183986664,0.995361328125,6.6160853202520045,44.0108129729617,0.1601053512897693,0.050896512805887556,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
107,1.0,0.010350783355534077,0.995361328125,6.651905846187255,44.48799608702298,0.15116643231166826,0.06491076710042185,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
108,1.0,0.013006864115595818,0.996337890625,6.6751009125498335,44.80026440333499,0.17461602360926562,0.02464123028934549,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
109,1.0,0.016436835750937462,0.995849609375,6.704850987182682,45.19644532458467,0.163940206389443,0.042626773735425436,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
110,1.0,0.011702040210366249,0.99560546875,6.731060900538593,45.547866543098046,0.12730909930866283,0.04716645134981205,K000_LR,0.0,leaky,0.1,1,9.432087136286165e-09,0.1852974914735387,3.4642394903399684e-09,0.1905348064387426,77.11804885675434,0.010330879643700967,0.24635854022687131,1.0,1.4210854715202004e-14,0.009197505745127774,13.84169826434767,4.71616477078517,-3.2203369679947955,0.231640625,0.978600025177002
111,1.0,0.015394122339785099,0.995361328125,6.758274942692165,45.915508866116916,0.12237658032471868,0.05289509377755298,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
112,1.0,0.010212487541139126,0.996337890625,6.789436910328825,46.34629055182373,0.20378492086694536,0.03625312982162646,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
113,1.0,0.01085469126701355,0.99658203125,6.811994776766892,46.6562556031932,0.10316743446306231,0.04732029494914407,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
114,1.0,0.005419713910669088,0.998291015625,6.836935056715547,46.99966176086784,0.13994584803284393,0.03900235846360744,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
115,1.0,0.0159921795129776,0.99560546875,6.860885272286976,47.33160376797534,0.14309226142431292,0.037264857087150924,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
116,1.0,0.00826002936810255,0.9970703125,6.892280853902443,47.76416670125926,0.2145909872373153,0.03394308579080508,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
117,1.0,0.011918784119188786,0.99609375,6.919066816746491,48.13341923348143,0.1620296231113756,0.03928164576802428,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
118,1.0,0.010367226786911488,0.996337890625,6.939637731853934,48.419899122882164,0.14997480160776963,0.02750252147933228,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
119,1.0,0.008519651368260384,0.9970703125,6.960098838991699,48.705854464274736,0.1389591750930873,0.027818710286429127,K000_LR,0.0,leaky,0.1,1,,,,,,,,,,,,,,,
120,1.0,0.005774640943855047,0.998291015625,6.974898401785367,48.91229093159793,0.10384718622321852,0.022770344367697024,K000_LR,0.0,leaky,0.1,1,1.241973663381986e-09,0.1901239457729118,4.5886763603953675e-10,0.1853284341223078,76.81500856664553,0.0077460663700992,0.2497572102258487,1.0,2.842170943040401e-14,0.007703949750763446,13.479733069770798,4.889777586802502,-3.201713561099609,0.2416796875,0.9793999791145325
