task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
53,0.9043367346938775,0.18571467697620392,0.939697265625,3.400815827736511,11.599617532513962,0.21347265490195563,-0.03717199384117402,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
54,0.9030612244897959,0.237061008810997,0.92431640625,3.415313796722113,11.699336030559097,0.22512658190027093,-0.03929655343616226,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
55,0.9017857142857143,0.30496570467948914,0.898681640625,3.438236947739968,11.857041748876782,0.22778807372944854,-0.02208102653340041,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
56,0.9005102040816326,0.1457059681415558,0.95263671875,3.453386900117424,11.961790763775504,0.2121933378610513,-0.03458070981660732,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
57,0.9005102040816326,0.23209157586097717,0.9248046875,3.469164622476672,12.072119290541822,0.2128454915132451,-0.03307916996625086,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
58,0.9005102040816326,0.17543745040893555,0.944091796875,3.4820695651224987,12.161943479337587,0.18633673672133638,-0.03227812736475012,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
59,0.9017857142857143,0.24082320928573608,0.92138671875,3.4947580299814094,12.251316352826935,0.21260357888563372,-0.03925106316813456,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
60,0.9005102040816326,0.2618756592273712,0.91650390625,3.510755345965901,12.364760297726754,0.23328195591130618,-0.036210800981330796,K010_SN06,0.1,snake,0.6,2,0.0008562390497344219,0.8261816441925977,3.048131565368316e-05,0.4271161968437998,79.60488870974046,0.08479921855045079,0.9229051331342271,1.0,5.329070518200751e-15,0.018460471026956617,12.636836599166935,1.313595696186008,-0.5831077813493796,0.2866796875,0.9567000269889832
61,0.9005102040816326,0.2876039147377014,0.909423828125,3.526865539242845,12.478834536795077,0.23367021439188457,-0.036520198432068024,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
62,0.9043367346938775,0.22989696264266968,0.929443359375,3.5367326397208934,12.548072369284068,0.23733688152789573,-0.05013085863837894,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
63,0.9043367346938775,0.2060972899198532,0.93359375,3.545554319073291,12.609717593602179,0.20959692905987182,-0.046137250211678804,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
64,0.9017857142857143,0.24793849885463715,0.921630859375,3.5566906971606547,12.688289153067599,0.2312611632421604,-0.04554239356274773,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
65,0.9005102040816326,0.3638153076171875,0.886962890625,3.572581544915094,12.80156759577347,0.2448091568101124,-0.037348010802117984,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
66,0.9017857142857143,0.21133510768413544,0.93408203125,3.5863668479494333,12.902462347119204,0.21823066707932226,-0.036568046526829316,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
67,0.9017857142857143,0.23348861932754517,0.92138671875,3.6062816584320627,13.046396425963858,0.23946836943105154,-0.02782660005724378,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
68,0.9005102040816326,0.1967022866010666,0.93798828125,3.621831754163224,13.158599901056396,0.2212722939325128,-0.03304062756780127,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
69,0.9017857142857143,0.19168727099895477,0.93798828125,3.636516912347919,13.265531096787363,0.24049127616926413,-0.038944501758704515,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
70,0.9043367346938775,0.1856595277786255,0.93896484375,3.649063178464612,13.357714842417723,0.20793540327058985,-0.03561508698739251,K010_SN06,0.1,snake,0.6,2,0.0008958479508174271,0.8448860235386376,3.175874470367886e-05,0.4266379637411224,78.25522647963314,0.08384776384489151,0.93825536009318,1.0,5.329070518200751e-15,0.01567673530684987,13.26394808616393,1.3156056849097841,-0.6048854902630744,0.28447265625,0.9628999829292297
