seed,env,act,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,zmean_l1,gate_mean_l1,lowgate_l1,tinygate_l1,neggate_l1,zmed_l1,zmean_l2,gate_mean_l2,lowgate_l2,tinygate_l2,neggate_l2,zmed_l2,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1
2,RL,SILU,84,0.1158333,0.2701146,1.915063,True,0.3466667,1.685396,-31.79732,0.0002077658,0.9932667,0.7746917,0.9974167,-31.02716,-0.7139645,0.2787916,0.09114168,0.001591667,0.1551917,-0.5628639,36.22268,27.31267,7.2575,35.32859
2,PM,LR,84,0.1158333,0.9756458,0.1084377,True,1,0.0003617764,-9.306362,0.2082175,0,0,0,-7.541678,-17.28912,0.1731775,0,0,0,-17.66343,15.93017,5.941978,3.889286,15.60155
2,PM,ELU1,84,0.1158333,0.9761771,0.1106022,True,1,0.0002686163,-4.359107,0.3004138,0.5984333,0.04136666,0,-5.651971,-32.5432,0.07687931,0.9087584,0.7207168,0,-31.51599,16.26398,6.093978,4.080108,16.12143
2,PM,R,84,0.1158333,0.769625,0.6688097,True,0.9416667,0.1935646,-7.453958,0.02898333,0.9710167,0.9710167,0,-8.424999,-16.98798,0.09815001,0.90185,0.90185,0,-16.46643,8.074782,4.766424,34.73909,7.793721
2,PM,GELU,84,0.1158333,0.1158021,2.300664,True,0.1158333,2.300243,-6.875482,0.05487037,0.8880166,0.6557833,0.7947418,-8.590275,-77.40091,-1.348435e-20,1,1,0.0013,-59.95696,12.51903,13.73343,24.3059,12.22
2,PM,SILU,84,0.1158333,0.3613437,1.773725,True,0.5991667,1.281399,-8.780674,0.05017844,0.8514084,0.0742,0.9250667,-10.2889,-34.18386,-0.0007830894,0.9874668,0.706825,0.9697416,-31.05557,16.80955,14.38839,53.47496,16.49951
0,RL,LR,85,0.115,0.4536042,1.609215,True,0.69,0.9027199,-12.50276,0.114895,0,0,0,-12.80881,-8.512794,0.1291375,0,0,0,-8.780489,33.02136,4.621735,4.203153,32.63164
0,RL,ELU1,85,0.115,0.1015521,2.320233,True,0.09916667,2.328519,-1.073847,0.3043345,0.6503917,0.2013834,0,-10.07455,-192.5496,2.438287e-11,1,0.9999917,0,-194.4625,14.00046,4.231628,3.765268,13.71448
0,RL,R,85,0.115,0.1089479,2.299645,True,0.115,2.29888,-6.015767,0,1,1,0,-7.271012,-0.2757259,0,1,1,0,-0.004251896,3.12973,2.514979,5.253899,3.03622
0,RL,GELU,85,0.115,0.2081875,2.079559,True,0.2441667,1.94866,-20.97205,0.0001443001,0.997275,0.9793835,0.2214334,-20.73345,-0.1128493,0.4406761,0.01348333,0.004083333,0.01545,-0.09702693,18.4726,28.59731,8.844123,18.37812
0,RL,SILU,85,0.115,0.1117917,2.311458,True,0.1158333,2.40127,-29.99048,0.03082333,0.9672916,0.8556083,0.9653918,-39.03779,-114.5898,2.311362e-05,0.9999417,0.9918,0.4960083,-94.7887,19.97522,13.9215,94.32016,19.4618
