seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
2,PM,50,1,RB20,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,RC20,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
2,PM,50,1,RD20,51,1500,0.005434402730315924,1.0,0.23750989139080048,0.9462916851043701
0,PM,50,1,A,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,B20,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,C20,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,D20,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,C5,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,D5,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,C10,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,D10,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,RB20,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,RC20,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
0,PM,50,1,RD20,51,3000,0.0008558615227229893,1.0,0.09722825884819031,0.9771666526794434
1,PM,50,1,A,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,B20,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,C20,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,D20,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,C5,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,D5,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,C10,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,D10,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,RB20,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,RC20,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
1,PM,50,1,RD20,51,3000,0.0008260321919806302,1.0,0.102147676050663,0.9782916307449341
2,PM,50,1,A,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,B20,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,C20,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,D20,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,C5,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,D5,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,C10,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,D10,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,RB20,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,RC20,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
2,PM,50,1,RD20,51,3000,0.0009323366684839129,1.0,0.12001126259565353,0.9731458425521851
0,PM,50,1,A,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,B20,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,C20,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,D20,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,C5,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,D5,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,C10,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
0,PM,50,1,D10,51,6000,8.592406811658293e-05,1.0,0.0487741120159626,0.9885833263397217
