arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,dm20,dm100,gpos20,gneg20,split_identity
R,21,67,-0.004721676330815654,-0.007885123216176593,4.0534775661038065,1.722555263593391,-1.013639930258167,0.251953125,0.3956048555958286,-0.12291360608815063,0.27269124950766965,-0.024105235803727938,0.07210167528612312,0.0,-0.0013332767294296178,-0.0017247387282548837,0.024485904452054192,0.0,9.270362255620057e-15
R,21,68,-0.023222102286767115,0.0,1.7455368389918076,0.15790441709217942,-2.5091593442696944,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,69,-0.01649693527724594,-0.003943052746336079,2.9298655728432683,0.4561116725446412,-0.9737724148827203,0.091796875,0.23192346490652088,0.04447585262954082,0.2763993175360593,0.015760654434279847,0.014203658176700875,0.0,-0.002666920402867729,-0.0030073601513749388,0.012446855703960065,0.0,9.270362255620057e-15
R,21,70,-0.023823452800292105,0.0,2.4127374162963595,0.5829205507705071,-2.70903767781393,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,71,0.024942801847638127,0.0015761102745806739,3.8051827977698425,1.081764662928236,1.7257158087429012,0.931640625,0.9518586772135222,-0.5728655001732978,0.3789931770402202,-0.07715443785235099,-0.014570353201564575,0.0,-0.0023838553728897493,-0.0014876384997552703,0.021375940583230692,0.0,9.270362255620057e-15
R,21,72,-0.029765046020837852,0.0,1.9361252752798923,0.17452474412058738,-3.032470449890024,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,73,-0.012446798470276063,0.0020764635863700755,3.7580101569784254,0.8513354948303848,-0.43591556820204036,0.390625,1.18711007228895,-0.6699072709807445,0.5172028013082048,-0.08180526415921008,-0.021074867528621713,0.0,0.0023944653995126176,0.0010654588333209728,-0.01481102307515238,0.0,9.270362255620057e-15
R,21,74,-0.021937853065797493,-0.0006509400759476145,3.574237364962683,0.7991560171032086,-3.0143947385348326,0.0,0.002934688062321871,-0.006628518782136205,-0.0036938307198113307,-0.01711678250071626,0.0009025600027967024,0.0,-0.0002457612967451236,3.1983246739103916e-05,0.0,0.0,9.270362255620057e-15
R,21,75,-0.022312137958903935,-0.000613321277045061,1.9386061416954037,0.26073411789704426,-2.2917200597722984,0.0,0.005176290568641608,-0.027385814109291445,-0.02220952354065009,-0.09817406014783195,1.2230415106427059e-05,0.0,0.0,-0.000114096972835369,0.0,0.0,9.270362255620057e-15
R,21,76,-0.025194022750597192,0.0,1.9664005378420748,0.18972198252520528,-2.3158028980820333,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,77,-0.013960540326015503,-0.003773763597766392,3.681690117176245,1.0297118285155995,-2.1877319462148863,0.015625,0.09693952318595606,-0.02793636096823146,0.06900316221772407,-0.012185466683318191,0.014303684469157672,0.0,-0.0005126328062812847,-0.0015995061203887661,0.0006212862163849913,0.0,9.270362255620057e-15
R,21,78,-0.017418068249841726,-0.005090054190499617,3.657005203123097,0.6838946234803918,-1.638915229922394,0.052734375,0.10100989479444876,-0.06833486847832743,0.032675026316118405,-0.02939712300496991,0.02649364918651192,0.0,-0.0024229848616702226,-0.004633157223447504,0.02336445485684849,0.0,9.270362255620057e-15
R,21,79,-0.03527497995935623,0.0,2.7387309205813524,0.3839288302245475,-2.9931647912953205,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,80,-0.03147999279991493,0.0033042491599403158,3.7747389722115807,1.0020146782694215,-2.65353416501963,0.01171875,1.0606624476080229,-0.3943308344103655,0.6663316131976611,-0.05071719434324748,-0.009522475203005901,0.0,-9.341031181975268e-05,-0.0001450031731091792,0.00014316060938090672,0.0,9.270362255620057e-15
R,21,81,-0.02849881546970729,-0.0011164536054375479,3.71744738207034,0.9893713504059475,-1.36868302811552,0.138671875,1.1211483728882672,-0.16530776431969832,0.9558406085685611,-0.02099843272164787,0.010436331514621304,0.0,-0.0003625148018801729,-0.0009923838697339265,-0.00442165000007928,0.0,9.270362255620057e-15
R,21,82,-0.002073551911220123,0.000992142813675875,3.724371678915148,0.6917735756272719,0.6176407023526349,0.75390625,1.8603446232862946,-0.5043172646820807,1.356027358604221,-0.04963912563839577,-0.0016455251089812287,0.0,0.002017494699597295,0.004474842787890431,0.0008017750433788051,0.0,9.270362255620057e-15
R,21,83,-0.012611758112092392,0.0,0.6790761684980138,0.03643914572426601,-1.4570948912933015,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,84,0.022736198221425686,-0.0001907259882092163,3.808785703030261,0.9028999569702278,2.459780706222042,0.98828125,1.6356611237163734,-1.1172924725679079,0.5183686511484673,-0.11468422210829791,0.0022483212037963662,0.0,0.0021573252477686098,0.0019261380003274332,-0.04156487860638728,0.0,9.270362255620057e-15
R,21,85,0.013697458735378507,-0.0016098997851500194,3.775776093597821,0.8812901647761907,2.245599659585386,0.98046875,1.3364915890221523,-0.7847282611108926,0.5517633279112601,-0.08988763426967795,0.003923167371787115,0.0,-0.006728681558398625,-0.0030857983797524906,0.061094916590163174,0.0,9.270362255620057e-15
R,21,86,-0.03422491567489858,0.0,2.65018062218216,0.48574276308308834,-3.703827074730836,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,87,-0.0287228634854737,0.0,2.3382834901401783,0.4283142408698273,-2.784534804077497,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
