run_id,ckpt,neuron,w_norm,snr_i,cos_intra,cos_inter,E_adelta,sign_v,cov_norm,cov_proj
B_w100_K10000_c0.0_lr0.01_b32_s0,0,35,1.2067183256149292,0.07562457770109177,0.0,-0.010842299088835716,0.06999975442886353,-1.0,0.313437283039093,0.002906664041802287
B_w100_K10000_c0.0_lr0.01_b32_s0,0,36,1.6462994813919067,0.07806509733200073,0.0,0.0673586055636406,0.053588252514600754,-1.0,0.32991713285446167,-0.02260766737163067
B_w100_K10000_c0.0_lr0.01_b32_s0,0,37,1.498297929763794,0.07688011229038239,0.0,0.08717882633209229,-0.07531381398439407,-1.0,0.32660335302352905,-0.028263181447982788
B_w100_K10000_c0.0_lr0.01_b32_s0,0,38,1.5554698705673218,0.07549112290143967,0.0,0.05768797546625137,-0.018574794754385948,-1.0,0.3139183819293976,-0.01810074970126152
B_w100_K10000_c0.0_lr0.01_b32_s0,0,39,1.633959174156189,0.07935943454504013,0.0,-0.07532836496829987,0.08185648918151855,1.0,0.33348798751831055,-0.025340577587485313
B_w100_K10000_c0.0_lr0.01_b32_s0,0,40,1.4056951999664307,0.0763290598988533,0.0,-0.010101151652634144,0.11294711381196976,-1.0,0.32342299818992615,0.0027893425431102514
B_w100_K10000_c0.0_lr0.01_b32_s0,0,41,1.5018855333328247,0.08037486672401428,0.0,0.08001695573329926,-0.0028668888844549656,-1.0,0.33761265873908997,-0.027020154520869255
B_w100_K10000_c0.0_lr0.01_b32_s0,0,42,1.4768272638320923,0.07956437021493912,0.0,-0.053053032606840134,0.14261826872825623,1.0,0.33538275957107544,-0.018404962494969368
B_w100_K10000_c0.0_lr0.01_b32_s0,0,43,1.51302969455719,0.0805218517780304,0.0,-0.07235277444124222,-0.0824713334441185,1.0,0.3375777006149292,-0.024002131074666977
B_w100_K10000_c0.0_lr0.01_b32_s0,0,44,1.3952093124389648,0.07962534576654434,0.0,0.05699089914560318,-0.07278981059789658,-1.0,0.33600711822509766,-0.018888965249061584
B_w100_K10000_c0.0_lr0.01_b32_s0,0,45,1.326680064201355,0.07510935515165329,0.0,0.02239263989031315,-0.04394828900694847,-1.0,0.3152562081813812,-0.006948110181838274
B_w100_K10000_c0.0_lr0.01_b32_s0,0,46,1.2545732259750366,0.07923969626426697,0.0,-0.1172419860959053,0.02140004187822342,1.0,0.33517736196517944,-0.03926291689276695
B_w100_K10000_c0.0_lr0.01_b32_s0,0,47,1.2148926258087158,0.0796121135354042,0.0,-0.1043413057923317,0.12686000764369965,1.0,0.33070042729377747,-0.03503507748246193
B_w100_K10000_c0.0_lr0.01_b32_s0,0,48,1.3954113721847534,0.08205384016036987,0.0,0.07155787199735641,-0.07953737676143646,-1.0,0.34701621532440186,-0.024541396647691727
B_w100_K10000_c0.0_lr0.01_b32_s0,0,49,1.2726927995681763,0.0795651450753212,0.0,-0.05189662426710129,0.07407791912555695,1.0,0.3373047709465027,-0.017792673781514168
B_w100_K10000_c0.0_lr0.01_b32_s0,0,50,1.3517074584960938,0.0793779045343399,0.0,-0.10672712326049805,-0.0194714292883873,1.0,0.33225762844085693,-0.035196322947740555
B_w100_K10000_c0.0_lr0.01_b32_s0,0,51,1.56444251537323,0.08045027405023575,0.0,0.1487315148115158,-0.2866080701351166,-1.0,0.3439687192440033,-0.05016014352440834
B_w100_K10000_c0.0_lr0.01_b32_s0,0,52,1.419474720954895,0.07570239156484604,0.0,-0.021965060383081436,0.11060722172260284,1.0,0.32016438245773315,-0.007455867249518633
B_w100_K10000_c0.0_lr0.01_b32_s0,0,53,1.4823468923568726,0.07474999874830246,0.0,-0.048924144357442856,-0.07092445343732834,1.0,0.30973711609840393,-0.014740215614438057
B_w100_K10000_c0.0_lr0.01_b32_s0,0,54,1.4742896556854248,0.0814233049750328,0.0,-0.09544645994901657,0.05433029681444168,1.0,0.3469608426094055,-0.03332953527569771
B_w100_K10000_c0.0_lr0.01_b32_s0,0,55,1.354819893836975,0.08144363760948181,0.0,-0.08064350485801697,0.13353148102760315,1.0,0.3461715877056122,-0.028470130637288094
B_w100_K10000_c0.0_lr0.01_b32_s0,0,56,1.4529844522476196,0.08188065141439438,0.0,-0.08553808182477951,0.07460220903158188,1.0,0.3437742292881012,-0.02968013845384121
B_w100_K10000_c0.0_lr0.01_b32_s0,0,57,1.3818875551223755,0.08365847915410995,0.0,0.02435496635735035,0.0012126651126891375,-1.0,0.35618945956230164,-0.008718440309166908
B_w100_K10000_c0.0_lr0.01_b32_s0,0,58,1.4619131088256836,0.07710754126310349,0.0,0.06143845617771149,-0.13521839678287506,-1.0,0.3293105661869049,-0.019656941294670105
B_w100_K10000_c0.0_lr0.01_b32_s0,0,59,1.3593270778656006,0.0781421959400177,0.0,-0.014014774933457375,0.0847935676574707,1.0,0.32953107357025146,-0.004828581586480141
B_w100_K10000_c0.0_lr0.01_b32_s0,0,60,1.2203248739242554,0.07782883197069168,0.0,0.06907296180725098,-0.008583142422139645,-1.0,0.3274756073951721,-0.022588426247239113
B_w100_K10000_c0.0_lr0.01_b32_s0,0,61,1.5783257484436035,0.07857571542263031,0.0,0.03144357353448868,0.021371589973568916,-1.0,0.3285692036151886,-0.010480815544724464
B_w100_K10000_c0.0_lr0.01_b32_s0,0,62,1.243223786354065,0.07498369365930557,0.0,0.0381632074713707,0.013491211459040642,-1.0,0.31272831559181213,-0.012039035558700562
B_w100_K10000_c0.0_lr0.01_b32_s0,0,63,1.4428014755249023,0.07383730262517929,0.0,-0.04511258006095886,0.1006326973438263,1.0,0.30492880940437317,-0.01411121990531683
B_w100_K10000_c0.0_lr0.01_b32_s0,0,64,1.0463893413543701,0.07445400208234787,0.0,-0.003300403244793415,0.06623164564371109,-1.0,0.3097344636917114,0.000598774291574955
B_w100_K10000_c0.0_lr0.01_b32_s0,0,65,1.4059631824493408,0.07648958265781403,0.0,-0.09673658758401871,-0.07904204726219177,1.0,0.3265686333179474,-0.031222466379404068
B_w100_K10000_c0.0_lr0.01_b32_s0,0,66,1.4640289545059204,0.07900134474039078,0.0,0.04673201963305473,-0.06323278695344925,-1.0,0.3334205746650696,-0.015316150151193142
B_w100_K10000_c0.0_lr0.01_b32_s0,0,67,1.4003756046295166,0.07832518965005875,0.0,-0.0598711296916008,0.0023678976576775312,1.0,0.3240647614002228,-0.019280094653367996
B_w100_K10000_c0.0_lr0.01_b32_s0,0,68,1.5465953350067139,0.08313164114952087,0.0,0.11739577353000641,0.05661947280168533,-1.0,0.3516092896461487,-0.04153476282954216
B_w100_K10000_c0.0_lr0.01_b32_s0,0,69,1.3636956214904785,0.0772361159324646,0.0,-0.090290367603302,0.026636358350515366,1.0,0.32162994146347046,-0.029110679402947426
B_w100_K10000_c0.0_lr0.01_b32_s0,0,70,1.6408946514129639,0.08006023615598679,0.0,0.10276909172534943,-0.23371538519859314,-1.0,0.338277131319046,-0.03399597108364105
B_w100_K10000_c0.0_lr0.01_b32_s0,0,71,1.3639599084854126,0.07961186021566391,0.0,-0.09751003980636597,0.17654533684253693,1.0,0.3353785574436188,-0.03343043103814125
B_w100_K10000_c0.0_lr0.01_b32_s0,0,72,1.3475584983825684,0.08292471617460251,0.0,0.1337970495223999,-0.15536899864673615,-1.0,0.35062363743782043,-0.04627661034464836
B_w100_K10000_c0.0_lr0.01_b32_s0,0,73,1.4686756134033203,0.07810000330209732,0.0,0.1218450739979744,-0.1055174246430397,-1.0,0.3299531638622284,-0.03981276601552963
B_w100_K10000_c0.0_lr0.01_b32_s0,0,74,1.439555048942566,0.07706126570701599,0.0,0.035404760390520096,0.05347979813814163,-1.0,0.31940463185310364,-0.011545287445187569
B_w100_K10000_c0.0_lr0.01_b32_s0,0,75,1.4144582748413086,0.07791448384523392,0.0,0.10507038980722427,-0.039819713681936264,-1.0,0.3301332890987396,-0.03454011678695679
B_w100_K10000_c0.0_lr0.01_b32_s0,0,76,1.6040221452713013,0.0816170871257782,0.0,-0.14097242057323456,0.012473548762500286,1.0,0.34508606791496277,-0.04860841482877731
B_w100_K10000_c0.0_lr0.01_b32_s0,0,77,1.286394715309143,0.07799052447080612,0.0,0.07340244948863983,0.11206503212451935,-1.0,0.32473212480545044,-0.024373456835746765
