run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w5_K10000_c0.0_lr0.01_bfull_s1,50000,500000,50.0,0.001414213445968926,0.15858152508735657,0.12386182695627213,0.26898500323295593,0.23780366778373718,0.2179921567440033
B_w5_K10000_c0.0_lr0.01_bfull_s2,50000,500000,50.0,0.001414213445968926,0.2203437089920044,0.09023933857679367,0.3489081561565399,0.26650920510292053,0.4791501760482788
B_w5_K10000_c0.0_lr0.01_bfull_s3,50000,500000,50.0,0.001414213445968926,0.27260616421699524,0.12334158271551132,0.5191987752914429,0.37075871229171753,0.45274198055267334
B_w5_K10000_c0.0_lr0.01_bfull_s4,50000,500000,50.0,0.001414213445968926,0.25473180413246155,0.11350317299365997,0.4987011253833771,0.3748267889022827,0.6287782788276672
B_w5_K10000_c2.0_lr0.01_bfull_s0,50000,500000,50.0,0.001414213445968926,0.37918102741241455,0.25983160734176636,0.6454321146011353,0.4461299479007721,0.6197089552879333
B_w5_K10000_c2.0_lr0.01_bfull_s1,50000,500000,50.0,0.001414213445968926,0.16059622168540955,0.10843613743782043,0.19274334609508514,0.25023359060287476,0.11036018282175064
B_w5_K10000_c2.0_lr0.01_bfull_s2,50000,500000,50.0,0.001414213445968926,0.24972781538963318,0.16809764504432678,0.40975454449653625,0.2976960241794586,0.4621788561344147
B_w5_K10000_c2.0_lr0.01_bfull_s3,50000,500000,50.0,0.001414213445968926,0.1608758270740509,0.09247421473264694,0.18750718235969543,0.20719027519226074,0.04016879200935364
B_w5_K10000_c2.0_lr0.01_bfull_s4,50000,500000,50.0,0.001414213445968926,0.3066194951534271,0.19509541988372803,0.45915424823760986,0.34719404578208923,0.4429421126842499
B_w5_K10000_c0.0_lr0.01_bfull_s0,100000,500000,50.0,0.001414213445968926,0.15873311460018158,0.09416516125202179,0.3165724277496338,0.2126142382621765,0.2250673919916153
B_w5_K10000_c0.0_lr0.01_bfull_s1,100000,500000,50.0,0.001414213445968926,0.16723857820034027,0.09928165376186371,0.34652677178382874,0.3126121759414673,0.33203253149986267
