arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
C,raw,1,1,0.0001,18,0,1,0.7993189103,1,0.9899999499,1,0,0,-1.693033338,1.295024157,-8.526778221,0.05200000107,14.27351031,0.4099999964,0.4099999964,-2.308088779,1.223937035,-6.709425449,0.00400000019,5.709905072,1.030668139,0.7287108898,3.130162716
C,raw,1,1,0.0001,19,1,5,0.3719150641,0.6455999613,0.574000001,0.6455999613,0,0,-0.04526845738,3.050611734,-0.716576755,0.4875999987,34.48981339,0.2899999917,0.2899999917,-3.058827162,2.365842342,-6.875051498,0.007199999876,9.533833157,1.148820519,0.7403886914,3.26197958
C,raw,1,1,0.0001,20,0,1,0.7389823718,1,1,1,0,0,-0.1670841724,1.820061803,-2.008381605,0.4200000167,31.21956395,0.5099999905,0.5099999905,-2.840183735,1.616107941,-5.762786388,0,4.507672389,1.109200001,0.7412858605,3.314587116
C,raw,1,1,0.0001,21,1,5,0.1714342949,0.5428000093,0.55400002,0.5428000093,0,0,-0.009153808467,3.365283728,-0.9149223566,0.4971999824,30.85105204,0.3700000048,0.3700000048,-3.973503113,2.473403215,-6.991901398,0.00159999996,5.933062248,1.138032317,0.7483472824,3.401419878
C,raw,1,1,0.0001,22,0,1,0.6776842949,1,1,1,0,0,-0.5293832421,1.74891758,-3.117655039,0.3860000074,24.18498557,0.5600000024,0.5600000024,-3.484561205,1.996701837,-7.459288597,0,3.914878029,1.110530376,0.756410718,3.435003757
C,raw,1,1,0.0001,23,1,5,0.3453125,0.6627999544,0.6640000343,0.6627999544,0,0,-0.07261963934,2.846890926,-1.703694463,0.4739999771,31.01222973,0.2899999917,0.2899999917,-3.410598278,2.370628834,-7.175864697,0.003999999724,7.871868022,1.180452943,0.7654817104,3.545483112
C,raw,1,1,0.0001,24,0,1,0.7872195513,1,1,1,0,0,-0.5533732176,1.528396249,-2.995613575,0.2320000082,26.5610241,0.4199999869,0.4199999869,-2.292044878,1.472340465,-8.162869453,0.002000000095,6.012193102,1.100855708,0.7783746123,3.629829168
C,raw,1,1,0.0001,25,1,5,0.3565304487,0.7364000082,0.7020000219,0.7364000082,0,0,0.06494125724,3.405646086,-4.168775082,0.491599977,29.75172486,0.3899999857,0.3899999857,-4.479995728,2.848754168,-9.419801712,0.001999999862,7.166047239,1.189442396,0.7839240432,3.744781971
C,raw,1,1,0.0001,26,0,1,0.7749198718,1,1,1,0,0,-1.084957719,1.824139714,-6.23939991,0.1740000099,19.87080438,0.6100000143,0.6100000143,-4.025607586,2.156012058,-9.505828857,0,4.083040444,1.156865716,0.7901667953,3.827815533
C,raw,1,1,0.0001,27,1,5,0.3025240385,0.600399971,0.5820000172,0.600399971,0,0,-0.1352782398,2.947915554,-3.474230289,0.4819999933,33.69863688,0.4599999785,0.4599999785,-3.715616226,2.689103365,-8.218612671,0.0007999999798,7.112738694,1.218371749,0.801178813,3.96949625
C,raw,1,1,0.0001,28,0,1,0.7046073718,1,0.9899999499,1,0,0,-0.4969353974,1.801962733,-2.381683111,0.3280000091,24.73512773,0.5099999905,0.5099999905,-2.707686424,2.482195854,-6.770625114,0,4.994055768,1.126253843,0.8012273908,4.116840839
C,raw,1,1,0.0001,29,1,5,0.1400240385,0.4627999961,0.4720000327,0.4627999961,0,0,0.0174252186,2.625170946,-1.44961369,0.4791999757,21.74903154,0.4899999797,0.4899999797,-4.781576157,3.248384476,-9.124763489,0.0003999999899,4.177923101,1.154174566,0.8032521605,4.251088142
C,raw,1,1,0.0001,30,0,1,0.7125400641,1,1,1,0,0,-0.3549016118,2.017916918,-2.369609356,0.3860000074,21.80542289,0.5500000119,0.5500000119,-3.670352936,2.335471869,-8.894948006,0,4.104815266,1.140544176,0.8055347204,4.357800484
C,raw,2,2,0.0001,1,1,5,0.5541666667,0.6707999706,0.5660000443,0.6707999706,0,0,0.1827728152,3.437637091,-1.868138671,0.5248000026,24.59417738,0.009999999776,0.009999999776,1.76714015,1.771262407,-2.668974638,0.8939999938,15.13399936,0.9218393564,0.6115142703,0.6881098747
C,raw,2,2,0.0001,2,0,1,0.9329326923,1,1,1,0,0,-0.2368597239,1.833164096,-1.948855519,0.4600000083,27.48474612,0.009999999776,0.009999999776,0.3935568929,1.165512919,-1.933959126,0.6220000386,12.98663283,0.8440211415,0.6165664792,0.8002354503
C,raw,2,2,0.0001,3,1,5,0.5716746795,0.7303999662,0.7140000463,0.7303999662,0,0,-0.07103002071,2.237166405,-1.731805205,0.4767999947,35.64901516,0,0,0.9505292773,1.321050763,-1.496304989,0.6919999719,21.96192758,0.8933058977,0.6209979653,1.030931473
C,raw,2,2,0.0001,4,0,1,0.8684695513,1,1,1,0,0,-2.019854784,1.980189323,-11.53733826,0.1300000101,10.98022108,0.01999999955,0.01999999955,-0.8569874763,1.378984213,-5.616599083,0.1300000101,5.871850104,0.8770297766,0.627355814,1.189409375
C,raw,2,2,0.0001,5,1,5,0.5446714744,0.739199996,0.6940000057,0.739199996,0,0,-0.2555610538,2.47102952,-2.577834606,0.4379999936,34.56035883,0,0,-0.03370820358,1.388564825,-2.539409876,0.4720000029,18.52112066,0.9670804739,0.6287413239,1.398923635
C,raw,2,2,0.0001,6,0,1,0.8778846154,1,1,1,0,0,-0.2786679566,1.517352223,-1.78732574,0.3920000196,32.27437598,0.03999999911,0.03999999911,-0.5369365215,0.965898037,-1.866747618,0.1880000085,12.45983132,0.9680330157,0.6421801448,1.512937903
C,raw,2,2,0.0001,7,1,5,0.4430288462,0.6563999653,0.6060000062,0.6563999653,0,0,-0.01982972585,2.611891031,-1.423573375,0.4912,27.93331663,0,0,-0.8802121878,1.964648485,-3.588730335,0.3319999874,14.66537064,1.018344283,0.6497967243,1.738317013
C,raw,2,2,0.0001,8,0,1,0.8633012821,1,1,1,0,0,-0.9675316811,1.877204418,-3.621498823,0.2460000068,21.86380702,0.1599999964,0.1599999964,-1.727958322,1.55178082,-6.12348938,0.02800000086,6.96869968,0.9822381735,0.6558676958,1.869736075
C,raw,2,2,0.0001,9,1,5,0.4943108974,0.728399992,0.7100000381,0.728399992,0,0,0.09465648234,3.438966751,-5.303546906,0.4979999959,28.00667457,0.02999999933,0.02999999933,-1.961055756,1.932793379,-5.260467052,0.04120000079,10.29104054,1.076696277,0.6676410437,2.063231468
