arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p1_q0,5000000,neg,3,8,62,True,0.01,2.997275177636381e-14,2.7812271272458866e-13,5.858802845968202e-12,0.0006531825422688119,9.125388324589134e-13,0.002167663033697322,-0.004419049701613478
LR_a0p1_q0,5000000,neg,3,9,58,True,0.01,2.0681760126742648e-14,2.877234788569132e-13,7.847313178454566e-12,0.0006214642978973579,4.739066803651749e-13,0.0007510852322753144,0.0025802057943434802
LR_a0p1_q0,5000000,neg,4,0,56,True,0.01,1.5846697038049035e-14,2.929797181662368e-13,1.963009554861711e-11,0.0005756322282704465,1.702036072743287e-12,0.0001822871406878147,-0.0012630576135008024
LR_a0p1_q0,5000000,neg,4,1,39,True,0.01,3.381748021547411e-14,3.103744844830362e-13,1.6569224954179286e-11,0.0005304544063677169,2.715437991386041e-12,0.0012637711051763547,0.0033469093161728903
LR_a0p1_q0,5000000,neg,4,2,31,True,0.01,1.132805748482419e-14,2.6470740113984555e-13,9.251679495772788e-12,0.000551895846479532,2.5529914242074435e-12,0.001194657289053531,-0.003270825560960945
LR_a0p1_q0,5000000,neg,4,3,4,True,0.01,4.44691317062712e-14,2.8276496798614055e-13,7.467986560211838e-11,0.0005196179129222451,6.876190877138512e-12,4.632567418696743e-05,-0.0006330397735775603
LR_a0p1_q0,5000000,neg,4,4,49,True,0.01,1.517222401420608e-14,2.8452892635440535e-13,6.602921286641798e-12,0.0006020547973619059,5.171620394980305e-12,0.0013808020920793266,0.0034573011380255535
LR_a0p1_q0,5000000,neg,4,5,32,True,0.01,2.123450003956499e-14,2.628814496133109e-13,1.29127801983892e-11,0.0005740145907092903,2.8191014687180863e-12,0.0003414533007309452,-0.0017295796237486358
LR_a0p1_q0,5000000,neg,4,6,2,True,0.01,4.271797739655475e-14,2.624052375265953e-13,1.5725204202572542e-11,0.0005833448886036898,1.3068176977109131e-12,0.00028216673555568644,-0.00158255864428429
LR_a0p1_q0,5000000,neg,4,7,1,True,0.01,2.7076648096333934e-14,3.301265756156705e-13,4.6740938189804505e-12,0.00043544643217870724,1.1857798986021958e-12,0.0013840367142599471,0.0035796284877862832
LR_a0p1_q0,5000000,neg,4,8,98,True,0.01,4.070345518981297e-14,2.8476733275460633e-13,1.700152116686053e-11,0.0006514212984606359,2.455520306995925e-13,0.00027609592034672924,-0.0015771136666283283
LR_a0p1_q0,5000000,neg,4,9,85,True,0.01,2.9091797536461814e-14,3.096838250843258e-13,6.886262469033422e-12,0.0006214356331025063,9.3396370304893e-13,0.001193544436037508,0.0032525878169739468
LR_a0p7_q0,200000,pos,0,0,62,False,0.01,2.7005253582589915e-14,1.3196470709262675e-13,1.7783659077693087e-12,0.0017059985073734647,6.011930017549025e-13,0.0007453877819744223,-0.002554090487248547
LR_a0p7_q0,200000,pos,0,1,62,False,0.01,5.1077585833048525e-15,1.10677575906376e-13,5.936602531219633e-12,0.00142070147667451,2.5885871201524978e-12,8.718645053897912e-05,-0.0008796935431187301
LR_a0p7_q0,200000,pos,0,2,62,False,0.01,1.138371476595753e-14,9.668792126285791e-14,7.359671557657313e-13,0.0032978187835841105,5.94369316819187e-13,0.004509953921821598,0.006382146997903719
