arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,1,1,0.001,36,none,0.9683416667,1,1,0,0,-25.2872982,77.29955292,-44.63905716,0.4360001087,77.74743111,0,0,-188.6234589,136.1872559,-356.1111145,0.144999966,81.81151186,23.86169243,3.730603933,1.112920523,2800,3500,1199,974
LR,std,1,1,0.001,37,none,0.9645604167,1,1,0,0,-26.35985565,77.83718872,-49.222435,0.4322501123,78.47971233,0,0,-177.8512726,133.4679718,-301.6867676,0.1472499669,83.12770335,24.06356239,3.749266863,1.122301579,3500,4500,1200,731
LR,std,1,1,0.001,38,none,0.9648854167,1,1,0,0,-25.91614914,77.09003448,-45.80202866,0.4367500842,77.78100865,0,0,-186.8907013,133.1241302,-305.2094116,0.1427499503,81.95778317,24.41182709,3.773875952,1.133087277,3400,4200,1199,739
LR,std,1,1,0.001,39,none,0.967175,1,1,0,0,-25.77326965,79.54918671,-48.41280746,0.4375001192,77.52347021,0,0,-200.3057556,141.4062958,-330.7042847,0.1412499547,80.84866019,24.6613121,3.842439413,1.136113524,3200,3600,1200,806
LR,std,1,1,0.001,40,none,0.96350625,1,1,0,0,-26.19379997,79.36313629,-49.21491623,0.4352501035,78.27505991,0,0,-204.2428741,138.8073273,-340.8640442,0.1412499547,81.35484886,25.05583382,3.905207157,1.17059648,3300,3700,1200,1014
LR,std,1,1,0.001,41,none,0.9685479167,1,1,0,0,-25.8447113,81.27289581,-54.79589844,0.4345000684,77.88485013,0,0,-218.5492249,146.3200684,-377.8637085,0.1367499381,79.98778053,25.44762421,3.930811167,1.162499905,2800,3400,1200,823
LR,std,1,1,0.001,42,none,0.9622541667,1,1,0,0,-23.50489807,82.55303192,-54.33039856,0.4405000806,77.76554155,0,0,-212.1539612,145.7698822,-355.3917236,0.141999945,81.09061644,25.72674561,3.983519793,1.168410778,3300,4100,1200,792
LR,std,1,1,0.001,43,none,0.9659625,1,1,0,0,-26.21554375,82.62611389,-58.29029465,0.4307501316,77.41253885,0,0,-209.9173737,150.8952484,-439.4403381,0.1412499547,81.18233848,26.0120697,3.991734505,1.189672232,3600,4000,1200,1017
LR,std,1,1,0.001,44,none,0.9627125,1,1,0,0,-28.54987335,81.48480988,-59.84703445,0.4277501106,78.02544496,0,0,-211.8170929,153.7320862,-433.7591248,0.1404999644,81.10260099,26.30838966,4.035277843,1.236151218,4100,4300,1200,734
LR,std,1,1,0.001,45,none,0.9642958333,1,1,0,0,-28.49459457,82.78298187,-54.98259354,0.4217501283,78.24564823,0,0,-217.9467468,156.532959,-457.6394348,0.138999939,80.32106387,26.65666962,4.099927902,1.271685481,4200,4300,1200,798
LR,std,1,1,0.001,46,none,0.9646583333,1,1,0,0,-28.97235107,85.17894745,-53.18399429,0.4262501001,77.63068226,0,0,-237.9882355,161.8353119,-496.3771973,0.133749947,77.82778611,26.89593697,4.145138264,1.261549711,3400,3800,1200,859
LR,std,1,1,0.001,47,none,0.9653479167,1,1,0,0,-28.17574883,85.04859924,-50.58097076,0.4352501035,77.55489615,0,0,-235.7865448,162.1784668,-460.9768372,0.1329999566,78.46835165,27.11190987,4.178368092,1.286437869,3400,3900,1200,925
LR,std,1,1,0.001,48,none,0.9640291667,1,1,0,0,-28.54879951,86.66007996,-55.73279953,0.431500107,77.62377026,0,0,-243.3457031,172.8422852,-534.8669434,0.1344999522,80.32290812,27.31420708,4.250090122,1.338044286,4300,4700,1200,899
LR,std,1,1,0.001,49,none,0.9582229167,1,1,0,0,-29.39873123,87.56772614,-58.00231934,0.4300001264,77.70148634,0,0,-244.2743835,172.6465302,-514.5943604,0.1329999566,78.44483479,27.69500542,4.27782011,1.350919843,4200,4500,1200,822
LR,std,1,1,0.001,50,none,0.9592854167,1,1,0,0,-29.57763481,85.47602081,-57.63297653,0.4255001247,78.60094412,0,0,-228.5260468,162.7954102,-484.1013794,0.136749953,81.40972742,27.93855286,4.266381264,1.38425684,4700,4900,1200,781
LR,std,2,2,0.001,1,none,0.9818020833,1,1,0,0,-2.585354567,17.28269386,-10.20638275,0.4937501252,72.48089832,0,0,-7.248851299,13.36138344,-16.59329224,0.3670000732,76.68559946,3.730238199,0.9868544936,1.306160569,1400,2000,1200,910
