step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss,w_D_all,w_D_alive,n_alive,w_paircos_all,w_paircos_alive,w_rnorm_mean,w_rnorm_alive
0,B_w100_K10000_c-0.75_lr0.01_s11_nfix,0,0,0,70.1749,27.3158,0.500933,0,1.35744,0.989987,0.989987,100,1.31569e-05,1.31565e-05,1.41006,1.41006
0,B_w100_K10000_c-0.5_lr0.01_s0,0,0,0,71.1787,27.3124,0.500221,0,2.41272,0.988509,0.988509,100,0.00150602,0.00150602,1.43431,1.43431
0,B_w100_K10000_c-0.5_lr0.01_s1,0,0,0,70.3613,26.9024,0.501183,0,0.872641,0.987704,0.987704,100,0.00231873,0.00231873,1.37803,1.37803
0,B_w100_K10000_c-0.5_lr0.01_s2,0,0,0,70.5001,27.3132,0.50153,0,1.49713,0.983627,0.983627,100,0.00643721,0.00643721,1.39354,1.39354
0,B_w100_K10000_c-0.5_lr0.01_s3,0,0,0,70.3605,26.7813,0.499577,0,1.69418,0.989636,0.989636,100,0.000367846,0.000367845,1.41009,1.41009
0,B_w100_K10000_c-0.5_lr0.01_s4,0,0,0,70.2628,26.8314,0.500914,0,1.78486,0.987211,0.987211,100,0.00281733,0.00281733,1.39277,1.39277
0,B_w100_K10000_c-0.5_lr0.01_s5,0,0,0,70.4582,26.841,0.497422,0,2.06319,0.99549,0.99549,100,-0.00554584,-0.00554584,1.4134,1.4134
0,B_w100_K10000_c-0.5_lr0.01_s6,0,0,0,71.025,27.4482,0.499009,0,4.14555,0.989101,0.989101,100,0.000907606,0.000907607,1.39847,1.39847
0,B_w100_K10000_c-0.5_lr0.01_s7,0,0,0,71.1304,27.632,0.497951,0,1.51584,0.993589,0.993589,100,-0.00362476,-0.00362476,1.41273,1.41273
0,B_w100_K10000_c-0.5_lr0.01_s8,0,0,0,70.2715,26.4701,0.503579,0,1.44533,0.983817,0.983817,100,0.00624574,0.00624574,1.36812,1.36812
0,B_w100_K10000_c-0.5_lr0.01_s9,0,0,0,70.6452,27.0544,0.499067,0,1.88967,0.993388,0.993388,100,-0.00342201,-0.00342201,1.40909,1.40909
0,B_w100_K10000_c-0.5_lr0.01_s10,0,0,0,70.5813,27.3281,0.500558,0,2.70828,0.99114,0.99114,100,-0.00115119,-0.00115119,1.41952,1.41952
0,B_w100_K10000_c-0.5_lr0.01_s11,0,0,0,70.7741,26.8454,0.499125,0,2.1582,0.990924,0.990924,100,-0.000933192,-0.000933192,1.40802,1.40802
