arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
R,std,17,7,0.0001,21,1,5,0.7641826923,0.8831999898,0.7920000553,0.8831999898,0,0,-0.7246827483,5.530268669,-4.916407108,0.4307999909,49.31731936,0,0,1.360659003,3.041187048,-3.964421749,0.6183999777,36.66204922,0.8781505227,0.6707164049,0.7399744987
R,std,17,7,0.0001,22,0,1,0.9673076923,1,1,1,0,0,-1.997313619,4.15894556,-7.634029865,0.2939999998,32.75294399,0,0,0.28296417,2.913689852,-7.988745213,0.5100000501,20.65434259,0.8539532423,0.6714181304,0.7088964581
R,std,17,7,0.0001,23,1,5,0.7395032051,0.8599999547,0.7920000553,0.8599999547,0,0,-0.7068504691,5.476057053,-4.694615841,0.4368000031,46.78123571,0,0,1.26619935,3.329371929,-5.013765812,0.6575999856,37.21494205,0.8739634156,0.6766923666,0.7517040372
R,std,17,7,0.0001,24,0,1,0.9689102564,1,1,1,0,0,-2.028041363,4.275299549,-5.085494518,0.3200000226,33.71766453,0.01999999955,0.01999999955,-0.601788342,2.761263609,-8.348563194,0.3760000169,19.40297635,0.8367666006,0.6806602478,0.7115787268
R,std,17,7,0.0001,25,1,5,0.6259214744,0.7507999539,0.5879999995,0.7507999539,0,0,0.05150117725,5.634572029,-2.940391064,0.504799962,47.35554019,0,0,0.5730307698,3.269244194,-5.379716873,0.554799974,35.19565468,0.8862054348,0.6812942028,0.7598179579
R,std,17,7,0.0001,26,0,1,0.9627804487,1,1,1,0,0,-1.239476442,4.168558121,-4.26529789,0.378000021,46.88402834,0,0,0.9428886771,2.264694214,-4.164019108,0.6740000248,30.88861886,0.8411226273,0.6787493825,0.7186470628
R,std,17,7,0.0001,27,1,5,0.5866185897,0.7436000109,0.5640000105,0.7436000109,0,0,-0.4563657045,4.990386009,-2.815248251,0.447999984,46.46267824,0,0,1.199647307,3.260873556,-5.726915836,0.621999979,35.07549092,0.8835173845,0.6864833236,0.7554095387
R,std,17,7,0.0001,28,0,1,0.9579727564,1,1,1,0,0,-0.2320683599,4.01965332,-1.662845612,0.4720000327,41.84725101,0,0,0.5493807793,2.65887785,-5.223324299,0.5680000186,26.26509264,0.8524611592,0.6845024824,0.7341869473
R,std,17,7,0.0001,29,1,5,0.6545673077,0.807199955,0.682000041,0.807199955,0,0,-0.5757675767,5.654019356,-6.514004707,0.4539999962,40.28632582,0,0,0.1114159375,3.222476006,-5.655781269,0.5119999647,30.28213875,0.8745012283,0.6939153075,0.7540853024
R,std,17,7,0.0001,30,0,1,0.9561698718,1,1,1,0,0,-0.2747432888,3.924222708,-2.701488495,0.4520000219,46.34642844,0,0,0.03932621703,2.254765034,-3.874446154,0.4460000098,27.27894623,0.8522907495,0.6953591108,0.7333236337
R,std,18,8,0.0001,1,1,5,0.5865785256,0.7227999568,0.55400002,0.7227999568,0,0,0.3843880892,5.582565784,-2.467424154,0.5279999971,28.81245479,0,0,2.217234612,2.629057169,-4.133230209,0.771600008,17.89636497,0.6989315748,0.5935310125,0.6223089695
R,std,18,8,0.0001,2,0,1,0.9621394231,1,1,1,0,0,-1.417682171,3.049428701,-3.553049088,0.2680000067,26.82765082,0.009999999776,0.009999999776,0.4798112214,2.117847204,-6.011222363,0.5100000501,13.47704094,0.6721891761,0.5954695344,0.6317363381
R,std,18,8,0.0001,3,1,5,0.7138221154,0.8583999872,0.7620000243,0.8583999872,0,0,-0.4830757678,4.150207996,-3.420419455,0.4407999814,43.48994983,0,0,1.75556612,2.178537607,-4.360985279,0.7731999755,29.83389888,0.7442777753,0.6063061953,0.6975500584
R,std,18,8,0.0001,4,0,1,0.9683894231,1,1,1,0,0,-4.999297142,3.918816566,-10.71493244,0.06200000271,17.10679289,0.03999999911,0.03999999911,-0.1464723349,2.243890047,-7.216139317,0.4700000286,10.69616987,0.7369389534,0.6060661674,0.6712042689
R,std,18,8,0.0001,5,1,5,0.6855769231,0.8011999726,0.6540000439,0.8011999726,0,0,-0.4837423265,4.623414993,-3.379818201,0.467599988,43.25549597,0,0,0.9854046702,2.570953131,-4.070284843,0.6607999802,29.78969791,0.7843268514,0.6163620353,0.7087070346
R,std,18,8,0.0001,6,0,1,0.9627804487,1,1,1,0,0,-4.309318066,3.884398222,-9.040711403,0.1340000033,19.85355974,0.009999999776,0.009999999776,-1.388385534,1.866394401,-9.005055428,0.1960000098,12.04941317,0.7678509355,0.6179317236,0.6867061853
