population,k,band,n_pair,n_seed,seed_ids,guard_main,guard_descriptive
S,40,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
S,40,9,754,5,"1,4,6,7,8",False,False
S,40,10,383,4,"0,1,7,8",False,False
S,40,11,180,2,"1,8",False,False
S,40,12,121,2,"1,8",False,False
U,1,-29,180,3,"2,5,9",False,False
U,1,-28,300,3,"4,5,8",False,False
U,1,-27,1020,6,"0,2,4,5,8,9",False,True
U,1,-26,1260,7,"0,1,2,4,5,8,9",False,True
U,1,-25,2040,6,"0,2,4,5,8,9",False,True
U,1,-24,4320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-23,5700,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-22,10320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-21,18202,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-20,25118,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-19,32923,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-18,45165,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-17,63486,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-16,85377,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-15,125580,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-14,170259,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-13,216717,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-12,272611,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-11,349244,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-10,425547,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-9,468600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-8,534557,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-7,566600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-6,555220,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-5,517252,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-4,437954,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-3,336222,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-2,225643,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,-1,157767,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,1,9,754,5,"1,4,6,7,8",False,False
U,1,10,383,4,"0,1,7,8",False,False
U,1,11,180,2,"1,8",False,False
U,1,12,121,2,"1,8",False,False
U,2,-29,180,3,"2,5,9",False,False
U,2,-28,300,3,"4,5,8",False,False
U,2,-27,1020,6,"0,2,4,5,8,9",False,True
U,2,-26,1260,7,"0,1,2,4,5,8,9",False,True
U,2,-25,2040,6,"0,2,4,5,8,9",False,True
U,2,-24,4320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-23,5700,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-22,10320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-21,18202,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-20,25118,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-19,32923,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-18,45165,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-17,63486,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-16,85377,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-15,125580,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-14,170259,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-13,216717,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-12,272611,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-11,349244,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-10,425547,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-9,468600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-8,534557,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-7,566600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-6,555220,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-5,517252,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-4,437954,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-3,336222,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-2,225643,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,-1,157767,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,2,9,754,5,"1,4,6,7,8",False,False
U,2,10,383,4,"0,1,7,8",False,False
U,2,11,180,2,"1,8",False,False
U,2,12,121,2,"1,8",False,False
U,5,-29,180,3,"2,5,9",False,False
U,5,-28,300,3,"4,5,8",False,False
U,5,-27,1020,6,"0,2,4,5,8,9",False,True
U,5,-26,1260,7,"0,1,2,4,5,8,9",False,True
U,5,-25,2040,6,"0,2,4,5,8,9",False,True
U,5,-24,4320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-23,5700,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-22,10320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-21,18202,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-20,25118,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-19,32923,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-18,45165,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-17,63486,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-16,85377,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-15,125580,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-14,170259,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-13,216717,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-12,272611,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-11,349244,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-10,425547,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-9,468600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-8,534557,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-7,566600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-6,555220,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-5,517252,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-4,437954,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-3,336222,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-2,225643,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,-1,157767,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,5,9,754,5,"1,4,6,7,8",False,False
U,5,10,383,4,"0,1,7,8",False,False
U,5,11,180,2,"1,8",False,False
U,5,12,121,2,"1,8",False,False
U,10,-29,180,3,"2,5,9",False,False
U,10,-28,300,3,"4,5,8",False,False
U,10,-27,1020,6,"0,2,4,5,8,9",False,True
U,10,-26,1260,7,"0,1,2,4,5,8,9",False,True
U,10,-25,2040,6,"0,2,4,5,8,9",False,True
U,10,-24,4320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-23,5700,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-22,10320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-21,18202,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-20,25118,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-19,32923,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-18,45165,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-17,63486,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-16,85377,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-15,125580,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-14,170259,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-13,216717,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-12,272611,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-11,349244,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-10,425547,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-9,468600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-8,534557,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-7,566600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-6,555220,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-5,517252,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-4,437954,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-3,336222,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-2,225643,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,-1,157767,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,10,9,754,5,"1,4,6,7,8",False,False
U,10,10,383,4,"0,1,7,8",False,False
U,10,11,180,2,"1,8",False,False
U,10,12,121,2,"1,8",False,False
U,20,-29,180,3,"2,5,9",False,False
U,20,-28,300,3,"4,5,8",False,False
U,20,-27,1020,6,"0,2,4,5,8,9",False,True
U,20,-26,1260,7,"0,1,2,4,5,8,9",False,True
U,20,-25,2040,6,"0,2,4,5,8,9",False,True
U,20,-24,4320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-23,5700,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-22,10320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-21,18202,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-20,25118,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-19,32923,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-18,45165,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-17,63486,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-16,85377,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-15,125580,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-14,170259,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-13,216717,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-12,272611,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-11,349244,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-10,425547,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-9,468600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-8,534557,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-7,566600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-6,555220,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-5,517252,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-4,437954,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-3,336222,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-2,225643,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,-1,157767,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,20,9,754,5,"1,4,6,7,8",False,False
U,20,10,383,4,"0,1,7,8",False,False
U,20,11,180,2,"1,8",False,False
U,20,12,121,2,"1,8",False,False
U,40,-29,180,3,"2,5,9",False,False
U,40,-28,300,3,"4,5,8",False,False
U,40,-27,1020,6,"0,2,4,5,8,9",False,True
U,40,-26,1260,7,"0,1,2,4,5,8,9",False,True
U,40,-25,2040,6,"0,2,4,5,8,9",False,True
U,40,-24,4320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-23,5700,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-22,10320,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-21,18202,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-20,25118,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-19,32923,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-18,45165,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-17,63486,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-16,85377,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-15,125580,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-14,170259,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-13,216717,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-12,272611,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-11,349244,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-10,425547,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-9,468600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-8,534557,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-7,566600,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-6,555220,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-5,517252,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-4,437954,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-3,336222,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-2,225643,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,-1,157767,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
U,40,9,754,5,"1,4,6,7,8",False,False
U,40,10,383,4,"0,1,7,8",False,False
U,40,11,180,2,"1,8",False,False
U,40,12,121,2,"1,8",False,False
