population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,guard_descriptive,F,D,H,F_path
A,2,4,0.4,0.5,0.45,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0005687404272760982,-0.0002961076347742238,0.0002726327925018744,-0.000540835977560727
A,2,5,0.5,0.6,0.55,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0006933828605674783,-0.0007356070200501278,-4.2224159482649506e-05,-0.0005745891129271078
A,2,6,0.6,0.7,0.65,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00022506027559456723,-0.00038505564509642477,-0.000610115920690992,0.0002483960960330037
A,2,7,0.7,0.8,0.75,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0015119286799073458,-0.0010505343549504053,0.0004613943249569403,-0.0013787147091947768
A,2,8,0.8,0.9,0.85,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.003226335732929661,-0.004859702266180906,-0.0016333665332512453,-0.002197730588458998
A,2,9,0.9,1.0,0.95,754,5,"1,4,6,7,8",False,False,-0.006320425786383252,-0.004911152222140559,0.0014092735642426929,-0.0048391513081712505
A,2,10,1.0,1.1,1.05,383,4,"0,1,7,8",False,False,-0.0009865457077454234,-0.0007606068608281851,0.0002259388469172383,-0.0009174723397039371
A,2,11,1.1,1.2,1.15,180,2,"1,8",False,False,-0.0033427173630274946,-0.0027375014149355467,0.0006052159480919481,-0.0025491948233763947
A,2,12,1.2,1.3,1.25,121,2,"1,8",False,False,-0.0001788868699445803,-0.00021368638122944874,-3.479951128486841e-05,-6.645027763915707e-05
A,5,-24,-2.4,-2.3,-2.35,60,1,9,False,False,0.00036682995476742993,-0.0002516804018933765,-0.0006185103566608064,0.0003438825258429763
A,5,-23,-2.3,-2.2,-2.25,60,1,0,False,False,-1.2608139744922179e-05,-7.252594820386092e-05,-5.991780845893874e-05,-9.678020412593476e-06
A,5,-22,-2.2,-2.1,-2.15,60,1,8,False,False,-7.030252436379669e-06,-4.8518529354169004e-06,2.1783995009627686e-06,-6.662559201989401e-06
A,5,-21,-2.1,-2.0,-2.05,502,3,"5,8,9",False,False,1.3900433731260628e-05,2.0976011635455427e-05,7.075577904194774e-06,2.001095748647726e-05
A,5,-20,-2.0,-1.9,-1.95,638,6,"2,3,4,5,8,9",False,True,8.566496277611976e-06,3.821537162835742e-05,2.9648875350745476e-05,2.6247823820042357e-06
A,5,-19,-1.9,-1.8,-1.85,523,3,"4,5,9",False,False,0.00016236489208010837,0.00039024514531456637,0.00022788025323445797,0.00011129113961354498
