seed,env,act,iv,layer,unit_id,task,q_lowgate,sink,entry,exit,persistent_latest5
0,PM,ELU1,ref,1,19,3,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,20,3,0.0,0,0,0,
0,PM,ELU1,ref,1,21,3,0.3291666805744171,0,0,0,
0,PM,ELU1,ref,1,22,3,0.125,0,0,0,
0,PM,ELU1,ref,1,23,3,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,24,3,0.030833333730697632,0,0,0,
0,PM,ELU1,ref,1,25,3,0.30916666984558105,0,0,0,
0,PM,ELU1,ref,1,26,3,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,27,3,0.07916666567325592,0,0,0,
0,PM,ELU1,ref,1,28,3,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,29,3,0.33500000834465027,0,0,0,
0,PM,ELU1,ref,1,30,3,0.22166667878627777,0,0,0,
0,PM,ELU1,ref,1,31,3,0.08250000327825546,0,0,0,
0,PM,ELU1,ref,1,32,3,0.02916666679084301,0,0,0,
0,PM,ELU1,ref,1,33,3,0.03500000014901161,0,0,0,
0,PM,ELU1,ref,1,34,3,0.0,0,0,0,
0,PM,ELU1,ref,1,35,3,0.0,0,0,0,
0,PM,ELU1,ref,1,36,3,0.12916666269302368,0,0,0,
0,PM,ELU1,ref,1,37,3,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,38,3,0.019166667014360428,0,0,0,
0,PM,ELU1,ref,1,39,3,0.0,0,0,0,
0,PM,ELU1,ref,1,40,3,0.054999999701976776,0,0,0,
0,PM,ELU1,ref,1,41,3,0.09166666865348816,0,0,0,
0,PM,ELU1,ref,1,42,3,0.0,0,0,0,
0,PM,ELU1,ref,1,43,3,0.32083335518836975,0,0,0,
0,PM,ELU1,ref,1,44,3,0.015000000596046448,0,0,0,
0,PM,ELU1,ref,1,45,3,0.021666666492819786,0,0,0,
0,PM,ELU1,ref,1,46,3,0.009166667237877846,0,0,0,
0,PM,ELU1,ref,1,47,3,0.17916667461395264,0,0,0,
0,PM,ELU1,ref,1,48,3,0.0,0,0,0,
0,PM,ELU1,ref,1,49,3,0.3266666829586029,0,0,0,
0,PM,ELU1,ref,1,50,3,0.148333340883255,0,0,0,
0,PM,ELU1,ref,1,51,3,0.009166667237877846,0,0,0,
0,PM,ELU1,ref,1,52,3,0.01666666753590107,0,0,0,
0,PM,ELU1,ref,1,53,3,0.01666666753590107,0,0,0,
0,PM,ELU1,ref,1,54,3,0.10500000417232513,0,0,0,
0,PM,ELU1,ref,1,55,3,0.05416666716337204,0,0,0,
0,PM,ELU1,ref,1,56,3,0.0,0,0,0,
0,PM,ELU1,ref,1,57,3,0.02500000037252903,0,0,0,
0,PM,ELU1,ref,1,58,3,0.030833333730697632,0,0,0,
0,PM,ELU1,ref,1,59,3,0.006666666828095913,0,0,0,
0,PM,ELU1,ref,1,60,3,0.09083333611488342,0,0,0,
0,PM,ELU1,ref,1,61,3,0.6274999976158142,0,0,0,
0,PM,ELU1,ref,1,62,3,0.0,0,0,0,
0,PM,ELU1,ref,1,63,3,0.20333333313465118,0,0,0,
0,PM,ELU1,ref,1,64,3,0.0,0,0,0,
0,PM,ELU1,ref,1,65,3,0.30250000953674316,0,0,0,
0,PM,ELU1,ref,1,66,3,0.0,0,0,0,
0,PM,ELU1,ref,1,67,3,0.0,0,0,0,
0,PM,ELU1,ref,1,68,3,0.0416666679084301,0,0,0,
0,PM,ELU1,ref,1,69,3,0.08833333849906921,0,0,0,
0,PM,ELU1,ref,1,70,3,0.0,0,0,0,
0,PM,ELU1,ref,1,71,3,0.0,0,0,0,
0,PM,ELU1,ref,1,72,3,0.012500000186264515,0,0,0,
0,PM,ELU1,ref,1,73,3,0.0,0,0,0,
0,PM,ELU1,ref,1,74,3,0.1158333346247673,0,0,0,
0,PM,ELU1,ref,1,75,3,0.08500000089406967,0,0,0,
0,PM,ELU1,ref,1,76,3,0.006666666828095913,0,0,0,
0,PM,ELU1,ref,1,77,3,0.0,0,0,0,
0,PM,ELU1,ref,1,78,3,0.02666666731238365,0,0,0,
0,PM,ELU1,ref,1,79,3,0.005833333358168602,0,0,0,
0,PM,ELU1,ref,1,80,3,0.22333334386348724,0,0,0,
0,PM,ELU1,ref,1,81,3,0.0650000050663948,0,0,0,
0,PM,ELU1,ref,1,82,3,0.008333333767950535,0,0,0,
0,PM,ELU1,ref,1,83,3,0.0,0,0,0,
0,PM,ELU1,ref,1,84,3,0.009999999776482582,0,0,0,
0,PM,ELU1,ref,1,85,3,0.0,0,0,0,
0,PM,ELU1,ref,1,86,3,0.4241666793823242,0,0,0,
0,PM,ELU1,ref,1,87,3,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,88,3,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,89,3,0.005833333358168602,0,0,0,
0,PM,ELU1,ref,1,90,3,0.0,0,0,0,
0,PM,ELU1,ref,1,91,3,0.0,0,0,0,
0,PM,ELU1,ref,1,92,3,0.09583333879709244,0,0,0,
0,PM,ELU1,ref,1,93,3,0.017500000074505806,0,0,0,
0,PM,ELU1,ref,1,94,3,0.01666666753590107,0,0,0,
0,PM,ELU1,ref,1,95,3,0.012500000186264515,0,0,0,
0,PM,ELU1,ref,1,96,3,0.06833333522081375,0,0,0,
0,PM,ELU1,ref,1,97,3,0.53083336353302,0,0,0,
0,PM,ELU1,ref,1,98,3,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,99,3,0.03166666626930237,0,0,0,
0,PM,ELU1,ref,1,0,4,0.0,0,0,0,
0,PM,ELU1,ref,1,1,4,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,2,4,0.0,0,0,0,
0,PM,ELU1,ref,1,3,4,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,4,4,0.09583333879709244,0,0,0,
0,PM,ELU1,ref,1,5,4,0.021666666492819786,0,0,0,
0,PM,ELU1,ref,1,6,4,0.5300000309944153,0,0,0,
0,PM,ELU1,ref,1,7,4,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,8,4,0.02666666731238365,0,0,0,
0,PM,ELU1,ref,1,9,4,0.0,0,0,0,
0,PM,ELU1,ref,1,10,4,0.04500000178813934,0,0,0,
0,PM,ELU1,ref,1,11,4,0.0,0,0,0,
0,PM,ELU1,ref,1,12,4,0.008333333767950535,0,0,0,
0,PM,ELU1,ref,1,13,4,0.0,0,0,0,
0,PM,ELU1,ref,1,14,4,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,15,4,0.09000000357627869,0,0,0,
0,PM,ELU1,ref,1,16,4,0.14166666567325592,0,0,0,
0,PM,ELU1,ref,1,17,4,0.0716666653752327,0,0,0,
0,PM,ELU1,ref,1,18,4,0.0,0,0,0,
0,PM,ELU1,ref,1,19,4,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,20,4,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,21,4,0.27666667103767395,0,0,0,
0,PM,ELU1,ref,1,22,4,0.008333333767950535,0,0,0,
0,PM,ELU1,ref,1,23,4,0.0,0,0,0,
0,PM,ELU1,ref,1,24,4,0.02250000089406967,0,0,0,
0,PM,ELU1,ref,1,25,4,0.0,0,0,0,
0,PM,ELU1,ref,1,26,4,0.009166667237877846,0,0,0,
0,PM,ELU1,ref,1,27,4,0.009999999776482582,0,0,0,
0,PM,ELU1,ref,1,28,4,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,29,4,0.6949999928474426,0,0,0,
0,PM,ELU1,ref,1,30,4,0.5600000023841858,0,0,0,
0,PM,ELU1,ref,1,31,4,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,32,4,0.0,0,0,0,
0,PM,ELU1,ref,1,33,4,0.0033333334140479565,0,0,0,
0,PM,ELU1,ref,1,34,4,0.11083333939313889,0,0,0,
0,PM,ELU1,ref,1,35,4,0.0,0,0,0,
0,PM,ELU1,ref,1,36,4,0.01833333447575569,0,0,0,
0,PM,ELU1,ref,1,37,4,0.027499999850988388,0,0,0,
0,PM,ELU1,ref,1,38,4,0.6991666555404663,0,0,0,
0,PM,ELU1,ref,1,39,4,0.0,0,0,0,
0,PM,ELU1,ref,1,40,4,0.019999999552965164,0,0,0,
0,PM,ELU1,ref,1,41,4,0.09666667133569717,0,0,0,
0,PM,ELU1,ref,1,42,4,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,43,4,0.0325000025331974,0,0,0,
0,PM,ELU1,ref,1,44,4,0.737500011920929,0,0,0,
0,PM,ELU1,ref,1,45,4,0.012500000186264515,0,0,0,
0,PM,ELU1,ref,1,46,4,0.5024999976158142,0,0,0,
0,PM,ELU1,ref,1,47,4,0.02666666731238365,0,0,0,
0,PM,ELU1,ref,1,48,4,0.0,0,0,0,
0,PM,ELU1,ref,1,49,4,0.9441666603088379,0,0,0,
0,PM,ELU1,ref,1,50,4,0.2600000202655792,0,0,0,
0,PM,ELU1,ref,1,51,4,0.8600000143051147,0,0,0,
0,PM,ELU1,ref,1,52,4,0.03999999910593033,0,0,0,
0,PM,ELU1,ref,1,53,4,0.0,0,0,0,
0,PM,ELU1,ref,1,54,4,0.0016666667070239782,0,0,0,
0,PM,ELU1,ref,1,55,4,0.7008333206176758,0,0,0,
0,PM,ELU1,ref,1,56,4,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,57,4,0.0,0,0,0,
0,PM,ELU1,ref,1,58,4,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,59,4,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,60,4,0.10083333402872086,0,0,0,
0,PM,ELU1,ref,1,61,4,0.030833333730697632,0,0,0,
0,PM,ELU1,ref,1,62,4,0.8475000262260437,0,0,0,
0,PM,ELU1,ref,1,63,4,0.9750000238418579,1,1,0,
0,PM,ELU1,ref,1,64,4,0.0,0,0,0,
0,PM,ELU1,ref,1,65,4,0.3700000047683716,0,0,0,
0,PM,ELU1,ref,1,66,4,0.0,0,0,0,
0,PM,ELU1,ref,1,67,4,0.007500000298023224,0,0,0,
0,PM,ELU1,ref,1,68,4,0.0650000050663948,0,0,0,
0,PM,ELU1,ref,1,69,4,0.015000000596046448,0,0,0,
0,PM,ELU1,ref,1,70,4,0.0,0,0,0,
0,PM,ELU1,ref,1,71,4,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,72,4,0.9633333683013916,1,1,0,
0,PM,ELU1,ref,1,73,4,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,74,4,0.06583333760499954,0,0,0,
0,PM,ELU1,ref,1,75,4,0.6575000286102295,0,0,0,
0,PM,ELU1,ref,1,76,4,0.012500000186264515,0,0,0,
0,PM,ELU1,ref,1,77,4,0.7850000262260437,0,0,0,
0,PM,ELU1,ref,1,78,4,0.06833333522081375,0,0,0,
0,PM,ELU1,ref,1,79,4,0.0,0,0,0,
0,PM,ELU1,ref,1,80,4,0.1574999988079071,0,0,0,
0,PM,ELU1,ref,1,81,4,0.0325000025331974,0,0,0,
0,PM,ELU1,ref,1,82,4,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,83,4,0.8691666722297668,0,0,0,
0,PM,ELU1,ref,1,84,4,0.0,0,0,0,
0,PM,ELU1,ref,1,85,4,0.0,0,0,0,
0,PM,ELU1,ref,1,86,4,0.11083333939313889,0,0,0,
0,PM,ELU1,ref,1,87,4,0.0,0,0,0,
0,PM,ELU1,ref,1,88,4,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,89,4,0.01666666753590107,0,0,0,
0,PM,ELU1,ref,1,90,4,0.0,0,0,0,
0,PM,ELU1,ref,1,91,4,0.0,0,0,0,
0,PM,ELU1,ref,1,92,4,0.021666666492819786,0,0,0,
0,PM,ELU1,ref,1,93,4,0.004999999888241291,0,0,0,
0,PM,ELU1,ref,1,94,4,0.0,0,0,0,
0,PM,ELU1,ref,1,95,4,0.007500000298023224,0,0,0,
0,PM,ELU1,ref,1,96,4,0.06916666775941849,0,0,0,
0,PM,ELU1,ref,1,97,4,0.09583333879709244,0,0,0,
0,PM,ELU1,ref,1,98,4,0.0,0,0,0,
0,PM,ELU1,ref,1,99,4,0.7766667008399963,0,0,0,
0,PM,ELU1,ref,1,0,5,0.005833333358168602,0,0,0,0
0,PM,ELU1,ref,1,1,5,0.012500000186264515,0,0,0,0
0,PM,ELU1,ref,1,2,5,0.004999999888241291,0,0,0,0
0,PM,ELU1,ref,1,3,5,0.02083333395421505,0,0,0,0
0,PM,ELU1,ref,1,4,5,0.06000000238418579,0,0,0,0
0,PM,ELU1,ref,1,5,5,0.45750001072883606,0,0,0,0
0,PM,ELU1,ref,1,6,5,0.5800000429153442,0,0,0,0
0,PM,ELU1,ref,1,7,5,0.0,0,0,0,0
0,PM,ELU1,ref,1,8,5,0.8400000333786011,0,0,0,0
0,PM,ELU1,ref,1,9,5,0.5566666722297668,0,0,0,0
0,PM,ELU1,ref,1,10,5,0.12250000238418579,0,0,0,0
0,PM,ELU1,ref,1,11,5,0.11500000208616257,0,0,0,0
0,PM,ELU1,ref,1,12,5,0.004166666883975267,0,0,0,0
0,PM,ELU1,ref,1,13,5,0.2991666793823242,0,0,0,0
