arm,age,coordinate,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,centered,control_C_qneg_zneg,-0.015904040756964544,-0.04318103806800211,0.011372956554073024,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_Cbias_qneg_zneg,-0.016820722208937523,-0.046316338347180463,0.01267489392930542,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_C_newly_activated,-0.012640976203601698,-0.02171674935349963,-0.0035652030537037666,NEGATIVE,10
LR_a0p1_q0,200000,centered,control_Cbias_newly_activated,-0.0127482652358317,-0.021752783500031955,-0.0037437469716314446,NEGATIVE,10
LR_a0p1_q0,1000000,whole,RMS_B_over_A,0.9582444937305166,0.9546388377025913,0.9618501497584419,POSITIVE,10
LR_a0p1_q0,1000000,whole,A_alpha_norm_weighted,0.0007816761534005127,-0.001153965247514354,0.0027173175543153795,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,A_fraction_alpha_negative,0.548,0.49643692954089513,0.599563070459105,POSITIVE,10
LR_a0p1_q0,1000000,whole,A_radial_norm_budget,1.6017548145818026,-1.5474417551714192,4.750951384335025,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,A_u_norm2,5.925578750597481,4.557193856201964,7.293963644992997,POSITIVE,10
LR_a0p1_q0,1000000,whole,A_norm2_change,7.527333565179285,4.734753458706946,10.319913671651625,POSITIVE,10
LR_a0p1_q0,1000000,whole,A_D_norm2,6.27618327224683,4.831506399138157,7.720860145355503,POSITIVE,10
LR_a0p1_q0,1000000,whole,A_normalized_visibility,2.439027615178471,1.618091224716861,3.2599640056400814,POSITIVE,10
LR_a0p1_q0,1000000,whole,A_q_RMS,0.3604357308393569,0.30957657137274674,0.4112948903059671,POSITIVE,10
LR_a0p1_q0,1000000,whole,B_q_RMS,0.345151514560267,0.29726223322827616,0.3930407958922578,POSITIVE,10
LR_a0p1_q0,1000000,whole,q_mean_A,-0.0029482669529276085,-0.015549614000141834,0.009653080094286618,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,q_mean_B,-0.0026782754675629817,-0.014488015776971315,0.009131464841845351,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,q_mean_jump,0.0002699914853646268,-0.000676997654758696,0.0012169806254879497,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,B_q_positive_energy_fraction,0.46674263977050334,0.39098828080836057,0.5424969987326461,POSITIVE,10
LR_a0p1_q0,1000000,whole,u_null_energy_fraction,0.014560545441843969,0.008961329680323251,0.020159761203364684,POSITIVE,10
LR_a0p1_q0,1000000,whole,D_null_relative_norm,2.850589050766749e-14,2.5107021226647522e-14,3.1904759788687454e-14,POSITIVE,10
LR_a0p1_q0,1000000,whole,functional_RMS_B_over_A,0.9527028460318391,0.9420035506535797,0.9634021414100985,POSITIVE,10
LR_a0p1_q0,1000000,whole,unit_output_contrib_RMS_B_over_A,0.9549987455804712,0.938779253586801,0.9712182375741413,POSITIVE,10
LR_a0p1_q0,1000000,whole,network_output_ablation_RMS_B_over_A,0.9537934664782834,0.9207973375818003,0.9867895953747666,POSITIVE,10
LR_a0p1_q0,1000000,whole,delta_RMS_B_over_A,0.9569611233691553,0.9532197303693282,0.9607025163689824,POSITIVE,10
