exp,width,batch,c,run_id,metric,t50
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s0,dead,412900.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s1,srank_drop,3000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s1,srank_alive_drop,3000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s1,post_err,220000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s1,trC,
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s1,dead,105000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s2,srank_drop,15000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s2,srank_alive_drop,15000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s2,post_err,200000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s2,trC,
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s2,dead,401400.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s3,srank_drop,22500.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s3,srank_alive_drop,22500.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s3,post_err,80000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s3,trC,
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s3,dead,310100.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s4,srank_drop,12900.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s4,srank_alive_drop,12900.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s4,post_err,400000.0
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s4,trC,
B,100,1,2.0,B_w100_K10000_c2.0_lr0.01_s4,dead,409000.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s0,srank_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s0,srank_alive_drop,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s0,post_err,220000.0
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s0,trC,
B,100,full,2.0,B_w100_K10000_c2.0_lr0.01_bfull_s0,dead,
