step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
10200,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.0157,3.00614,0.190497,0.481111,0,0.0908282,89.7081,0.00101249,8.90559,0.293311,3.40935,2.97864,0.3,0.465087
10200,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.5148,2.00912,0.212136,0.488889,0,0.303914,177.519,0.00171201,9.02658,0.315812,3.16645,2.55823,0.3,0.557846
10300,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0.0222222,0.3,4.1098,2.4825,0.227738,0.467778,0,1.39627,106.142,0.0131547,8.63688,0.360139,2.7767,2.25786,0.3,0.388596
10300,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.01962,3.50732,0.173781,0.471111,0,0.120039,62.3283,0.00192591,9.08917,0.275332,3.63197,3.14399,0.2,0.539628
10300,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,3.99012,3.33905,0.151391,0.5,0,0.436886,172.045,0.00253937,9.37852,0.23324,4.28742,3.77108,0.2,0.561357
10300,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.11751,3.03149,0.188429,0.477778,0,0.0732881,79.8706,0.000917585,8.89806,0.298994,3.34455,2.92431,0.3,0.407805
10300,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.48488,2.01399,0.21246,0.488889,0,0.407127,170.016,0.00239464,9.01251,0.319373,3.13114,2.52738,0.3,0.51963
10400,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0.0222222,0.3,4.11145,2.45574,0.22917,0.466667,0,0.997253,98.0227,0.0101737,8.62934,0.362216,2.76078,2.2462,0.3,0.336924
10400,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.02149,3.50405,0.173754,0.474444,0,0.193506,51.3877,0.00376562,9.08377,0.276936,3.61094,3.12145,0.2,0.520199
10400,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,3.99901,3.39138,0.149656,0.498889,0,0.334397,163.043,0.00205098,9.38517,0.228489,4.37659,3.83404,0.2,0.53036
10400,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.27557,3.07069,0.188957,0.477778,0,0.0551829,72.1504,0.000764832,8.8888,0.303471,3.2952,2.88276,0.3,0.376106
10400,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.49165,2.02962,0.212927,0.487778,0,0.34523,167.672,0.00205896,8.99576,0.322563,3.10017,2.50172,0.3,0.494287
10500,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.12614,2.44403,0.230033,0.466667,0,0.952042,92.1869,0.0103273,8.62475,0.363743,2.7492,2.23928,0.3,0.306852
10500,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.02844,3.50425,0.174043,0.474444,0,0.164646,49.3745,0.00333463,9.08021,0.278272,3.59361,3.10345,0.2,0.506582
10500,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.02314,3.43956,0.149162,0.498889,0,0.22753,153.919,0.00147825,9.38426,0.226028,4.42423,3.85874,0.2,0.509247
10500,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.37689,3.10034,0.189831,0.474445,0,0.0509579,68.8091,0.000740569,8.88006,0.307678,3.25015,2.84428,0.3,0.357489
10500,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.5039,2.04293,0.213465,0.482222,0,0.542354,159.488,0.0034006,8.97775,0.325591,3.07133,2.47933,0.3,0.474882
10600,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.12481,2.43983,0.23048,0.467778,0,1.77049,84.1125,0.021049,8.62057,0.365107,2.73892,2.23377,0.3,0.290899
10600,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.01025,3.51774,0.174299,0.477778,0,0.0296094,51.0881,0.000579576,9.07684,0.278627,3.58903,3.09479,0.2,0.490846
10600,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.04801,3.48927,0.149157,0.498889,0,0.234849,167.149,0.00140503,9.38082,0.224556,4.45324,3.87338,0.2,0.497402
10600,A_w10_T10000_std_lr0.01_bfull_s3,0.3,0,0.3,4.44784,3.12243,0.19147,0.475556,0,0.0509127,66.7643,0.000762574,8.87146,0.31105,3.21492,2.81483,0.3,0.344562
10600,A_w10_T10000_std_lr0.01_bfull_s4,0.3,0,0.3,3.51234,2.05463,0.213664,0.482222,0,0.403034,166.933,0.00241436,8.95989,0.328049,3.04832,2.46316,0.3,0.460387
10700,A_w10_T10000_std_lr0.01_bfull_s0,0.3,0,0.3,4.11678,2.43385,0.231121,0.467778,0,2.51424,83.4923,0.0301135,8.61489,0.367012,2.72471,2.22502,0.3,0.282085
10700,A_w10_T10000_std_lr0.01_bfull_s1,0.2,0.0444444,0.2,4.00355,3.51697,0.17469,0.476667,0,0.0257941,48.7833,0.000528748,9.07164,0.279495,3.57789,3.08264,0.2,0.479723
10700,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.05501,3.50696,0.149567,0.5,0,0.256261,148.922,0.00172077,9.37816,0.223289,4.47849,3.89188,0.2,0.48638
