step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
10200,A_w10_T10000_std_lr0.01_s1,0.5,0,0.4,3.44829,1.90592,0.197002,0.461111,0,0.357699,8.85329,0.0404029,8.96534,0.257767,3.87947,2.41003,0.5,0.48748
10200,A_w10_T10000_std_lr0.01_s2,0.5,0,0.3,5.18747,2.72492,0.191457,0.506667,0,1.78707,40.1752,0.044482,8.87875,0.282988,3.53372,2.42775,0.5,0.807851
10200,A_w10_T10000_std_lr0.01_s3,0.5,0.0222222,0.3,2.50414,1.44081,0.186561,0.503333,0,16.5551,69.0834,0.239639,8.73395,0.302931,3.30108,2.28002,0.5,1.16333
10200,A_w10_T10000_std_lr0.01_s4,0.5,0,0.3,2.21776,1.20842,0.228394,0.492222,0,0.384386,15.448,0.0248826,8.73244,0.429312,2.32931,1.63953,0.5,0.783516
10300,A_w10_T10000_std_lr0.01_s0,0.5,0,0.5,3.13425,2.19294,0.209711,0.475556,0,0.308181,12.068,0.025537,8.75277,0.329254,3.03717,2.35153,0.5,0.518173
10300,A_w10_T10000_std_lr0.01_s1,0.5,0,0.5,3.06976,1.81149,0.200184,0.457778,0,0.649713,7.57446,0.0857768,8.97054,0.259886,3.84784,2.4188,0.5,0.501921
10300,A_w10_T10000_std_lr0.01_s2,0.5,0,0.3,5.02174,2.39057,0.195135,0.503333,0,0.0996408,28.6013,0.00348378,8.85173,0.282482,3.54004,2.41717,0.5,0.637468
10300,A_w10_T10000_std_lr0.01_s3,0.5,0.0222222,0.3,2.14346,1.18736,0.185079,0.502222,0,3.40823,38.1029,0.089448,8.75921,0.299301,3.34112,2.34164,0.5,0.982548
10300,A_w10_T10000_std_lr0.01_s4,0.5,0,0.4,2.4234,1.3854,0.225959,0.488889,0,3.22377,28.9864,0.111217,8.73864,0.426732,2.34339,1.64115,0.5,0.780372
10400,A_w10_T10000_std_lr0.01_s0,0.6,0,0.5,3.29829,2.35875,0.208196,0.475556,0,0.164614,12.3458,0.0133336,8.76366,0.333515,2.99837,2.08387,0.6,0.467984
10400,A_w10_T10000_std_lr0.01_s1,0.6,0,0.6,3.10021,2.21752,0.202535,0.456667,0,0.0743328,8.66342,0.00858008,8.96753,0.260989,3.83158,2.30974,0.6,0.42532
10400,A_w10_T10000_std_lr0.01_s2,0.5,0,0.3,5.17699,2.75969,0.195423,0.512222,0,1.51277,25.7317,0.05879,8.86567,0.27582,3.62555,2.47445,0.5,0.727816
10400,A_w10_T10000_std_lr0.01_s3,0.5,0.0222222,0.3,2.82257,1.42561,0.188179,0.494444,0,3.90025,36.7795,0.106044,8.737,0.299691,3.33677,2.34916,0.5,0.898079
10400,A_w10_T10000_std_lr0.01_s4,0.5,0,0.4,2.41457,1.36981,0.223159,0.49,0,1.19556,26.5587,0.0450158,8.76563,0.421132,2.37455,1.95927,0.5,0.71746
10500,A_w10_T10000_std_lr0.01_s0,0.5,0,0.5,3.37469,2.28759,0.212661,0.475556,0,0.178176,11.5444,0.0154339,8.75704,0.341835,2.92539,2.27143,0.5,0.438605
10500,A_w10_T10000_std_lr0.01_s1,0.6,0,0.6,2.84031,2.18374,0.206546,0.456667,0,0.239419,9.27444,0.0258149,8.95549,0.264683,3.77811,2.38121,0.6,0.411333
