switch_step,run_id,post_err
800000,A_w100_T10000_std_lr0.01_bfull_s3,2.85591
800000,A_w100_T10000_std_lr0.01_bfull_s4,1.50625
810000,A_w100_T10000_std_lr0.01_bfull_s0,2.43815
810000,A_w100_T10000_std_lr0.01_bfull_s1,4.77845
810000,A_w100_T10000_std_lr0.01_bfull_s2,0.95768
810000,A_w100_T10000_std_lr0.01_bfull_s3,1.1593
810000,A_w100_T10000_std_lr0.01_bfull_s4,1.63992
820000,A_w100_T10000_std_lr0.01_bfull_s0,0.904541
820000,A_w100_T10000_std_lr0.01_bfull_s1,1.077
820000,A_w100_T10000_std_lr0.01_bfull_s2,1.18566
820000,A_w100_T10000_std_lr0.01_bfull_s3,1.28974
820000,A_w100_T10000_std_lr0.01_bfull_s4,1.96386
830000,A_w100_T10000_std_lr0.01_bfull_s0,5.16243
830000,A_w100_T10000_std_lr0.01_bfull_s1,1.08273
830000,A_w100_T10000_std_lr0.01_bfull_s2,2.33101
830000,A_w100_T10000_std_lr0.01_bfull_s3,2.30477
830000,A_w100_T10000_std_lr0.01_bfull_s4,0.804516
840000,A_w100_T10000_std_lr0.01_bfull_s0,1.19176
840000,A_w100_T10000_std_lr0.01_bfull_s1,1.16499
840000,A_w100_T10000_std_lr0.01_bfull_s2,1.64004
840000,A_w100_T10000_std_lr0.01_bfull_s3,1.71411
840000,A_w100_T10000_std_lr0.01_bfull_s4,0.76653
850000,A_w100_T10000_std_lr0.01_bfull_s0,1.58207
850000,A_w100_T10000_std_lr0.01_bfull_s1,1.38727
850000,A_w100_T10000_std_lr0.01_bfull_s2,4.47129
850000,A_w100_T10000_std_lr0.01_bfull_s3,1.54587
850000,A_w100_T10000_std_lr0.01_bfull_s4,1.53702
860000,A_w100_T10000_std_lr0.01_bfull_s0,3.89612
860000,A_w100_T10000_std_lr0.01_bfull_s1,6.85683
860000,A_w100_T10000_std_lr0.01_bfull_s2,1.7167
860000,A_w100_T10000_std_lr0.01_bfull_s3,1.20823
860000,A_w100_T10000_std_lr0.01_bfull_s4,5.97894
870000,A_w100_T10000_std_lr0.01_bfull_s0,1.83397
870000,A_w100_T10000_std_lr0.01_bfull_s1,1.07961
870000,A_w100_T10000_std_lr0.01_bfull_s2,2.00002
870000,A_w100_T10000_std_lr0.01_bfull_s3,3.32773
870000,A_w100_T10000_std_lr0.01_bfull_s4,1.41509
