arm,family,k,p_hat,count,share_of_band
LR_1216,leaky,27,0.84375,1,0.00027114967462039046
LR_1216,leaky,28,0.875,1,0.00027114967462039046
LR_1216,leaky,29,0.90625,0,0.0
LR_1216,leaky,30,0.9375,1,0.00027114967462039046
LR_1216,leaky,31,0.96875,0,0.0
E_1216,elu,1,0.03125,3191,0.5037095501183899
E_1216,elu,2,0.0625,377,0.059510655090765585
E_1216,elu,3,0.09375,201,0.03172849250197317
E_1216,elu,4,0.125,159,0.02509865824782952
E_1216,elu,5,0.15625,191,0.030149960536700868
E_1216,elu,6,0.1875,293,0.046250986582478296
E_1216,elu,7,0.21875,51,0.008050513022888714
E_1216,elu,8,0.25,68,0.010734017363851617
E_1216,elu,9,0.28125,48,0.007576953433307025
E_1216,elu,10,0.3125,80,0.012628255722178374
E_1216,elu,11,0.34375,64,0.010102604577742699
E_1216,elu,12,0.375,121,0.01910023677979479
E_1216,elu,13,0.40625,95,0.01499605367008682
E_1216,elu,14,0.4375,181,0.02857142857142857
E_1216,elu,15,0.46875,159,0.02509865824782952
E_1216,elu,16,0.5,438,0.0691397000789266
E_1216,elu,17,0.53125,148,0.02336227308602999
E_1216,elu,18,0.5625,142,0.022415153906866613
E_1216,elu,19,0.59375,82,0.012943962115232834
E_1216,elu,20,0.625,100,0.01578531965272297
E_1216,elu,21,0.65625,34,0.005367008681925809
E_1216,elu,22,0.6875,44,0.006945540647198106
E_1216,elu,23,0.71875,19,0.002999210734017364
E_1216,elu,24,0.75,16,0.0025256511444356746
E_1216,elu,25,0.78125,4,0.0006314127861089187
E_1216,elu,26,0.8125,9,0.001420678768745067
E_1216,elu,27,0.84375,4,0.0006314127861089187
E_1216,elu,28,0.875,7,0.0011049723756906078
E_1216,elu,29,0.90625,2,0.00031570639305445933
E_1216,elu,30,0.9375,4,0.0006314127861089187
E_1216,elu,31,0.96875,3,0.00047355958958168905
