registered,arm,seed,unit,t_sub,win_len,d_wmu,d_b,share_unit,routes_same_sign,share_in_unit_interval,d_wmu_ff,d_b_ff,n_ff_intervals,share_unit_ff,pred,pred_meanrecip,pred_ff
0,E_a0p001_1216,0,94,11000,11,-0.5329772054083382,-0.05022453431228713,0.08611862909796274,1,1,-0.14701875459438796,-0.0229457313964182,10,0.13500309351483814,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,95,111000,111,-1.8379283130556345,-0.3394715828745234,0.15590686098086057,1,1,0.023833983481430288,-0.023144418966630553,100,-33.56381958452754,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,96,1000,1,-0.003584139784701179,-0.0003785425216225567,0.09552684075088992,1,1,-0.003584139784701179,-0.0003785425216225567,1,0.09552684075088992,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,97,3000,3,-0.1332446029133827,-0.014306970262880858,0.09696250575241175,1,1,-0.1332446029133827,-0.014306970262880858,3,0.09696250575241175,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,99,51000,51,-1.2613648854081845,-0.15468690462257584,0.10923816890850838,1,1,-0.029303043568475573,0.0227867750591092,46,-3.4969054799316317,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,0,171000,171,-2.8751204860225315,-0.17300224939188702,0.056756982710004254,1,1,-1.6089840079747448,-0.11104668020447928,154,0.06456087148190952,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,1,131000,131,-1.4628798944419543,-0.3844246731566443,0.20810032081303015,1,1,-0.3755606678822274,-0.12626108863427898,118,0.25160544953400377,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,2,91000,91,-2.0514676779754097,-0.06456990974286425,0.030514538171550188,1,1,-0.7020013360779025,-0.020654629486148213,82,0.02858155259263205,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,3,192000,192,-1.8154974156577453,-0.2039716268786851,0.10100260146721488,1,1,-1.5040961753037783,-0.13389487704225744,173,0.08174335070419624,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,4,91000,91,-0.4936487664969782,-0.28649179082110976,0.36723099207403215,1,1,0.05236914427213524,-0.062412919018362684,82,6.214089881078394,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,1,5,21000,21,-1.338636571503141,-0.17133463109919944,0.11346880708977428,1,1,-0.5315273891495691,-0.027195249815153866,19,0.04867397151750448,0.09758305318051957,0.09758305318051957,0.09758305318051957
