arm,iv,bin,window,mean_median,mean_min,mean_max,mean_n_down,star_median,star_min,star_max,star_n_down,star_W_median,star_W_min,star_W_max,star_W_n_down,bias_median,bias_min,bias_max,bias_n_down
LR,l2,7-11,0-625,-0.08938647729209641,-0.09237975239119046,-0.04331575025069047,3,-0.01133294221090719,-0.012251864147019249,0.0019113127571235191,2,-0.012323528826773242,-0.013856556123002111,-9.171638404412708e-05,3,0.0016046919759828602,0.0009905866158660501,0.0020030291411676448,0
LR,l2,7-11,100-625,0.0523754002722393,0.039882187494729035,0.07583274921695193,0,0.04003400669754337,0.023477672987174486,0.04423896204136998,0,0.03945236682219112,0.02231824864944141,0.042452594957921405,0,0.001159424337733072,0.0005816398753522647,0.0017863670834485687,0
LR,l2,7-11,20-100,0.1437333915398345,0.10674216535074033,0.22676615819748253,0,0.04907860275384593,0.03781315123369213,0.0958694830127508,0,0.046597549121220064,0.03608825167056866,0.09285817600115956,0,0.002481053632625846,0.0017248995631234713,0.003011307011591271,0
LR,none,12-20,0-100,-0.07822972774545794,-0.10558573626962207,0.005275681084061611,2,0.007245201200883751,-0.005490424612251478,0.008260011111407974,1,0.006465204901251884,-0.006204217937292065,0.006517199596056875,1,0.0007280016048268106,0.0007137933250406707,0.0017948062101560125,0
LR,none,12-20,0-20,0.05161864128936723,0.019963482169040744,0.054320145350870645,0,0.022265256027352038,0.016899161249278396,0.0316388147112987,0,0.022102729731598894,0.01645448855171187,0.031207473817532576,0,0.00043134089376609195,0.00016252629575319588,0.0004446726975665013,0
LR,none,12-20,0-625,-0.14267459629665954,-0.15139387187412628,-0.093955757013366,3,-0.04152601342585273,-0.054344898965071664,-0.041465530039713414,3,-0.0419658976571291,-0.054172435826095815,-0.04172320503400405,3,0.0001971916081513176,-0.00017246313897582402,0.000500367617415678,1
LR,none,12-20,100-625,-0.0644448685512016,-0.09923143809742761,-0.04580813560450422,3,-0.048771214626736475,-0.06260491007647964,-0.035975105427461934,3,-0.04824040463006093,-0.0606376407273477,-0.03576167971983704,3,-0.000530809996675493,-0.001967269349131837,-0.00021342570762499267,3
LR,none,12-20,20-100,-0.12554921843866282,-0.1325498730963286,-0.04634296020530562,3,-0.02439361351041495,-0.027755680639603517,-0.008639150137870422,3,-0.0246902742214757,-0.028306947668890955,-0.009989283650459986,3,0.0005512670292874748,0.0002966607110607187,0.0013501335125895115,0
LR,none,2-6,0-100,-0.21714036415311658,-0.2751673421504967,-0.1873847161986446,3,-0.10237889758567884,-0.10722078072410075,-0.0879265463234725,3,-0.1013017487012022,-0.1066183880568948,-0.08720503744001609,3,-0.0007215088834564086,-0.0010771488844766284,-0.0006023926672060045,3
LR,none,2-6,0-20,-0.5282030998272222,-0.576441667845987,-0.5205778669727869,3,-0.2155101911956098,-0.22044945293096094,-0.20857896594013647,3,-0.21156493871435117,-0.21597510518475754,-0.204469030882496,3,-0.004109935057640542,-0.004474347746203421,-0.003945252481258649,3
LR,none,2-6,0-625,-0.36851824462036165,-0.40240664096784906,-0.34108780872057787,3,-0.21555815015677116,-0.22735740730439788,-0.195850076211418,3,-0.2168108702535018,-0.22648286574135773,-0.19505140471447327,3,-0.0007986714969447347,-0.0008745415630401112,0.0012527200967306271,2
LR,none,2-6,100-625,-0.15137788046724507,-0.1537030925219333,-0.1272392988173523,3,-0.1083373694326704,-0.12497850971871902,-0.10792352988794551,3,-0.11019248219660698,-0.12518111704015555,-0.1078463672744572,3,0.00020260732143651713,-7.716261348832617e-05,0.0018551127639366317,1
LR,none,2-6,20-100,0.30343750281967025,0.3012743256954903,0.34081838362857775,0,0.1132286722068602,0.10620006835445764,0.1275836448721373,0,0.10935671712786274,0.10316728218129376,0.12435990127433509,0,0.0032237435978022403,0.0030327861731639138,0.003871955078997417,0
LR,none,7-11,0-100,-0.14906089131231454,-0.15771090776306124,-0.14448307677420302,3,-0.0350848271732066,-0.05164674082444243,-0.027214102972291966,3,-0.03480365085371524,-0.05199473869275968,-0.02838380299857133,3,0.00034799786831717983,-0.0002811763194913511,0.001169700026279314,1
LR,none,7-11,0-20,-0.1897948036345145,-0.2002088250594948,-0.16572305956270067,3,-0.05790555712062388,-0.0686004531533723,-0.05709224751079325,3,-0.056579648787968215,-0.06709948839538597,-0.05570079752060571,3,-0.0013914499901875386,-0.0015009647579863664,-0.0013259083326556723,3
LR,none,7-11,0-625,-0.2096805736573913,-0.2174184153040688,-0.19937082697288727,3,-0.09646253805069852,-0.11016315479886282,-0.09097900609381286,3,-0.09632660148593267,-0.11137808694429725,-0.09294113135431217,3,0.0012149321454344316,-0.0001359365647658704,0.0019621252604993056,1
