task,step,mean,star,star_W,bias,within,between,pre_switch_mean,arm,iv,seed
25,300,-0.8352696559966616,-0.8203090485818899,-0.8454481290239124,0.02513908044202253,1.6322631538364478,1.0558647715043754,-0.8382195234298706,SNA,none,0
25,625,-0.8172845795180455,-0.828748951416977,-0.8537729315826924,0.025023980165715328,1.8629159583292962,1.0476213655075408,-0.8382195234298706,SNA,none,0
26,0,-0.7608656678721809,-0.828748951416977,-0.8537729315826924,0.025023980165715328,0.930998520758804,1.0674471841656528,-0.8172845244407654,SNA,none,0
26,20,-0.9182545333513823,-0.8848201479585934,-0.9090414437148813,0.024221295756287873,0.9753240189735447,0.6901448985318885,-0.8172845244407654,SNA,none,0
26,300,-0.7677044973789989,-0.848860672946175,-0.8747567133266416,0.02589604038046673,1.6025327221101728,0.7553493407724177,-0.8172845244407654,SNA,none,0
26,625,-0.7874485911472722,-0.8547343264700409,-0.8803344269393507,0.025600100469309838,1.7676328173418394,0.6711034459935429,-0.8172845244407654,SNA,none,0
27,0,-0.9029020777500983,-0.8547343264700409,-0.8803344269393507,0.025600100469309838,0.8891454692977823,0.8341196289852146,-0.7874485850334167,SNA,none,0
27,20,-0.9667371687506306,-0.8724156482500642,-0.8978910996183208,0.025475451368256474,0.98980161500765,0.9124792574553708,-0.7874485850334167,SNA,none,0
27,300,-0.7862274513800773,-0.816017073759284,-0.8433492267955432,0.027332153036259115,1.4875372681014656,0.8330576101580505,-0.7874485850334167,SNA,none,0
27,625,-0.8241757138238093,-0.8327188582748828,-0.8605002258108185,0.027781367535935714,1.709929969091137,0.7957064828303679,-0.7874485850334167,SNA,none,0
28,0,-0.9401484679609546,-0.8327188582748828,-0.8605002258108185,0.027781367535935714,0.9148443013017268,0.7745957885717337,-0.8241757750511169,SNA,none,0
28,20,-0.9165067753169928,-0.8274536673077878,-0.8552020262489591,0.02774835894117132,1.0383228947866379,0.9849156728281381,-0.8241757750511169,SNA,none,0
28,300,-0.7429579679670922,-0.7859547748607106,-0.8142807052486565,0.028325930387945845,1.5701230755367785,0.9805339506516212,-0.8241757750511169,SNA,none,0
28,625,-0.7745086067518683,-0.8148377643220166,-0.8420496708338189,0.027211906511802227,1.7881293712614357,1.0736948233771186,-0.8241757750511169,SNA,none,0
29,0,-0.8387059584983519,-0.8148377643220166,-0.8420496708338189,0.027211906511802227,1.0144980277108646,0.8718894616400322,-0.7745086550712585,SNA,none,0
29,20,-0.8628595702443925,-0.8215820411360437,-0.8488801132445769,0.027298072108533234,1.1819189610374692,1.1000599098087602,-0.7745086550712585,SNA,none,0
29,300,-0.7596986762969968,-0.7766837123289647,-0.8042452153886611,0.027561503059696405,1.6870926777232247,0.9623861413997088,-0.7745086550712585,SNA,none,0
