arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,s_l1,s_l2
CS,raw,6,6,0.001,11,none,0.1083666667,0.1116666719,0.1116666719,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70544028,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.325763702,3.861581802,-17.10629845,0,0,1,-2.401900291,0,0,1,-0.7389595509,0.05457946658,-1.755386348e+11,17.10629845,0.6857010722,12.031847,3.84813118,13.50778008,22.75137138,2.64697796e-22
CS,raw,6,6,0.001,12,none,0.1088729167,0.1099999994,0.1099999994,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70818808,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.308206558,3.850250721,-17.06970024,0,0,1,-2.407485247,0,0,1,-0.7391439676,0.05474008992,-1.755386348e+11,17.06970024,0.6859852672,12.031847,3.84813118,13.50778008,22.83516312,2.64697796e-22
CS,raw,6,6,0.001,13,none,0.1114291667,0.1116666719,0.1116666719,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70738071,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.325715065,3.860217571,-17.07882118,0,0,1,-2.405812979,0,0,1,-0.7404569387,0.05459875613,-1.755386348e+11,17.07882118,0.6858904958,12.031847,3.84813118,13.50778008,22.79003143,2.64697796e-22
CS,raw,6,6,0.001,14,none,0.1081916667,0.1099999994,0.1099999994,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70861424,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.33891201,3.86549592,-17.11120224,0,0,1,-2.404163837,0,0,1,-0.7405545712,0.05452420563,-1.755386348e+11,17.11120224,0.6858786941,12.031847,3.84813118,13.50778008,22.7442131,2.64697796e-22
CS,raw,6,6,0.001,15,none,0.1106625,0.1108333394,0.1108333394,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.7087926,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.314277649,3.853098154,-17.07079697,0,0,1,-2.405746698,0,0,1,-0.7385574579,0.05469964072,-1.755386348e+11,17.07079697,0.685769558,12.031847,3.84813118,13.50778008,22.83693504,2.64697796e-22
CS,raw,6,6,0.001,16,none,0.1099166667,0.1116666719,0.1116666719,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70839406,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.328689575,3.865311384,-17.10625458,0,0,1,-2.403008699,0,0,1,-0.73671031,0.05452680588,-1.755386348e+11,17.10625458,0.6860203147,12.031847,3.84813118,13.50778008,22.79135513,2.64697796e-22
CS,raw,6,6,0.001,17,none,0.11830625,0.1183333397,0.1183333397,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70783429,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.327548027,3.859874725,-17.09026909,0,0,1,-2.405853987,0,0,1,-0.7365988493,0.05460360646,-1.755386348e+11,17.09026909,0.6859455705,12.031847,3.84813118,13.50778008,22.79987717,2.64697796e-22
CS,raw,6,6,0.001,18,none,0.1080145833,0.1083333343,0.1083333343,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70514292,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.34086132,3.869957685,-17.1593132,0,0,1,-2.405380726,0,0,1,-0.7383016348,0.05446134135,-1.755386348e+11,17.1593132,0.6859262586,12.031847,3.84813118,13.50778008,22.71463585,2.64697796e-22
CS,raw,6,6,0.001,19,none,0.1148416667,0.1150000021,0.1150000021,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.7070116,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.330889702,3.867010355,-17.10619164,0,0,1,-2.4046278,0,0,1,-0.7389748096,0.05450284854,-1.755386348e+11,17.10619164,0.6857682467,12.031847,3.84813118,13.50778008,22.75896835,2.64697796e-22
CS,raw,6,6,0.001,20,none,0.1053791667,0.1066666692,0.1066666692,0,0,0.3435371816,24.80552864,-0.2268177271,0.5033333302,58.70859441,0.4973750114,0.01172378473,0.5033333302,0.4822416604,0,-0.02321385778,0.01435251534,0.9999991059,1.079443932,1,1,-9.327863693,3.85778904,-17.08688164,0,0,1,-2.404775858,0,0,1,-0.7404268384,0.05463312939,-1.755386348e+11,17.08688164,0.685872972,12.031847,3.84813118,13.50778008,22.77897835,2.64697796e-22
