seed,unit,t0,p_hat,x,r,w_norm,cos_u_mu,event_dead_0_05,event_strict_dead,r_group,p_bin,x_bin
2,89,200000,0.125,-0.2548922362764898,1.7658121995937552,1.7841140031814575,-0.14286768436431885,1,1,mid,low,low
2,89,600000,0.1875,-0.2117740300440687,1.9669961752666854,1.9783635139465332,-0.10704505443572998,1,1,low,mid,mid
2,90,200000,0.09375,-0.19552644032333788,1.2962437426596887,1.3109074831008911,-0.14915350079536438,1,1,low,low,mid
2,90,300000,0.125,-0.4540087820668006,2.2155999668308373,2.2616381645202637,-0.20074333250522614,1,1,mid,low,low
2,91,400000,0.4375,0.043669398675239,2.035792048209485,2.0362603664398193,0.021445881575345993,1,1,low,high,high
2,92,200000,0.125,-0.24776637260632484,1.9908832373987302,2.0062413215637207,-0.12349779158830643,1,1,mid,low,low
2,93,200000,0.875,0.3409051070718885,1.6427795786760109,1.6777786016464233,0.20318837463855743,1,1,low,high,high
2,94,300000,0.96875,0.8488299466504756,2.426852657738576,2.571016550064087,0.3301534354686737,1,1,mid,high,high
2,94,600000,0.15625,-0.29465810141883964,3.000933760146787,3.0153651237487793,-0.09771887958049774,0,0,mid,mid,low
2,98,600000,0.125,-0.19755463917715588,1.97402648648752,1.9838871955871582,-0.0995795726776123,1,1,low,low,mid
2,99,200000,0.15625,-0.1506146661577592,1.4977056266679527,1.5052597522735596,-0.10005892068147659,1,1,low,mid,mid
2,99,300000,0.21875,-0.44064754697408404,2.858627003641983,2.8923897743225098,-0.15234722197055817,1,1,mid,mid,low
3,3,300000,0.1875,-0.1129384054223479,1.6080641649019842,1.612025260925293,-0.07005994766950607,1,1,low,mid,mid
3,3,400000,0.28125,-0.13119469358391722,2.3692329483997163,2.3728625774383545,-0.055289629846811295,1,1,mid,mid,mid
3,5,600000,0.125,-0.25373140757238843,1.7159838128388656,1.734641194343567,-0.14627313613891602,1,1,low,low,mid
3,10,600000,0.0625,-0.7392971993736097,4.441543865076278,4.502651691436768,-0.16419151425361633,1,1,high,low,low
3,11,400000,0.40625,-0.015012450873136185,1.756618962513429,1.756683111190796,-0.008545907214283943,1,1,low,high,high
3,12,400000,0.0625,-0.4484828658312736,3.6779239060528766,3.705166816711426,-0.12104255706071854,1,1,high,low,low
3,14,400000,0.40625,-0.07443766120397921,3.5648199687956454,3.5655970573425293,-0.020876633003354073,1,1,high,high,mid
3,17,300000,0.6875,0.18687487183036566,2.120187290380937,2.1284070014953613,0.08780034631490707,1,1,low,high,high
3,17,600000,0.0625,-0.36068659677147785,2.991034687982741,3.0127036571502686,-0.1197218969464302,1,1,mid,low,low
3,18,400000,1.0,0.6519405743250957,1.7609292119633078,1.8777375221252441,0.34719473123550415,1,1,low,high,high
