task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
80,1.0,0.03352911025285721,0.98779296875,1.0000000000006446,0.0,5.8135054964253365,33.973895690563424,0.1536848866186115,0.05226243541757279,K000_LR03,0.0,leaky,0.3,2,LR03,2.7239426134676136e-06,0.33615495894786884,1.7816926134791132e-07,0.614006337933905,74.07178285718004,0.022172527672369772,0.3625768550101163,1.0,2.4868995751603507e-14,0.012705882159819874,12.09556996401344,3.6739147306714024,-1.84368618275841,1.0,0.9725000262260437
81,1.0,0.03147090598940849,0.990478515625,0.9999999999998371,0.0,5.843313045486409,34.3267675252068,0.15948349467050474,0.04049448644674857,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
82,1.0,0.027322910726070404,0.990966796875,1.000000000000432,0.0,5.87772530531158,34.73227168249019,0.15950525842804095,0.05233299279160636,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
83,1.0,0.02969677932560444,0.990478515625,0.9999999999991891,0.0,5.9087803031352,35.099843891089556,0.15983244808476807,0.04386616446755451,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
84,1.0,0.042299386113882065,0.98486328125,1.0000000000006544,0.0,5.950910374070344,35.60193894764886,0.18808313747728583,0.0600545858291535,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
85,1.0,0.05048879235982895,0.9833984375,0.9999999999999994,0.0,5.983132629137368,35.98432744439843,0.17354290701412453,0.042141249209527505,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
86,1.0,0.043038077652454376,0.986083984375,0.9999999999994024,0.0,6.011604823847033,36.32753586658576,0.12850291163662386,0.04978535220961308,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
87,1.0,0.0474485419690609,0.984130859375,0.9999999999997984,0.0,6.038320224184492,36.65428625270312,0.14900634294331586,0.03766909436743436,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
88,1.0,0.023948853835463524,0.9921875,0.9999999999997612,0.0,6.075681311390054,37.1080154142966,0.19033945933987473,0.05048461661282804,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
89,1.0,0.03205471485853195,0.98974609375,0.9999999999997945,0.0,6.123555145425789,37.69567859572322,0.19927149552001125,0.07072524685459827,K000_LR03,0.0,leaky,0.3,2,LR03,,,,,,,,,,,,,,,
