task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
40,0.9017857142857143,0.1636233627796173,0.947509765625,0.9374600212755013,0.16731330548897042,4.640739304812877,21.72900590176289,0.27416807451714015,0.04917207755228331,K010_ELU1,0.1,elu,1.0,1,ELU1,0.00017414212438654155,0.3001619766991724,2.2641502105570584e-05,0.3441579491233108,74.4535003643626,0.046200420240340934,0.3672513604473955,1.0,2.3092638912203256e-14,0.018258938783838437,15.015553628988282,2.5160316790206054,-1.4295832751245456,1.0,0.9703999757766724
41,0.9017857142857143,0.12513461709022522,0.958984375,0.9388238586908915,0.1619063308563723,4.684836603479188,22.14305407564535,0.2422276756737218,0.036280136116259167,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
42,0.9030612244897959,0.1908750981092453,0.93505859375,0.9279236884924624,0.18205187652706675,4.735272715971477,22.621215704335263,0.26358285698911055,0.043612631735931766,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
43,0.9030612244897959,0.20925675332546234,0.92724609375,0.9291721813289536,0.18330002863853834,4.7848226106779315,23.094478365898272,0.27538188307266354,0.03911542777135626,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
44,0.9030612244897959,0.14894209802150726,0.95166015625,0.9411144508571375,0.16599787660708235,4.831917916828954,23.54995946218636,0.2542630882315992,0.04073605261989113,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
45,0.9030612244897959,0.14419925212860107,0.955810546875,0.9320269184030986,0.17684195010364773,4.879466771436897,24.01528746723009,0.26305102366844757,0.039187733346323535,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
46,0.9017857142857143,0.14713692665100098,0.953125,0.9265289494156695,0.1838739186567721,4.921439179363983,24.42782050524789,0.2757215268131157,0.025279800425265574,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
47,0.9017857142857143,0.15372036397457123,0.944580078125,0.9372783407181373,0.17027061291322462,4.96785119406357,24.88919429859121,0.2827084088132109,0.033501909736100746,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
48,0.9043367346938775,0.11202797293663025,0.96240234375,0.9400857164334456,0.16357101592215179,5.007353245336549,25.279688413170206,0.23731024511354487,0.031737414552306206,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
49,0.9017857142857143,0.14225567877292633,0.953857421875,0.930058337640452,0.18212398221951062,5.053192837206365,25.742629614092483,0.25797080988945087,0.03940723873835535,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
