step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
3000,A_w100_T10000_std_lr0.01_s8_cont,0.24,0.00161616,0.23,16.5111,6.42372,0.186023,0.501354,0.00020202,3.20485,28.2206,0.113564,19.2987,0.111386,8.9778,7.72009,0.24,0.226587,-0.0555068,-0.00471582,0.0560383,-0.216722,-0.14196,-0.999379,-8.37305,0,0.33774,0,1,0.23,1
3000,A_w100_T10000_std_lr0.01_s9_cont,0.27,0.00323232,0.22,18.6599,6.88395,0.177445,0.500364,0,2.60263,21.0877,0.123419,19.5327,0.0933137,10.7165,9.66403,0.27,0.182637,-0.0454709,-0.00402424,0.0533592,-0.24322,-0.134943,-0.865819,-7.53504,0,0.32705,0,0.923077,0.22,1
4000,A_w100_T10000_std_lr0.01_s0_cont,0.36,0.000606061,0.33,16.4689,6.3755,0.181588,0.504657,0,0.244119,5.93158,0.0411558,19.3869,0.104209,9.5961,8.27846,0.36,0.0479711,-0.049931,-0.00109988,0.0459769,-0.165499,0.0233556,-1.17234,-7.91491,0,0.324135,0,1,0.33,1
4000,A_w100_T10000_std_lr0.01_s1_cont,0.19,0.00444444,0.19,15.6732,5.41917,0.181977,0.498535,0,0.187543,12.3766,0.015153,19.4648,0.0999651,10.0035,9.89277,0.19,0.112279,-0.0426943,-0.00261459,0.0539862,-0.168313,0.0588651,-1.18602,-10.5272,0,0.41345,0,1,0.19,1
4000,A_w100_T10000_std_lr0.01_s2_cont,0.2,0.0020202,0.2,13.933,5.51448,0.17876,0.500384,0,0.0163026,1.12292,0.014518,19.4212,0.0914078,10.94,9.66039,0.2,0.0135926,-0.0196467,0,0.0333009,-0.133615,0.399499,-0.812353,-6.26273,0,0.479215,0,1,0.2,1
4000,A_w100_T10000_std_lr0.01_s3_cont,0.28,0.00141414,0.26,13.9369,5.63361,0.18096,0.498697,0,0.0541646,2.57828,0.021008,19.3996,0.0955176,10.4693,8.95566,0.28,0.0233419,-0.0592784,-0.00371826,0.0588439,-0.221494,0.398418,-1.05168,-9.01654,0,0.440105,0,1,0.26,1
4000,A_w100_T10000_std_lr0.01_s4_cont,0.29,0.00222222,0.29,16.9375,6.6702,0.181617,0.49997,0,0.281491,5.4043,0.0520864,19.4185,0.101339,9.8679,7.98073,0.29,0.0439373,-0.0571558,-0.0014218,0.0515592,-0.208454,-0.0384073,-1.1164,-10.0216,0,0.344355,0,0.966667,0.29,1
4000,A_w100_T10000_std_lr0.01_s5_cont,0.19,0.0030303,0.18,16.5332,5.97095,0.183852,0.500889,0,0.645937,5.85688,0.110287,19.3847,0.108819,9.18961,9.05812,0.19,0.0532961,-0.0422092,-0.000637991,0.0575878,-0.201577,0.00811932,-1.18587,-3.11884,0,0.39581,0,1,0.18,1
4000,A_w100_T10000_std_lr0.01_s6_cont,0.24,0.00606061,0.24,16.6963,6.57412,0.184413,0.499818,0,4.67607,20.3157,0.23017,19.2328,0.108273,9.23594,8.50317,0.24,0.137045,-0.0566998,-0.000809132,0.0530742,-0.261542,-0.06294,-1.08719,-5.45829,0,0.36324,0,0.923077,0.24,1
4000,A_w100_T10000_std_lr0.01_s7_cont,0.36,0.00363636,0.36,15.2635,4.86162,0.179565,0.501313,0,0.501255,6.71497,0.0746474,19.4332,0.108942,9.17916,7.41175,0.36,0.0432791,-0.0563301,-0.0019869,0.0569462,-0.288748,-0.0550775,-1.10351,-7.2405,0,0.30985,0,0.972973,0.36,1
