act,env,lo,hi,n,early,eP,eB,eV,early_updown,late,lP,lB,lV,late_updown
SILU,PM,-2.0,-1.0,2362,-1.639095273047536,-1.7020387438826394,-0.08452359787737701,0.14746707250272942,0.6589696583083053,0.11637197866333093,0.32578616569123103,-0.5663131720448449,0.35689895811636246,1.051498018245942
SILU,PM,-3.0,-2.0,2666,-1.6581002156537965,-1.8987406292383766,-0.3095858321284207,0.5502262304236111,0.6487107127152028,0.11890249664427528,0.04355445352090398,-0.7494892658376417,0.824837485665525,1.03829515516718
SILU,PM,-6.0,-3.0,9134,-1.3267280872840568,-1.9515567449223197,-0.41933723635287967,1.0441658692925258,0.7106404139799983,0.16045353830249118,-0.5796957829006614,-1.2124143792605298,1.9525636799828199,1.0327469711716755
SILU,PM,-12.0,-6.0,13961,-0.7609297910167033,-1.5214945164446805,-0.28291046817571686,1.0434751983092787,0.8339582784655104,0.5064418120334236,-1.3383931703218857,-2.1309740341645833,3.975808281903535,1.0681740674175246
SILU,PM,-inf,-12.0,9717,0.17822099688755275,-0.6132081585655822,-0.2739563568621504,1.0653849998123583,1.0455754247692741,0.8968735059190308,-1.4304528602684723,-2.58065109987933,4.9079545919982746,1.099483833275821
SILU,K784,0.0,3.0,1183,-1.382127849666955,-1.0565377226114452,-0.07720074410480067,-0.24838922386124576,0.6737730866830426,-0.7271402450052865,3.08576795384265,-3.166400366205906,-0.6465077879232664,0.9541116424361635
SILU,K784,-1.0,0.0,744,-1.937162237091338,-1.7014750357300774,-0.26635310381166266,0.03066575849883246,0.4797926490360396,-0.19398994091901137,4.196713011206047,-3.677563379539489,-0.713139404381024,0.9867859318292416
SILU,K784,-2.0,-1.0,932,-1.5846780263642053,-1.594747197822961,-0.410702618737799,0.4207716922268165,0.5389067847447259,-0.22684394973959743,3.0702927407193927,-2.7825815787308623,-0.5145548386795633,0.9839391700899572
SILU,K784,-3.0,-2.0,1128,-1.326422386041776,-1.5771765507065305,-0.34563140133261727,0.5963854069366996,0.5964093000614424,-0.28458632182761084,2.2000895185748757,-2.1831568246891413,-0.3015186459333918,0.9785304168035317
SILU,K784,-6.0,-3.0,3946,-0.7693214897413764,-1.0716828533954588,-0.16490348066660107,0.4672647085763965,0.7583944308309241,-0.30027513207030293,0.9590201534724061,-1.2807635981909977,0.021469141541743245,0.974904193170406
SILU,K784,-12.0,-6.0,10022,-0.5864740162933062,-0.26878313113955576,0.022311371397980853,-0.3400029285262322,0.8274705236973402,-0.2561259304167576,0.07984967069885043,-0.43801285635597476,0.10204003938897442,0.9721215133887646
SILU,K784,-inf,-12.0,24563,-0.4155999482901434,-0.009229481627179284,-0.011396258285863827,-0.3949772451336801,0.8618214631122285,0.21362037531151593,-0.051678796515040676,-0.22424523950362157,0.48955949458447445,1.0317270603185227
SILU,K107,0.0,3.0,340,-2.4971680914853676,-0.5584237230974332,-0.9961952946687294,-0.9425486899635617,0.6107118283060766,0.18029182509340838,5.626386762686148,-4.37195716531387,-1.0741374713172263,1.0178827411660847
SILU,K107,-1.0,0.0,173,-2.5613978950258325,-0.7725439377950143,0.1683356895316869,-1.9571898388185114,0.628876337848547,0.6027086386399887,4.007759370857354,-4.56772322698092,1.1626713290766257,1.0596019247466535
SILU,K107,-2.0,-1.0,233,-2.6920414992332766,-0.786545975550981,0.2746477446578566,-2.1801434766435634,0.6108720200753596,1.0260178914823637,2.85863039373891,-5.22686220574089,3.3942470340389965,1.0823367548752512
SILU,K107,-3.0,-2.0,250,-3.0554391938160625,-0.5810851422076112,0.3527502128848658,-2.827104327283595,0.5519997773796795,1.553045292704477,1.3489852641707478,-4.9737452978558485,5.1778076844526275,1.107722010303736
SILU,K107,-6.0,-3.0,1070,-3.685031719112411,-0.6301515547919596,0.5466513153512683,-3.6015315439362094,0.4504510846710074,2.0455291033024907,-0.11431168794967284,-4.238388178742209,6.398228208376402,1.1309959346426217
SILU,K107,-12.0,-6.0,5737,-3.6819156138485267,-0.8842795068001693,0.7207692446856241,-3.518405736806933,0.36804210120738673,2.282230207474763,-0.7766429155478907,-2.990448047130049,6.049320318773501,1.1706401578269061
SILU,K107,-inf,-12.0,36599,-1.6008829633061417,-0.8516138538791901,0.4449795086895833,-1.1942494926406413,0.553576741433483,1.5267523326911376,-0.7522956546942893,-1.7580984386267453,4.037146956630542,1.1906646669406913
LR,RL,0.0,inf,440,1.2272295601179146,1.1814437488844651,-0.0030947459929545297,0.048881030377008305,1.2186794263596752,-1.7341543207647523,-1.4775651118606599,-0.8786879858147317,0.6220990959237197,0.9365201370854502
LR,RL,-1.0,0.0,212,-2.375088327782578,-2.490206585448308,-0.06821237101387354,0.18333061275408463,0.5391956020610744,0.42363563042124713,-0.2270304435170976,-1.4217293899695986,2.0723953100834547,1.0271084975771683
LR,RL,-2.0,-1.0,248,-2.3563062014075133,-2.5687370941943066,-0.022261494751416346,0.23469247370573407,0.5807959469507403,0.6396390904250614,-0.4106506029706938,-1.4524376027246093,2.5027274437755795,1.0343845820779376
LR,RL,-4.0,-2.0,951,-2.340161889398296,-2.7716612681485593,-0.2085499967519098,0.6400494338669609,0.6370122175550429,1.075352685830961,-0.3349655665747139,-2.3674585577446545,3.777776699898379,1.0459450854399686
LR,RL,-8.0,-4.0,8120,-2.676250195634349,-3.0674287648659053,-0.2191353152235044,0.6103138965286292,0.6451443403522451,1.529573832388154,-0.06175176049470778,-2.291136696740489,3.882462270229276,1.0580893783332017
LR,RL,-16.0,-8.0,30358,-1.8584008815025281,-2.324302256668453,-0.13365577642142357,0.5995571245261514,0.7504685216538916,1.8504146269594517,0.2102784829350506,-1.5034939655867863,3.1436302195647,1.0690854887865961
LR,RL,-inf,-16.0,4371,-0.4364542893203678,-1.0458098850259787,-0.0732858302579497,0.6826415714205843,0.9359594808362278,2.154336499101929,0.4483030765299085,-0.7908088377297979,2.4968422530035985,1.0802090143368983
LR,PM,0.0,inf,4240,-2.0968221675743357,-2.37514457659815,0.027052679029718234,0.251269728698246,0.6633624965479149,-0.00651693230934561,0.09561824981254985,-0.07761767384773938,-0.02451756446204514,0.9972892970263512
LR,PM,-1.0,0.0,2631,-2.3569924296766125,-2.83091378902019,-0.0357472042400989,0.5096685559824295,0.587899286072495,0.2487754839573367,0.411460897802519,-0.08645794590202956,-0.07622740004654273,1.1763592957097166
LR,PM,-2.0,-1.0,3254,-1.7454022286943514,-2.4257444978658134,-0.09765663637349536,0.7779989394288775,0.6958676722445183,0.30025536429451993,0.466817667837851,-0.07311308558022829,-0.09344917568583802,1.1987172266612407
LR,PM,-4.0,-2.0,6790,-1.2693172809129358,-2.049409546950641,-0.12140204613668301,0.9014943272394327,0.7879636949079517,0.4086044390114648,0.5910515609539292,-0.07691137123679964,-0.10553576652912582,1.1998546789050868
LR,PM,-8.0,-4.0,10467,-0.732619855597745,-1.5890008995779026,-0.11426416583467772,0.9706451884487789,0.8836482635109701,0.5720843134348659,0.7605680938928367,-0.08443971990917319,-0.10404397275655258,1.180536560542902
LR,PM,-16.0,-8.0,10755,0.039398912451427424,-0.7451417962276355,-0.08076633522395149,0.8653070988463474,1.0059640684481488,0.6231964874544945,0.6819400507572834,-0.054918193644513114,-0.0038253246171256854,1.1292858458976043
LR,PM,-inf,-16.0,6563,-0.12679558409526118,-0.04734751009924359,-0.011191408608737016,-0.06825660234366318,0.9824962686474368,0.5388248581973928,0.11234911857044881,-0.0027459375748569094,0.4292214514974607,1.08730921286828
ELU1,RL,0.0,inf,9132,0.3072914886396497,0.24183592554662328,0.033751455107259395,0.031704393017004416,1.4441316058858653,-0.11646664151550222,0.0758966981584843,-0.16545759326796103,-0.02690246422778991,0.967979078662451
ELU1,RL,-1.0,0.0,937,-0.7918257773906486,-0.867541918718151,-0.05745910506731102,0.13317501072798751,0.6324825863327527,0.19630535543906485,5.562842694078728,-4.464943311088104,-0.9015950954576748,1.0202728588613494
