key,arm,window,seed,n,rho_zbar,rho_zmax
LR_1216@5M,LR_1216,5M,2,305341,0.30491350358116387,0.032260579603303384
LR_1216@5M,LR_1216,5M,3,294617,0.3526206420549271,0.04572679850282034
LR_1216@5M,LR_1216,5M,4,284692,0.3566287617847892,0.06747700452628827
LR_1216@5M,LR_1216,5M,5,303792,0.33083288861943244,0.0547240037864734
LR_1216@5M,LR_1216,5M,6,307910,0.29975774834107505,0.0034709710369248397
LR_1216@5M,LR_1216,5M,7,282868,0.35776362595424765,0.06886411970374196
LR_1216@5M,LR_1216,5M,8,302223,0.31034789327286233,0.061000086539687096
LR_1216@5M,LR_1216,5M,9,284007,0.3029537138075506,0.06298931909014752
LR_a0p01_1216@5M,LR_a0p01_1216,5M,0,428161,0.38701003216023183,0.07277165512812078
LR_a0p01_1216@5M,LR_a0p01_1216,5M,1,429023,0.40292395387994057,0.12681896056270142
LR_a0p01_1216@5M,LR_a0p01_1216,5M,2,424215,0.4275272658979665,0.14961285870504767
LR_a0p01_1216@5M,LR_a0p01_1216,5M,3,432235,0.421097150159415,0.07166878735264187
LR_a0p01_1216@5M,LR_a0p01_1216,5M,4,428976,0.40309469841249196,0.07606399272202229
LR_a0p01_1216@5M,LR_a0p01_1216,5M,5,422358,0.4492022055632506,0.14705714104682446
LR_a0p01_1216@5M,LR_a0p01_1216,5M,6,429917,0.4072647528879699,0.11311280588117918
LR_a0p01_1216@5M,LR_a0p01_1216,5M,7,430013,0.436208604177756,0.09845877901918114
LR_a0p01_1216@5M,LR_a0p01_1216,5M,8,428951,0.44480900171871757,0.12746685501227534
LR_a0p01_1216@5M,LR_a0p01_1216,5M,9,431344,0.4530207978222743,0.1883611564730124
LR_a0p001_1216@5M,LR_a0p001_1216,5M,0,428373,0.33623542875115164,0.12299866350090614
LR_a0p001_1216@5M,LR_a0p001_1216,5M,1,430080,0.6001653825014236,0.39213537995226216
LR_a0p001_1216@5M,LR_a0p001_1216,5M,2,426525,0.6197928107492783,0.28359890371789487
LR_a0p001_1216@5M,LR_a0p001_1216,5M,3,428659,0.5212418896967637,0.18415775478299376
LR_a0p001_1216@5M,LR_a0p001_1216,5M,4,430174,0.5308076171947439,0.2462398515522046
LR_a0p001_1216@5M,LR_a0p001_1216,5M,5,425348,0.5618173740274168,0.2766255956066561
LR_a0p001_1216@5M,LR_a0p001_1216,5M,6,429688,0.5661851443742447,0.3712273958847687
