coord,binset,bin,lo,hi,n,depth_med,depth_mid,inc_med,inc_mean,inc_p_up,inc_frac_zero,ulp_med,med_over_ulp,lnmob_med,resid_med,inc_med_seed_n,inc_med_seed_med,inc_med_seed_min,inc_med_seed_max,inc_med_seed_mean,inc_med_seed_sd,inc_med_seed_se,inc_med_hi2se,inc_med_lo2se,inc_iqr,inc_frac_gt_1e3,key,arm,window,family,dial,pos
zmax,abs,0-1,0.0,1.0,173788,0.4787050187587738,0.5,0.00011348724365234375,0.003973523326877658,0.5630365732961999,0.0010414988376642807,4.76837158203125e-07,238.0,-3.5440480325819825,-3.1088893073197617,10,0.00011730194091796875,5.7697296142578125e-05,0.0002231597900390625,0.00012311935424804687,5.145758120771254e-05,1.6272315949944958e-05,0.00015566398614793678,9.057472234815696e-05,0.004677772521972656,0.6364190853223468,E_1216@15M,E_1216,15M,elu,1.0,7
zmax,abs,1-3,1.0,3.0,250007,1.8462393283843994,2.0,-1.9073486328125e-06,0.0009379671179441045,0.49629010387709144,0.0019479454575271893,9.5367431640625e-07,2.0,-4.869929879312048,-3.0774250129376037,10,-2.6226043701171875e-06,-1.0251998901367188e-05,3.814697265625e-06,-2.5033950805664062e-06,4.2519836741750825e-06,1.3445952984244528e-06,1.8579551628249927e-07,-5.192585677415312e-06,0.0035500526428222656,0.6005871835588603,E_1216@15M,E_1216,15M,elu,1.0,7
zmax,abs,3-6,3.0,6.0,106106,3.8187994956970215,4.5,-9.5367431640625e-07,-0.0006134433373158639,0.4890486871618947,0.008105102444725086,9.5367431640625e-07,1.0,-6.821573492834721,-3.029873839744801,10,-1.430511474609375e-06,-3.814697265625e-06,0.0,-1.430511474609375e-06,1.2912811286665535e-06,4.0833894661792526e-07,-6.138335813735245e-07,-2.2471893678452257e-06,0.0010662078857421875,0.3889223983563606,E_1216@15M,E_1216,15M,elu,1.0,7
zmax,abs,6-10,6.0,10.0,9767,6.780852317810059,8.0,0.0,3.72945536143511e-06,0.46227091225555444,0.09685676256783045,9.5367431640625e-07,0.0,-9.80801142071352,-3.0242472913048477,10,0.0,0.0,9.5367431640625e-07,2.86102294921875e-07,4.6066846040692133e-07,1.456761581088969e-07,5.774546111396687e-07,-5.250021295918789e-09,8.96453857421875e-05,0.06347906214804956,E_1216@15M,E_1216,15M,elu,1.0,7
zmax,abs,>10,10.0,inf,473,10.967817306518555,10.967817306518555,0.0,-1.06053422923824e-06,0.20084566596194503,0.6088794926004228,1.9073486328125e-06,0.0,-14.079041796136362,-3.023804403548356,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,E_1216@15M,E_1216,15M,elu,1.0,7
zmax,abs,0-1,0.0,1.0,173490,0.47861728072166443,0.5,5.2928924560546875e-05,0.0028964986738181965,0.5543893019770592,0.0024266528330163122,4.76837158203125e-07,111.0,-3.5436831586049724,-3.1090004725037677,10,5.5789947509765625e-05,2.3931264877319336e-05,9.822845458984375e-05,5.703866481781006e-05,2.2749975632411575e-05,7.194173971175012e-06,7.142701276016008e-05,4.265031687546004e-05,0.0030554533004760742,0.5618191250216151,E_1216@15M,E_1216,15M,elu,1.0,8
zmax,abs,1-3,1.0,3.0,249308,1.847556233406067,2.0,-9.5367431640625e-07,0.0007692363333059057,0.49450077815393007,0.0038787363421951965,9.5367431640625e-07,1.0,-4.871419162637315,-3.0776875687799112,10,-9.5367431640625e-07,-7.62939453125e-06,2.86102294921875e-06,-1.430511474609375e-06,2.7438285353393665e-06,8.676747680636202e-07,3.048380615178655e-07,-3.1658610107366157e-06,0.0023670196533203125,0.5285189404271022,E_1216@15M,E_1216,15M,elu,1.0,8
zmax,abs,3-6,3.0,6.0,106219,3.8189857006073,4.5,0.0,-0.0005335292980107289,0.4871444845084213,0.013349777346802361,9.5367431640625e-07,0.0,-6.82105670168025,-3.0297193596935577,10,-4.76837158203125e-07,-2.86102294921875e-06,0.0,-6.67572021484375e-07,9.047348957543504e-07,2.86102294921875e-07,-9.536743164062498e-08,-1.2397766113281248e-06,0.000732421875,0.3323605004754328,E_1216@15M,E_1216,15M,elu,1.0,8
zmax,abs,6-10,6.0,10.0,9769,6.779906272888184,8.0,0.0,-1.0047308900044144e-06,0.44774286006756064,0.12713686150066536,9.5367431640625e-07,0.0,-9.807911629346169,-3.024246582361066,10,0.0,0.0,1.9073486328125e-06,2.86102294921875e-07,6.436811043839959e-07,2.0354983766660208e-07,6.932019702550791e-07,-1.2099738041132916e-07,6.198883056640625e-05,0.04995393591974614,E_1216@15M,E_1216,15M,elu,1.0,8
zmax,abs,>10,10.0,inf,473,10.967801094055176,10.967801094055176,0.0,-1.1875563897743789e-06,0.15856236786469344,0.6849894291754757,1.9073486328125e-06,0.0,-14.079041796136362,-3.023804403548356,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,E_1216@15M,E_1216,15M,elu,1.0,8
