task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
31,4.432887260520755,19.69329340882089,0.90746444765951,-0.04501360656692947,1.6773462884956376,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
32,4.4996323563469796,20.285339421683915,0.9792923879144362,-0.04650709340292544,1.7008381020450165,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
33,4.560024239331148,20.831747190132887,0.980806847897327,-0.048849218405881405,1.7167216164969665,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
34,4.617764298397845,21.362363350209275,1.0126700913902136,-0.05502422477009288,1.7248662468651557,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
35,4.687984734425057,22.01139147911939,1.0232535664659352,-0.04115612591760673,1.7442647686562232,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
36,4.741381304290979,22.512988271069638,0.911614818438822,-0.04913434899351461,1.7572202779546517,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
37,4.800209564315719,23.07175058653662,0.9660729669442784,-0.04482379273097067,1.7715426240922656,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
38,4.863159500169238,23.677833411963693,1.069256889267821,-0.047765020960723666,1.792562099586324,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
39,4.916525867840504,24.200658261455757,0.9754873242726475,-0.04784263462694534,1.8066666932079605,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
40,4.983442034288131,24.86219620940524,1.0479365830703238,-0.040324989357726694,1.831750397260422,HP03,0.03,1,0.0013563590251953162,0.05665115270940757,0.0004775310764915326,0.6471645815504841,77.47284950691068,0.07747310922666914,0.21084726000570572,1.0,8.881784197001252e-16,0.02620135544615567,39.99551035532704,0.2276390323749805,2.9161506296626416,-2.526121130032923,0.179375,-0.007708993062465456,-0.00027989262018164466,0.9154999852180481,-0.0015308809722891902,-0.0015308722328864115,-0.006029952772205577,-0.004499071799916387,13.305371386403895
41,5.036024388763518,25.388935977538175,1.0520157675572002,-0.052691406941829506,1.8460587345646262,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
42,5.085165690302714,25.88453414366654,0.9781642880546099,-0.049196502149557945,1.851821825522412,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
43,5.139564169550674,26.444186631531725,1.0423278477963107,-0.048596321876667216,1.868734620237319,HP03,0.03,1,,,,,,,,,,,,,,,,,,,,,,,
