seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2,neffS2,zeroS2
37,S2dyn_m50,2,2250,0.027855524497538652,0.93995,0.02695356805473566,-3.234927723033672,-68.20961869900773,-71.44454642204141,0.01359796672637557,0.970525
37,S2dyn_m50,2,3000,0.03590779714645505,0.9295583333333334,0.03490525733878215,-3.7863620619931413,-67.87367133713514,-71.66003339912828,0.017262952450830305,0.9655166666666667
37,S2dyn_m50,2,3750,0.048055075604868984,0.9155583333333334,0.047005380242566265,-3.9769948750239252,-68.54330127335936,-72.52029614838328,0.02309648431301376,0.9586833333333333
37,S2dyn_m50,2,4500,0.05734395922939768,0.9048666666666667,0.0561950606962045,-4.088108256564068,-68.29024989920904,-72.37835815577311,0.02728995978149207,0.953525
37,S2dyn_m50,2,5250,0.0667966027181542,0.8950833333333333,0.0656506125514706,-3.922622850786646,-67.9014360640131,-71.82405891479975,0.03182069246239748,0.9484166666666667
37,S2dyn_m50,2,6000,0.07814148392288052,0.8824916666666667,0.0768872046649456,-3.949740932458177,-67.7679507688788,-71.71769170133699,0.03785854298970961,0.9421416666666667
37,S2dyn_m25,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.0026401531543657165,0.9817416666666666
37,S2dyn_m25,1,750,0.0012562403505988267,0.992325,0.0004992622037728627,0.34312392762148813,-63.33173191421926,-62.98860798659777,0.0005984253322035366,0.9983333333333333
37,S2dyn_m25,1,1500,0.0025420837252530036,0.98535,0.0016675625026226044,1.2693965330261796,-62.76954925993085,-61.500152726904666,0.0008474190593623582,0.9965916666666667
37,S2dyn_m25,1,2250,0.010293726001837488,0.9667416666666667,0.009305415469904741,3.1123471758879604,-61.536701692252606,-58.424354516364644,0.0025375499475744695,0.9918583333333333
37,S2dyn_m25,1,3000,0.033380530041125615,0.9175833333333333,0.031963787177205084,6.298324578444174,-60.094488147993296,-53.79616356954912,0.008255916921593758,0.97985
37,S2dyn_m25,1,3750,0.07189427081974477,0.8612583333333333,0.06998598349541425,9.244932231947857,-59.310704305723554,-50.0657720737757,0.01742264416578143,0.965475
37,S2dyn_m25,1,4500,0.13786516090139422,0.77985,0.13526850605010987,15.439905604273399,-58.186246018668825,-42.746340414395426,0.034630645935545865,0.9445583333333334
37,S2dyn_m25,1,5250,0.16945462385295698,0.7596166666666667,0.1670892389809092,17.66430013611253,-56.95561203880347,-39.29131190269094,0.04233336063250502,0.939175
37,S2dyn_m25,1,6000,0.21776994032890545,0.7097416666666667,0.21529958851685127,26.639870359797847,-55.73504946209987,-29.095179102302026,0.05478433811481853,0.926775
37,S2dyn_m25,2,0,0.21776994032890545,0.7097416666666667,0.21529958851685127,26.639870359797847,-55.73504946209987,-29.095179102302026,0.05478433811481853,0.926775
37,S2dyn_m25,2,750,0.0830974928126223,0.883425,0.08193518252323072,2.2883436126035055,-69.19397945022385,-66.90563583762034,0.021142511101481,0.9707833333333333
37,S2dyn_m25,2,1500,0.08296089720994662,0.8813583333333334,0.08166208535730839,0.3140991409990316,-68.82871495027294,-68.5146158092739,0.020937175460582776,0.9704333333333334
37,S2dyn_m25,2,2250,0.09660277958656056,0.8638916666666666,0.09521702562669913,0.7742754616753296,-68.20961869900773,-67.4353432373324,0.0242409414349108,0.9658916666666667
37,S2dyn_m25,2,3000,0.11064821536816918,0.84675,0.10911510005791981,2.2653942231778132,-67.87367133713514,-65.60827711395733,0.027671873289830277,0.96165
37,S2dyn_m25,2,3750,0.123938862898693,0.8355,0.12251625431577365,3.4802157967537912,-68.54330127335936,-65.06308547660556,0.031201395387785675,0.9587166666666667
37,S2dyn_m25,2,4500,0.13715953370948492,0.8196333333333333,0.1356562918499112,4.686217896423894,-68.29024989920904,-63.60403200278515,0.034507142141694064,0.9542833333333334
37,S2dyn_m25,2,5250,0.15440928538573875,0.8013916666666666,0.1528019702643156,7.135089753992716,-67.9014360640131,-60.76634631002038,0.038640629946545386,0.9496583333333334
37,S2dyn_m25,2,6000,0.1786247538395731,0.7769083333333333,0.17701069359531005,10.33040542809867,-67.7679507688788,-57.43754534078013,0.04460942694885697,0.9434333333333333
37,S2dyn_s50,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.0085199600364381,0.926025
37,S2dyn_s50,1,750,0.0017330687021066972,0.9871916666666667,0.0008672191460927328,0.8407541751710601,-63.33173191421926,-62.490977739048205,0.0017330687021066972,0.9871916666666667
37,S2dyn_s50,1,1500,0.002560946051251712,0.98245,0.0016855584820111593,1.396505480190167,-62.76954925993085,-61.373043779740684,0.002560946051251712,0.98245
37,S2dyn_s50,1,2250,0.004791878721806125,0.9745416666666666,0.0038806411882241565,1.6592589650897154,-61.536701692252606,-59.877442727162894,0.004791878721806125,0.9745416666666666
37,S2dyn_s50,1,3000,0.005665659120865134,0.9663333333333334,0.00470451030433178,2.109539199527495,-60.094488147993296,-57.9849489484658,0.005665659120865134,0.9663333333333334
37,S2dyn_s50,1,3750,0.008000305480835294,0.95895,0.0069914116566379865,1.8458243041209659,-59.310704305723554,-57.46488000160259,0.008000305480835294,0.95895
37,S2dyn_s50,1,4500,0.010211423570752009,0.949125,0.009170449627935886,2.1296070397568907,-58.186246018668825,-56.056638978911934,0.010211423570752009,0.949125
37,S2dyn_s50,1,5250,0.013373696713809852,0.9347833333333333,0.012048349671065807,2.4328820614522653,-56.95561203880347,-54.522729977351204,0.013373696713809852,0.9347833333333333
37,S2dyn_s50,1,6000,0.01675455860320869,0.9236666666666666,0.015444135486582916,2.2860719819076434,-55.73504946209987,-53.44897748019223,0.01675455860320869,0.9236666666666666
37,S2dyn_s50,2,0,0.01675455860320869,0.9236666666666666,0.015444135486582916,2.2860719819076434,-55.73504946209987,-53.44897748019223,0.01675455860320869,0.9236666666666666
37,S2dyn_s50,2,750,0.0010275419523023072,0.99315,0.0005448022807637851,-1.435055633561967,-69.19397945022385,-70.62903508378582,0.0010275419523023072,0.99315
37,S2dyn_s50,2,1500,0.0013905565769759013,0.98995,0.0009062297627329826,-1.0893780918970704,-68.82871495027294,-69.91809304217001,0.0013905565769759013,0.98995
37,S2dyn_s50,2,2250,0.002153169289711535,0.98515,0.0016776376475890478,-0.5077276451979531,-68.20961869900773,-68.7173463442057,0.002153169289711535,0.98515
37,S2dyn_s50,2,3000,0.0031345083346138647,0.980375,0.0026182685857017835,0.08337156999888441,-67.87367133713514,-67.79029976713625,0.0031345083346138647,0.980375
37,S2dyn_s50,2,3750,0.005329083635144409,0.9736333333333334,0.0047054683645566305,0.5932774621436218,-68.54330127335936,-67.95002381121574,0.005329083635144409,0.9736333333333334
37,S2dyn_s50,2,4500,0.00742326506418461,0.9676333333333333,0.006738202534119288,1.0108647138946825,-68.29024989920904,-67.27938518531437,0.00742326506418461,0.9676333333333333
37,S2dyn_s50,2,5250,0.007386122124284702,0.96815,0.006694472525517146,0.4641685468968877,-67.9014360640131,-67.43726751711621,0.007386122124284702,0.96815
37,S2dyn_s50,2,6000,0.009271638532807719,0.962925,0.008478961692750454,0.5790786516197239,-67.7679507688788,-67.18887211725908,0.009271638532807719,0.962925
37,S2dyn_a02,1,0,0.02836499976585502,0.9075416666666667,0.01993638653109471,0.22200679288228956,-44.64715660688902,-44.42514981400673,0.02836499976585502,0.9075416666666667
37,S2dyn_a02,1,750,0.00660547001110084,0.9759166666666667,0.004154321336249511,0.31808967777787817,-62.25974208347568,-61.9416524056978,0.00660547001110084,0.9759166666666667
37,S2dyn_a02,1,1500,0.00758910308728953,0.9690166666666666,0.006044846101105213,0.9432338928184356,-61.685607890351115,-60.74237399753268,0.00758910308728953,0.9690166666666666
37,S2dyn_a02,1,2250,0.011020209841981758,0.9553916666666666,0.00974843334555626,2.4053041598588423,-60.42276216183056,-58.01745800197172,0.011020209841981758,0.9553916666666666
37,S2dyn_a02,1,3000,0.015999815756407867,0.9345166666666667,0.014534371557335059,3.4184589116139126,-58.954414832024305,-55.535955920410395,0.015999815756407867,0.9345166666666667
37,S2dyn_a02,1,3750,0.020175622619241086,0.9187833333333333,0.01871148941119512,4.052622150206331,-58.14905163354054,-54.096429483334205,0.020175622619241086,0.9187833333333333
37,S2dyn_a02,1,4500,0.024859660971567395,0.9045166666666666,0.02330256024748087,4.236919311785577,-57.01004869005314,-52.77312937826756,0.024859660971567395,0.9045166666666666
37,S2dyn_a02,1,5250,0.030675876309382098,0.8905166666666666,0.028903858677049477,4.288717738534114,-55.77799481150595,-51.48927707297183,0.030675876309382098,0.8905166666666666
37,S2dyn_a02,1,6000,0.03551568436073295,0.8800416666666667,0.0335753183166186,3.9335251607744413,-54.54374203001311,-50.61021686923866,0.03551568436073295,0.8800416666666667
37,S2dyn_a02,2,0,0.03551568436073295,0.8800416666666667,0.0335753183166186,3.9335251607744413,-54.54374203001311,-50.61021686923866,0.03551568436073295,0.8800416666666667
37,S2dyn_a02,2,750,0.0030161723798197405,0.9859,0.002367097005744775,-4.2494011288035685,-68.10376064600845,-72.35316177481202,0.0030161723798197405,0.9859
37,S2dyn_a02,2,1500,0.004015624675030617,0.981525,0.0033716371516386667,-3.678548652723981,-67.73562368365775,-71.41417233638172,0.004015624675030617,0.981525
37,S2dyn_a02,2,2250,0.005306675965318214,0.9748666666666667,0.004615525369346142,-3.1894339102210507,-67.10660846076658,-70.29604237098764,0.005306675965318214,0.9748666666666667
37,S2dyn_a02,2,3000,0.007216787720009856,0.9676583333333333,0.006480598917106787,-3.2767139942610988,-66.76056442783823,-70.03727842209933,0.007216787720009856,0.9676583333333333
37,S2dyn_a02,2,3750,0.009176482903292094,0.961375,0.008364218100905419,-2.4413133048929136,-67.4148300355782,-69.85614334047112,0.009176482903292094,0.961375
37,S2dyn_a02,2,4500,0.01187326154309992,0.953875,0.011037742826839288,-1.9363128137413121,-67.14935405514092,-69.08566686888223,0.01187326154309992,0.953875
37,S2dyn_a02,2,5250,0.014453468561823661,0.9465416666666666,0.013459122252464295,-2.058618433033316,-66.73805193895424,-68.79667037198756,0.014453468561823661,0.9465416666666666
37,S2dyn_a02,2,6000,0.017322451252929714,0.940175,0.01625941652307908,-1.7943845314574816,-66.57596078883286,-68.37034532029034,0.017322451252929714,0.940175
37,S2dyn_felu,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.008545194546731113,0.04505
37,S2dyn_felu,1,750,0.0018824572977608886,0.9864083333333333,0.0010046233798066775,0.9722657273671934,-63.33173191421926,-62.35946618685207,0.002319681707369206,0.158125
37,S2dyn_felu,1,1500,0.0025905673516968685,0.9811083333333334,0.0017047857031226158,1.4390910391395717,-62.76954925993085,-61.33045822079128,0.002970527093049336,0.15196666666666667
37,S2dyn_felu,1,2250,0.0039819004269486605,0.9764583333333333,0.0030888594274719556,1.5354310662832718,-61.536701692252606,-60.00127062596933,0.004360708928930151,0.14385
37,S2dyn_felu,1,3000,0.006262322555629796,0.9655083333333333,0.005277350094417731,1.9604905448040586,-60.094488147993296,-58.133997603189236,0.006567550633368557,0.13594166666666666
37,S2dyn_felu,1,3750,0.009505427773948739,0.95285,0.008349787954986096,2.4557213857425726,-59.310704305723554,-56.85498291998098,0.009830679687806827,0.13275833333333334
37,S2dyn_felu,1,4500,0.01181064754346169,0.944775,0.010802525388697783,2.4114765746455697,-58.186246018668825,-55.774769444023256,0.012095013988189454,0.12743333333333334
37,S2dyn_felu,1,5250,0.01470719656521839,0.9357416666666667,0.013450051894783974,2.0986936606543507,-56.95561203880347,-54.856918378149125,0.014905895461787706,0.12378333333333333
37,S2dyn_felu,1,6000,0.018872175122970018,0.9241166666666667,0.0173541808689634,1.9250377177512312,-55.73504946209987,-53.81001174434864,0.019062033496359623,0.1215
37,S2dyn_felu,2,0,0.018872175122970018,0.9241166666666667,0.0173541808689634,1.9250377177512312,-55.73504946209987,-53.81001174434864,0.019062033496359623,0.1215
37,S2dyn_felu,2,750,0.0010221964162160702,0.9938166666666667,0.0005648186519742012,-2.037557269027608,-69.19397945022385,-71.23153671925145,0.001600608374629749,0.258025
37,S2dyn_felu,2,1500,0.0015633420769533895,0.9907333333333334,0.0010734416633844375,-1.7166394515380439,-68.82871495027294,-70.54535440181098,0.002112963056346509,0.2537916666666667
37,S2dyn_felu,2,2250,0.0024557912225686303,0.9855833333333334,0.00195702133278052,-1.3738971033637082,-68.20961869900773,-69.58351580237144,0.0029751087742215794,0.248225
37,S2dyn_felu,2,3000,0.003936507252078852,0.9795833333333334,0.0033536655306816102,-0.763119112590324,-67.87367133713514,-68.63679044972545,0.004353913496631613,0.24305833333333332
37,S2dyn_felu,2,3750,0.005068505035770244,0.9756833333333333,0.004427920689682166,-0.5199054190256953,-68.54330127335936,-69.06320669238505,0.005559362880305078,0.25104166666666666
37,S2dyn_felu,2,4500,0.007770110378485827,0.9681166666666666,0.006941710477073987,0.12247464808079725,-68.29024989920904,-68.16777525112825,0.008252301904589103,0.24733333333333332
37,S2dyn_felu,2,5250,0.009189618907071923,0.9647,0.008411892514427503,-0.3908902822529878,-67.9014360640131,-68.29232634626608,0.00963686826858359,0.25185
37,S2dyn_felu,2,6000,0.01144057651756728,0.959125,0.010546496927241484,-0.39946178538954896,-67.7679507688788,-68.16741255426835,0.011823003270658175,0.25685833333333336
37,S2dyn_c12,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.0085199600364381,0.926025
37,S2dyn_c12,1,750,0.0014183899416469925,0.9901666666666666,0.0005786047726869583,0.5648672893014309,-63.33173191421926,-62.76686462491783,0.0014183899416469925,0.9901666666666666
37,S2dyn_c12,1,1500,0.001824536666957107,0.986,0.0009516060700019201,0.8942646868286073,-62.76954925993085,-61.87528457310224,0.001824536666957107,0.986
37,S2dyn_c12,1,2250,0.002757246259128597,0.9802666666666666,0.001841447073717912,0.9297738873278916,-61.536701692252606,-60.606927804924716,0.002757246259128597,0.9802666666666666
37,S2dyn_c12,1,3000,0.004368788033063873,0.9713083333333333,0.003424206469456355,1.101133062085878,-60.094488147993296,-58.99335508590742,0.004368788033063873,0.9713083333333333
37,S2dyn_c12,1,3750,0.005900320816461984,0.964475,0.004905278353889783,1.2291850691918516,-59.310704305723554,-58.081519236531705,0.005900320816461984,0.964475
37,S2dyn_c12,1,4500,0.007166871981146188,0.9590916666666667,0.006232974229256312,1.3170088048590347,-58.186246018668825,-56.86923721380979,0.007166871981146188,0.9590916666666667
37,S2dyn_c12,1,5250,0.009082723571072033,0.94925,0.00801955378005902,1.573736836342304,-56.95561203880347,-55.38187520246117,0.009082723571072033,0.94925
37,S2dyn_c12,1,6000,0.011600458646968128,0.9385583333333334,0.010442224896947542,1.5641288189589027,-55.73504946209987,-54.170920643140974,0.011600458646968128,0.9385583333333334
37,S2dyn_c12,2,0,0.011600458646968128,0.9385583333333334,0.010442224896947542,1.5641288189589027,-55.73504946209987,-54.170920643140974,0.011600458646968128,0.9385583333333334
37,S2dyn_c12,2,750,0.0010007486568287278,0.9932166666666666,0.0005338575740655263,0.3795817100086259,-69.19397945022385,-68.81439774021523,0.0010007486568287278,0.9932166666666666
37,S2dyn_c12,2,1500,0.0013139594836605437,0.9911083333333334,0.0008837615743279457,0.9414308969528734,-68.82871495027294,-67.88728405332006,0.0013139594836605437,0.9911083333333334
37,S2dyn_c12,2,2250,0.001495658656996842,0.9882,0.001073104779422283,1.0918941672157108,-68.20961869900773,-67.11772453179202,0.001495658656996842,0.9882
37,S2dyn_c12,2,3000,0.0026246522788394653,0.9812333333333333,0.0020740845402081806,1.6861552870130012,-67.87367133713514,-66.18751605012213,0.0026246522788394653,0.9812333333333333
37,S2dyn_c12,2,3750,0.0038827223177946503,0.9776833333333333,0.003299594955643018,2.0472429501406144,-68.54330127335936,-66.49605832321875,0.0038827223177946503,0.9776833333333333
37,S2dyn_c12,2,4500,0.00537119898325383,0.972525,0.004731958524386088,2.6984387334596946,-68.29024989920904,-65.59181116574935,0.00537119898325383,0.972525
37,S2dyn_c12,2,5250,0.007133457045426803,0.9677083333333333,0.006364337612688542,2.987481221235451,-67.9014360640131,-64.91395484277764,0.007133457045426803,0.9677083333333333
37,S2dyn_c12,2,6000,0.007913635342763778,0.9640333333333333,0.007143544748425484,3.234826585970487,-67.7679507688788,-64.53312418290832,0.007913635342763778,0.9640333333333333
37,S2dyn_c12_m50,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.004655927154697729,0.9631583333333333
37,S2dyn_c12_m50,1,750,0.0018695348634210935,0.9892833333333333,0.0009606605897347132,0.6799686926720664,-63.33173191421926,-62.65176322154719,0.0011320911955572943,0.9949166666666667
37,S2dyn_c12_m50,1,1500,0.003752733363164627,0.98095,0.0028936055998007456,0.9249234139122098,-62.76954925993085,-61.84462584601864,0.001962160249924054,0.9905083333333333
37,S2dyn_c12_m50,1,2250,0.0057747720769632535,0.9722166666666666,0.004937816500167052,0.9460713053074122,-61.536701692252606,-60.59063038694519,0.0030114109379033305,0.9861
37,S2dyn_c12_m50,1,3000,0.010550336196659823,0.9570083333333333,0.009468371626734733,1.6723942014179134,-60.094488147993296,-58.42209394657538,0.005333409219696923,0.9782916666666667
37,S2dyn_c12_m50,1,3750,0.016118854500309268,0.9396416666666667,0.014795383800566197,2.992489453324208,-59.310704305723554,-56.31821485239934,0.007977700206888969,0.969125
37,S2dyn_c12_m50,1,4500,0.023901137025241867,0.9187583333333333,0.022447404683132968,4.083279308833417,-58.186246018668825,-54.10296670983541,0.0117110147446181,0.9587083333333334
37,S2dyn_c12_m50,1,5250,0.02919925954979176,0.9055833333333333,0.027599815250436466,4.2150528687551345,-56.95561203880347,-52.740559170048336,0.0144400631797235,0.9515833333333333
37,S2dyn_c12_m50,1,6000,0.037001107112067756,0.8867833333333334,0.03514288836071889,4.74539906302407,-55.73504946209987,-50.9896503990758,0.018535016406238173,0.9424416666666666
37,S2dyn_c12_m50,2,0,0.037001107112067756,0.8867833333333334,0.03514288836071889,4.74539906302407,-55.73504946209987,-50.9896503990758,0.018535016406238173,0.9424416666666666
37,S2dyn_c12_m50,2,750,0.004993652940609497,0.97675,0.004402665610114733,2.590835245412852,-69.19397945022385,-66.603144204811,0.0026388656060486026,0.9881833333333333
37,S2dyn_c12_m50,2,1500,0.007357166018622931,0.967775,0.00665855343391498,3.5560373353835524,-68.82871495027294,-65.27267761488939,0.0037345639792137064,0.9838583333333333
37,S2dyn_c12_m50,2,2250,0.010969672637237034,0.95755,0.010079822366436323,4.44816950138808,-68.20961869900773,-63.761449197619655,0.005370277485596748,0.9786416666666666
37,S2dyn_c12_m50,2,3000,0.016533254607488973,0.94415,0.015439147282143434,5.839610522539801,-67.87367133713514,-62.034060814595335,0.008204826410547516,0.9718666666666667
37,S2dyn_c12_m50,2,3750,0.019656638001974792,0.9362666666666667,0.018522533976535003,6.6205031911774945,-68.54330127335936,-61.92279808218187,0.00958382703448953,0.967925
37,S2dyn_c12_m50,2,4500,0.026999199322782982,0.9198583333333333,0.02556430311650038,7.884945817175318,-68.29024989920904,-60.40530408203372,0.013154067431616965,0.9595583333333333
37,S2dyn_c12_m50,2,5250,0.03099275080029959,0.9103166666666667,0.029488919625679653,8.633790096209024,-67.9014360640131,-59.26764596780407,0.015228206498842416,0.9546083333333333
37,S2dyn_c12_m50,2,6000,0.033412318496288965,0.905125,0.03180030650397142,8.665221921601248,-67.7679507688788,-59.10272884727756,0.016489403920596623,0.952075
37,S2dyn_c12_a02,1,0,0.02836499976585502,0.9075416666666667,0.01993638653109471,0.22200679288228956,-44.64715660688902,-44.42514981400673,0.02836499976585502,0.9075416666666667
37,S2dyn_c12_a02,1,750,0.006269462515091034,0.9770166666666666,0.0037379511947433154,0.1977844184103286,-62.25974208347568,-62.06195766506535,0.006269462515091034,0.9770166666666666
37,S2dyn_c12_a02,1,1500,0.00675391034268932,0.9710333333333333,0.005320495750506719,0.8744522401686874,-61.685607890351115,-60.81115565018243,0.00675391034268932,0.9710333333333333
37,S2dyn_c12_a02,1,2250,0.009335448926528165,0.9608833333333333,0.0082230518852671,2.235896765469685,-60.42276216183056,-58.18686539636088,0.009335448926528165,0.9608833333333333
