env,checkpoint,layer,seed,branch,pool,first_auc,all_auc,first_end_ce,all_end_ce,first_end_acc,all_end_acc
RL,20,2,0,C20,100,2.375270690023899,2.2996636170148848,2.031538963317871,2.2098904132843016,0.2150000035762787,0.14300000220537185
RL,20,2,0,D20,100,2.7832421496510507,2.349424369037151,2.0468199253082275,2.166823482513428,0.2058333456516266,0.1565000057220459
RL,20,2,0,C5,100,2.3042132765054704,2.3003079545497895,2.168381452560425,2.26023850440979,0.1574999988079071,0.12216666787862777
RL,20,2,0,D5,100,2.379205609858036,2.3204311165213585,2.1678993701934814,2.2680423259735107,0.1525000035762787,0.11650000214576721
RL,20,2,0,C10,100,2.3620013177394865,2.3061387234926225,2.1274306774139404,2.243707036972046,0.1691666692495346,0.12833333611488343
RL,20,2,0,D10,100,2.6176009491086005,2.348529714643955,2.0888030529022217,2.225707674026489,0.1899999976158142,0.13450000286102295
RL,20,2,0,RB20,100,2.304756020009518,2.2957279109954833,2.2989094257354736,2.26782546043396,0.11916667222976685,0.118333338201046
RL,20,2,0,RC20,100,2.3257858783006666,2.272926334738732,1.8808281421661377,2.1421844005584716,0.27666667103767395,0.1695000037550926
RL,20,2,0,RD20,100,2.7838140815496444,2.3463390672206876,1.944506049156189,2.13009717464447,0.24416667222976685,0.17066667079925538
RL,20,2,1,A,99,2.2910610169172285,2.2999981123209,2.2710375785827637,2.2895318984985353,0.1366666704416275,0.12183333486318589
RL,20,2,1,B20,99,2.2976059511303903,2.2879748031497003,2.278442144393921,2.267457151412964,0.13166667520999908,0.12750000655651092
RL,20,2,1,C20,99,2.4151892021298407,2.312140095233917,2.126546621322632,2.2384905338287355,0.1925000101327896,0.1433333396911621
RL,20,2,1,D20,99,2.5970456689596175,2.325389956831932,2.089278221130371,2.1991085529327394,0.20000000298023224,0.14833333641290664
RL,20,2,1,C5,99,2.481426106393337,2.3389273840188975,2.295954704284668,2.2964860439300536,0.12583333253860474,0.11816666871309281
RL,20,2,1,D5,99,2.547719329595566,2.351119627356529,2.2597615718841553,2.2870831966400145,0.13750000298023224,0.12316666841506958
RL,20,2,1,C10,99,2.4724141016602514,2.3355755764245982,2.2041068077087402,2.275444173812866,0.1599999964237213,0.12683333307504654
RL,20,2,1,D10,99,2.6031506031751634,2.357277029454708,2.210998058319092,2.2701366424560545,0.15583333373069763,0.12966666668653487
RL,20,2,1,RB20,99,2.282524061203003,2.296857510209084,2.251718282699585,2.283376407623291,0.14000000059604645,0.12183333486318589
RL,20,2,1,RC20,99,2.9891608133912086,2.415125579833984,2.0451245307922363,2.1970813274383545,0.22166667878627777,0.156166672706604
RL,20,2,1,RD20,99,3.4815248802304266,2.4910029423236844,2.007645606994629,2.1537803649902343,0.2316666692495346,0.1695000037550926
RL,20,2,2,A,100,2.3037026926875113,2.30478117197752,2.290235757827759,2.291921615600586,0.1158333346247673,0.11600000262260438
RL,20,2,2,B20,100,2.30600598603487,2.288466119170189,2.2992429733276367,2.252345848083496,0.11083333939313889,0.12450000196695328
RL,20,2,2,C20,100,2.475317467749119,2.31719542235136,2.0327515602111816,2.2058597087860106,0.19500000774860382,0.14483333379030228
RL,20,2,2,D20,100,3.136245596408844,2.438218352496624,2.0965347290039062,2.2062923431396486,0.16500000655651093,0.1410000056028366
RL,20,2,2,C5,100,2.479664844274521,2.338126720786095,2.273460865020752,2.2855271339416503,0.12250000238418579,0.11933333873748779
RL,20,2,2,D5,100,2.6031128019094467,2.3663206773996355,2.2693440914154053,2.2968429565429687,0.1066666692495346,0.11033333539962768
RL,20,2,2,C10,100,2.509716588258743,2.3446076616644858,2.19978404045105,2.2763887882232665,0.15000000596046448,0.1221666693687439
RL,20,2,2,D10,100,2.870436990261078,2.413443036675453,2.2565596103668213,2.2870179653167724,0.12916666269302368,0.1165000006556511
RL,20,2,2,RB20,100,2.2857766479253767,2.2937862688302992,2.2425167560577393,2.265104293823242,0.12666666507720947,0.12133333534002304
RL,20,2,2,RC20,100,2.722127538919449,2.349321836233139,1.8302254676818848,2.132223606109619,0.2708333432674408,0.17333333790302277
RL,20,2,2,RD20,100,3.6899740889668466,2.4981822791695594,1.952440619468689,2.0930541276931764,0.23250000178813934,0.18533333837985994
RL,50,1,0,A,11,2.299679566919804,2.310106984972954,2.2818350791931152,2.3051596164703367,0.1274999976158142,0.11416666656732559
RL,50,1,0,B20,11,2.302132898569107,2.3118221831321715,2.2866451740264893,2.309119367599487,0.12416666746139526,0.11250000149011612
RL,50,1,0,C20,11,2.284477871656418,2.30310447126627,2.2642037868499756,2.2985326766967775,0.13250000774860382,0.11616667062044143
RL,50,1,0,D20,11,2.275916136801243,2.3016522336006164,2.2470617294311523,2.2939735889434814,0.14000000059604645,0.11800000220537185
RL,50,1,0,C5,11,2.2933036148548127,2.3094998094439507,2.2643165588378906,2.303309106826782,0.1300000101327896,0.1133333370089531
RL,50,1,0,D5,11,2.2988892957568168,2.307318968176842,2.2749006748199463,2.2988876342773437,0.12583333253860474,0.1135000005364418
RL,50,1,0,C10,11,2.284417173266411,2.3036340704560283,2.2540316581726074,2.2936758518218996,0.1366666704416275,0.11716667115688324
RL,50,1,0,D10,11,2.2656404688954352,2.2969251015782355,2.2275500297546387,2.2849711894989015,0.13250000774860382,0.11766666918992996
RL,50,1,0,RB20,11,2.302113746106625,2.3109327146410945,2.285644292831421,2.306749773025513,0.125,0.11333333402872085
RL,50,1,0,RC20,11,2.3001626685261725,2.308432409465313,2.2768828868865967,2.300612735748291,0.1274999976158142,0.11416666805744172
RL,50,1,0,RD20,11,2.2595230489969254,2.2927358600497247,2.1897265911102295,2.273570108413696,0.16083334386348724,0.12466667145490647
RL,50,1,1,A,21,2.3061190441250803,2.31127348870039,2.3129029273986816,2.3153669357299806,0.09916666895151138,0.10266666859388351
RL,50,1,1,B20,21,2.3077818349003794,2.3092727464437486,2.3195548057556152,2.3128225803375244,0.10083333402872086,0.1043333351612091
RL,50,1,1,C20,21,2.294394850730896,2.307129780352116,2.275063991546631,2.304265022277832,0.1133333370089531,0.10683333426713944
RL,50,1,1,D20,21,2.276406279206276,2.2935950431227683,2.242068290710449,2.2822710037231446,0.12166666984558105,0.11633333563804626
