step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
8000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.44639,3.43971,0.236399,0.542857,0,0.0394931,3.65117,0.0108166,4.71616,0.383481,2.60769,2.60769,0,0.0788713,0.0456242,0.0456242,0.0296036,nan,0.0456242,0.383481,1.27133,0.988342
8000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.63307,3.77361,0.243562,0.52381,0,0.265556,10.8516,0.0244716,4.81901,0.396836,2.51993,2.51993,0,0.253487,0.0498844,0.0498844,0.0566617,nan,0.0498844,0.396836,1.40262,0.997999
8000,B_w5_K10000_c0.0_k16_lr0.01_s0,0,0,0,4.29521,2.78007,0.212613,0.533333,0,0.0235924,1.0887,0.0216703,4.583,0.39978,2.50138,2.50138,0,0.027691,0.222114,0.222114,0.181758,nan,0.222114,0.39978,1.36761,0.995714
8000,B_w5_K10000_c0.0_k16_lr0.01_s1,0,0,0,4.32283,2.50204,0.221221,0.504762,0,0.00248152,0.374086,0.00663356,4.80698,0.327465,3.05376,3.05376,0,0.029779,0.439348,0.439348,0.571764,nan,-0.439348,0.327465,1.28267,0.991441
9000,B_w5_K10000_c0.0_lr0.003_s0,0,0,0,4.53948,3.77507,0.217989,0.571429,0,0.00273081,0.921789,0.00296252,4.71055,0.385006,2.59736,2.59736,0,0.0269744,nan,nan,nan,nan,nan,0.385006,1.27599,0.994897
9000,B_w5_K10000_c0.0_lr0.003_s1,0,0,0,4.6664,3.78225,0.257513,0.466667,0,0.00224453,0.732952,0.00306232,4.67968,0.450752,2.21852,2.21852,0,0.0239934,nan,nan,nan,nan,nan,0.450752,1.38905,0.999717
9000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.64333,4.07766,0.168347,0.495238,0,0.00347932,0.89697,0.00387897,4.83988,0.315086,3.17374,3.17374,0,0.0284641,nan,nan,nan,nan,nan,0.315086,1.45651,0.996354
9000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.53819,3.55939,0.309501,0.52381,0,0.00154736,0.492972,0.00313885,4.62478,0.45849,2.18107,2.18107,0,0.0231422,nan,nan,nan,nan,nan,0.45849,1.33203,0.999078
9000,B_w5_K10000_c0.0_k16_lr0.003_s0,0,0,0,4.42657,3.38106,0.238282,0.561905,0,0.0945686,2.61759,0.0361281,4.69467,0.379717,2.63354,2.63354,0,0.0826558,0.0337586,0.0337586,0.0206202,nan,0.0337586,0.379717,1.26932,0.979651
9000,B_w5_K10000_c0.0_k16_lr0.003_s1,0,0,0,4.59426,3.50063,0.245764,0.485714,0,0.100263,7.93484,0.0126357,4.82042,0.397564,2.51532,2.51532,0,0.218419,0.0710334,0.0710334,0.071086,nan,0.0710334,0.397564,1.39687,0.998672
