feature,a,seed,phase,n,ba
qabs_mean,0.55,9,3.0,2000,0.4576185391224732
qabs_mean,0.55,9,4.0,2000,0.46717686870747477
qabs_mean,0.55,9,5.0,2000,0.47383162772426457
qabs_mean,0.55,9,6.0,2000,0.47334411715479496
qabs_mean,0.55,9,7.0,2000,0.48775728608442365
qabs_mean,0.55,9,8.0,2000,0.4899545266639107
qabs_mean,0.55,9,9.0,2000,0.5024400363129984
qabs_mean,0.6,5,0.0,2000,0.44266929298813046
qabs_mean,0.6,5,1.0,2000,0.4708183720626533
qabs_mean,0.6,5,2.0,2000,0.5017690723544327
qabs_mean,0.6,5,3.0,2000,0.5040802953572174
qabs_mean,0.6,5,4.0,2000,0.5188016119709458
qabs_mean,0.6,5,5.0,2000,0.5125823269478526
qabs_mean,0.6,5,6.0,2000,0.519593253968254
qabs_mean,0.6,5,7.0,2000,0.5306320306320307
qabs_mean,0.6,5,8.0,1999,0.5272652921485088
qabs_mean,0.6,5,9.0,2000,0.5274487236120623
qabs_mean,0.6,6,0.0,2000,0.39832567605069225
qabs_mean,0.6,6,1.0,2000,0.4645640590040763
qabs_mean,0.6,6,2.0,2000,0.47924219488719
qabs_mean,0.6,6,3.0,1999,0.4895064442839045
qabs_mean,0.6,6,4.0,2000,0.5098321418193563
qabs_mean,0.6,6,5.0,2000,0.5196080214265725
qabs_mean,0.6,6,6.0,2000,0.5162900482905778
qabs_mean,0.6,6,7.0,2000,0.5333435402331976
qabs_mean,0.6,6,8.0,2000,0.5362507762880381
qabs_mean,0.6,6,9.0,1999,0.5533392517895648
qabs_mean,0.6,7,0.0,2000,0.4070252240983948
qabs_mean,0.6,7,1.0,2000,0.4539568345323741
qabs_mean,0.6,7,2.0,2000,0.5034153757437551
qabs_mean,0.6,7,3.0,2000,0.5232815679796514
qabs_mean,0.6,7,4.0,2000,0.5260345239106602
qabs_mean,0.6,7,5.0,2000,0.5330582839009499
qabs_mean,0.6,7,6.0,2000,0.5172374057466369
qabs_mean,0.6,7,7.0,2000,0.5337460913070669
qabs_mean,0.6,7,8.0,1998,0.537969762072725
qabs_mean,0.6,7,9.0,2000,0.5247117794486216
qabs_mean,0.6,8,0.0,2000,0.385138035164094
qabs_mean,0.6,8,1.0,2000,0.4676433485492828
qabs_mean,0.6,8,2.0,2000,0.5041331023348551
qabs_mean,0.6,8,3.0,2000,0.5151117289671507
qabs_mean,0.6,8,4.0,2000,0.5089858793324775
qabs_mean,0.6,8,5.0,2000,0.5238863024707603
qabs_mean,0.6,8,6.0,2000,0.5102359491758504
qabs_mean,0.6,8,7.0,2000,0.5270723008753918
qabs_mean,0.6,8,8.0,2000,0.5175219424690883
qabs_mean,0.6,8,9.0,2000,0.5200798669751359
qabs_mean,0.6,9,0.0,2000,0.41304075235109716
qabs_mean,0.6,9,1.0,2000,0.43708320886573915
qabs_mean,0.6,9,2.0,2000,0.449567899146051
qabs_mean,0.6,9,3.0,2000,0.4747220474092721
qabs_mean,0.6,9,4.0,1999,0.4825862987922812
qabs_mean,0.6,9,5.0,2000,0.48317365634792275
qabs_mean,0.6,9,6.0,2000,0.48770700426734565
qabs_mean,0.6,9,7.0,2000,0.5090476190476191
qabs_mean,0.6,9,8.0,2000,0.5099439227960354
qabs_mean,0.6,9,9.0,2000,0.5210506625192257
qabs_mean,0.65,5,0.0,2000,0.41925112274378556
qabs_mean,0.65,5,1.0,2000,0.49442478571990245
qabs_mean,0.65,5,2.0,2000,0.5236072584373554
qabs_mean,0.65,5,3.0,2000,0.5303251763387742
qabs_mean,0.65,5,4.0,2000,0.5306381691702793
qabs_mean,0.65,5,5.0,2000,0.5358313695314127
qabs_mean,0.65,5,6.0,2000,0.5443553549708725
qabs_mean,0.65,5,7.0,1999,0.5362477477477477
qabs_mean,0.65,5,8.0,2000,0.5468109631147541
qabs_mean,0.65,5,9.0,2000,0.5305388766436118
qabs_mean,0.65,6,0.0,2000,0.42538478005799923
qabs_mean,0.65,6,1.0,2000,0.4730829809081258
qabs_mean,0.65,6,2.0,2000,0.48566149297856614
qabs_mean,0.65,6,3.0,2000,0.5015940606714915
qabs_mean,0.65,6,4.0,2000,0.5069565217391304
qabs_mean,0.65,6,5.0,2000,0.5232500538007707
qabs_mean,0.65,6,6.0,2000,0.511383570373228
qabs_mean,0.65,6,7.0,2000,0.5330991569650743
qabs_mean,0.65,6,8.0,2000,0.540069030687424
qabs_mean,0.65,6,9.0,2000,0.5355093188641099
qabs_mean,0.65,7,0.0,2000,0.4015650249658158
qabs_mean,0.65,7,1.0,2000,0.4728584482718806
qabs_mean,0.65,7,2.0,2000,0.5085406804125253
qabs_mean,0.65,7,3.0,2000,0.5012249787141688
qabs_mean,0.65,7,4.0,2000,0.5283838383838384
qabs_mean,0.65,7,5.0,2000,0.5138886768039856
qabs_mean,0.65,7,6.0,2000,0.5184922824173988
qabs_mean,0.65,7,7.0,2000,0.5387791922822662
qabs_mean,0.65,7,8.0,2000,0.5275396914401064
qabs_mean,0.65,7,9.0,2000,0.5325369887599039
qabs_mean,0.65,8,0.0,2000,0.4066080977845684
qabs_mean,0.65,8,1.0,2000,0.4806626098715348
qabs_mean,0.65,8,2.0,2000,0.5011085874972961
qabs_mean,0.65,8,3.0,2000,0.49669337047203665
qabs_mean,0.65,8,4.0,2000,0.5188154108629778
qabs_mean,0.65,8,5.0,2000,0.5113434740835805
qabs_mean,0.65,8,6.0,2000,0.5380500843639181
qabs_mean,0.65,8,7.0,2000,0.5239455467974088
qabs_mean,0.65,8,8.0,2000,0.5122419193328791
qabs_mean,0.65,8,9.0,2000,0.5232403358510114
qabs_mean,0.65,9,0.0,2000,0.4296083252008107
qabs_mean,0.65,9,1.0,2000,0.4673265393026033
qabs_mean,0.65,9,2.0,2000,0.470252432872051
qabs_mean,0.65,9,3.0,2000,0.4927455721848245
qabs_mean,0.65,9,4.0,2000,0.5033073488231288
qabs_mean,0.65,9,5.0,1999,0.5154623856711144
qabs_mean,0.65,9,6.0,2000,0.5239149114093973
qabs_mean,0.65,9,7.0,2000,0.5261458311446755
qabs_mean,0.65,9,8.0,1999,0.5225772454118911
qabs_mean,0.65,9,9.0,2000,0.5231361477208654
qabs_mean,0.8,5,0.0,2000,0.4342296790009959
qabs_mean,0.8,5,1.0,2000,0.4965046315558062
qabs_mean,0.8,5,2.0,2000,0.48669255087740326
qabs_mean,0.8,5,3.0,2000,0.46150392246564664
qabs_mean,0.8,5,4.0,2000,0.46855838555353413
qabs_mean,0.8,5,5.0,2000,0.48128866257028147
qabs_mean,0.8,5,6.0,2000,0.5092264791973762
qabs_mean,0.8,5,7.0,2000,0.4965593640582332
qabs_mean,0.8,5,8.0,2000,0.514365849179452
qabs_mean,0.8,5,9.0,2000,0.47342046284404826
qabs_mean,0.8,6,0.0,2000,0.46023220241229723
qabs_mean,0.8,6,1.0,2000,0.48366253930817604
qabs_mean,0.8,6,2.0,2000,0.48690084586466165
qabs_mean,0.8,6,3.0,2000,0.509348684321998
qabs_mean,0.8,6,4.0,2000,0.4883491377151538
qabs_mean,0.8,6,5.0,2000,0.49978039042627154
qabs_mean,0.8,6,6.0,2000,0.4849242922975642
qabs_mean,0.8,6,7.0,2000,0.4969740423877115
qabs_mean,0.8,6,8.0,2000,0.5051669316375199
qabs_mean,0.8,6,9.0,2000,0.5044459766592609
qabs_mean,0.8,7,0.0,2000,0.39488338574423476
qabs_mean,0.8,7,1.0,2000,0.5113177126752457
qabs_mean,0.8,7,2.0,2000,0.5485948601630902
qabs_mean,0.8,7,3.0,2000,0.5281952354310244
qabs_mean,0.8,7,4.0,2000,0.5027969970666426
qabs_mean,0.8,7,5.0,2000,0.5278491199232929
qabs_mean,0.8,7,6.0,2000,0.5300651729223158
qabs_mean,0.8,7,7.0,2000,0.5068088273929415
qabs_mean,0.8,7,8.0,2000,0.540464938422468
qabs_mean,0.8,7,9.0,2000,0.5592781993935434
qabs_mean,0.8,8,0.0,2000,0.48408429560379357
qabs_mean,0.8,8,1.0,2000,0.501733548784335
qabs_mean,0.8,8,2.0,2000,0.5111099227252065
qabs_mean,0.8,8,3.0,2000,0.4889898495089109
qabs_mean,0.8,8,4.0,2000,0.4714119135452878
qabs_mean,0.8,8,5.0,2000,0.5411212236796183
qabs_mean,0.8,8,6.0,2000,0.4964055399853065
qabs_mean,0.8,8,7.0,2000,0.5393939393939393
qabs_mean,0.8,8,8.0,2000,0.5199192093956009
qabs_mean,0.8,8,9.0,2000,0.5544807242396501
qabs_mean,0.8,9,0.0,2000,0.4772764848818858
qabs_mean,0.8,9,1.0,2000,0.5225521693102249
qabs_mean,0.8,9,2.0,2000,0.5190002847454117
qabs_mean,0.8,9,3.0,2000,0.5197412509405747
qabs_mean,0.8,9,4.0,2000,0.5158187203480905
qabs_mean,0.8,9,5.0,2000,0.5329847160497876
qabs_mean,0.8,9,6.0,2000,0.49796979749809933
qabs_mean,0.8,9,7.0,2000,0.5334435717238528
qabs_mean,0.8,9,8.0,2000,0.5252613702701269
qabs_mean,0.8,9,9.0,2000,0.5216624040920717
