target,feature,a,seed,slope,intercept,r2,spearman,ba
dsigma2,qcov,0.4000000059604645,7.0,0.08721185,-0.017124627,0.007607400417327881,0.20715458811792833,0.5315521557175878
dsigma2,qcov,0.4000000059604645,8.0,0.08721185,-0.017124627,-0.0027794837951660156,0.1745126640190798,0.5233664123859241
dsigma2,qcov,0.4000000059604645,9.0,0.08721185,-0.017124627,-0.00016582012176513672,0.1740857746825414,0.5236725264189251
dsigma2,qcov,0.44999998807907104,5.0,0.08721185,-0.017124627,0.0018503665924072266,0.19430778299271048,0.5229659965752449
dsigma2,qcov,0.44999998807907104,6.0,0.08721185,-0.017124627,0.0015358924865722656,0.19719942119335654,0.5230684104627766
dsigma2,qcov,0.44999998807907104,7.0,0.08721185,-0.017124627,0.01680576801300049,0.22711945569120512,0.5332767882386202
dsigma2,qcov,0.44999998807907104,8.0,0.08721185,-0.017124627,0.01056528091430664,0.2114578150006582,0.5268662181733295
dsigma2,qcov,0.44999998807907104,9.0,0.08721185,-0.017124627,0.010207056999206543,0.19842359072457497,0.5247520885119169
dsigma2,qcov,0.550000011920929,5.0,0.08721185,-0.017124627,0.01985490322113037,0.21516496021086626,0.5333847046721361
dsigma2,qcov,0.550000011920929,6.0,0.08721185,-0.017124627,0.02026236057281494,0.2161233490442145,0.5305824093561132
dsigma2,qcov,0.550000011920929,7.0,0.08721185,-0.017124627,0.028496384620666504,0.20698285225340873,0.5333497183786318
dsigma2,qcov,0.550000011920929,8.0,0.08721185,-0.017124627,0.025160908699035645,0.21767401349365256,0.5318671462310723
dsigma2,qcov,0.550000011920929,9.0,0.08721185,-0.017124627,0.026055514812469482,0.2123612348380541,0.535292400406771
dsigma2,qcov,0.6000000238418579,5.0,0.08721185,-0.017124627,0.028525233268737793,0.2106397863956828,0.5304294131332314
dsigma2,qcov,0.6000000238418579,6.0,0.08721185,-0.017124627,0.027591705322265625,0.21086514148080732,0.5294554096562327
dsigma2,qcov,0.6000000238418579,7.0,0.08721185,-0.017124627,0.03354114294052124,0.20340556831246637,0.5320983814612552
dsigma2,qcov,0.6000000238418579,8.0,0.08721185,-0.017124627,0.031094908714294434,0.2056488665900032,0.5291242035808272
dsigma2,qcov,0.6000000238418579,9.0,0.08721185,-0.017124627,0.03197741508483887,0.20324973735614263,0.5342194923512575
dsigma2,qcov,0.6499999761581421,5.0,0.08721185,-0.017124627,0.03155440092086792,0.20117410451491435,0.5223450538415371
dsigma2,qcov,0.6499999761581421,6.0,0.08721185,-0.017124627,0.03172719478607178,0.20085305268187015,0.5271147415492103
dsigma2,qcov,0.6499999761581421,7.0,0.08721185,-0.017124627,0.036741673946380615,0.19617828580124805,0.5221326805582662
dsigma2,qcov,0.6499999761581421,8.0,0.08721185,-0.017124627,0.03577083349227905,0.20267889506286615,0.5237994060371656
dsigma2,qcov,0.6499999761581421,9.0,0.08721185,-0.017124627,0.035306692123413086,0.19859146832685107,0.5283786749808653
dsigma2,qcov,0.800000011920929,5.0,0.08721185,-0.017124627,-0.0035036802291870117,0.2346195844826138,0.5110652519306521
dsigma2,qcov,0.800000011920929,6.0,0.08721185,-0.017124627,-0.006887912750244141,0.22449328726050566,0.5111639504270884
dsigma2,qcov,0.800000011920929,7.0,0.08721185,-0.017124627,0.01011592149734497,0.2367668060444544,0.5138148288280355
dsigma2,qcov,0.800000011920929,8.0,0.08721185,-0.017124627,0.0028054118156433105,0.24280966959048966,0.5136555404767384
dsigma2,qcov,0.800000011920929,9.0,0.08721185,-0.017124627,-0.0028162002563476562,0.22717019867770832,0.5116588251481214
dsigma2,qcov_v2,0.3499999940395355,5.0,0.24612372,-0.0092446245,-0.03792715072631836,0.17062034915311666,0.5124618145076101
dsigma2,qcov_v2,0.3499999940395355,6.0,0.24612372,-0.0092446245,-0.05883967876434326,0.1806404090536924,0.5206761000359253
dsigma2,qcov_v2,0.3499999940395355,7.0,0.24612372,-0.0092446245,-0.011284828186035156,0.21460420935710692,0.5319438625411097
dsigma2,qcov_v2,0.3499999940395355,8.0,0.24612372,-0.0092446245,-0.025289177894592285,0.1943384817328,0.5248716053448047
dsigma2,qcov_v2,0.3499999940395355,9.0,0.24612372,-0.0092446245,-0.03736865520477295,0.19168352959330723,0.5222362431259785
dsigma2,qcov_v2,0.4000000059604645,5.0,0.24612372,-0.0092446245,-0.01583850383758545,0.19756082962600163,0.5248450267072271
dsigma2,qcov_v2,0.4000000059604645,6.0,0.24612372,-0.0092446245,-0.031261563301086426,0.2065069506167139,0.5293595425494398
