arm,scope,bin_index,cos_lo,cos_hi,n,valid,p_median,ci_lo,ci_hi,bootstrap_finite,outside_scope_n
std,w_q4,17,0.25,0.29999999999999993,2306,True,0.96875,0.9375,1.0,10000,4410
std,w_q4,18,0.29999999999999993,0.35,360,False,0.96875,0.90625,1.0,10000,4410
std,w_q4,19,0.35,0.3999999999999999,21,False,1.0,1.0,1.0,9698,4410
std,w_q4,20,0.3999999999999999,0.44999999999999984,0,False,,,,0,4410
std,w_q4,21,0.44999999999999984,0.4999999999999999,0,False,,,,0,4410
std,w_q4,22,0.4999999999999999,0.5499999999999999,0,False,,,,0,4410
std,w_q4,23,0.5499999999999999,0.6,0,False,,,,0,4410
centered,all,0,-0.6,-0.5499999999999999,65226,True,0.25,0.21875,0.25,10000,105665
centered,all,1,-0.5499999999999999,-0.5,110551,True,0.25,0.21875,0.25,10000,105665
centered,all,2,-0.5,-0.44999999999999996,181366,True,0.21875,0.1875,0.21875,10000,105665
centered,all,3,-0.44999999999999996,-0.4,308497,True,0.1875,0.15625,0.1875,10000,105665
centered,all,4,-0.4,-0.35,561520,True,0.125,0.125,0.15625,10000,105665
centered,all,5,-0.35,-0.3,902498,True,0.125,0.125,0.125,10000,105665
centered,all,6,-0.3,-0.25,1192618,True,0.125,0.125,0.15625,10000,105665
centered,all,7,-0.25,-0.2,1356522,True,0.15625,0.15625,0.1875,10000,105665
centered,all,8,-0.2,-0.15000000000000002,1430740,True,0.1875,0.15625,0.1875,10000,105665
centered,all,9,-0.15000000000000002,-0.10000000000000003,1451743,True,0.1875,0.1875,0.21875,10000,105665
centered,all,10,-0.10000000000000003,-0.050000000000000044,1439018,True,0.1875,0.1875,0.21875,10000,105665
centered,all,11,-0.050000000000000044,0.0,1412960,True,0.21875,0.1875,0.25,10000,105665
centered,all,12,0.0,0.04999999999999993,1409099,True,0.25,0.21875,0.25,10000,105665
centered,all,13,0.04999999999999993,0.09999999999999998,1425557,True,0.25,0.25,0.28125,10000,105665
centered,all,14,0.09999999999999998,0.1499999999999999,1443386,True,0.28125,0.25,0.3125,10000,105665
centered,all,15,0.1499999999999999,0.19999999999999996,1436856,True,0.3125,0.28125,0.3125,10000,105665
centered,all,16,0.19999999999999996,0.25,1359042,True,0.3125,0.3125,0.34375,10000,105665
centered,all,17,0.25,0.29999999999999993,1190863,True,0.34375,0.3125,0.375,10000,105665
centered,all,18,0.29999999999999993,0.35,892179,True,0.375,0.34375,0.40625,10000,105665
centered,all,19,0.35,0.3999999999999999,561086,True,0.375,0.34375,0.40625,10000,105665
centered,all,20,0.3999999999999999,0.44999999999999984,310773,True,0.34375,0.3125,0.375,10000,105665
centered,all,21,0.44999999999999984,0.4999999999999999,180550,True,0.3125,0.3125,0.34375,10000,105665
centered,all,22,0.4999999999999999,0.5499999999999999,109571,True,0.3125,0.3125,0.34375,10000,105665
centered,all,23,0.5499999999999999,0.6,63114,True,0.34375,0.3125,0.34375,10000,105665
centered,w_q1,0,-0.6,-0.5499999999999999,4339,True,0.21875,0.125,0.3125,10000,3717
centered,w_q1,1,-0.5499999999999999,-0.5,11003,True,0.1875,0.125,0.25,10000,3717
centered,w_q1,2,-0.5,-0.44999999999999996,27796,True,0.125,0.09375,0.15625,10000,3717
centered,w_q1,3,-0.44999999999999996,-0.4,72196,True,0.0625,0.03125,0.09375,10000,3717
centered,w_q1,4,-0.4,-0.35,151508,True,0.0625,0.03125,0.0625,10000,3717
centered,w_q1,5,-0.35,-0.3,214352,True,0.0625,0.0625,0.09375,10000,3717
centered,w_q1,6,-0.3,-0.25,271677,True,0.125,0.0625,0.125,10000,3717
centered,w_q1,7,-0.25,-0.2,311946,True,0.125,0.09375,0.15625,10000,3717
centered,w_q1,8,-0.2,-0.15000000000000002,345055,True,0.15625,0.125,0.1875,10000,3717
centered,w_q1,9,-0.15000000000000002,-0.10000000000000003,386315,True,0.15625,0.125,0.1875,10000,3717
centered,w_q1,10,-0.10000000000000003,-0.050000000000000044,413824,True,0.1875,0.15625,0.21875,10000,3717
centered,w_q1,11,-0.050000000000000044,0.0,409543,True,0.21875,0.1875,0.25,10000,3717
centered,w_q1,12,0.0,0.04999999999999993,406636,True,0.21875,0.1875,0.25,10000,3717
centered,w_q1,13,0.04999999999999993,0.09999999999999998,400911,True,0.25,0.21875,0.28125,10000,3717
centered,w_q1,14,0.09999999999999998,0.1499999999999999,382554,True,0.25,0.21875,0.3125,10000,3717
centered,w_q1,15,0.1499999999999999,0.19999999999999996,352865,True,0.28125,0.25,0.3125,10000,3717
