task,N,N2,D2,cos,arm,kind,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,phi2_probe_fwd,sigma,zbar,posfrac,acc
29,3.7891266944660216,14.374047477869974,0.7907331606295235,-0.051550603598613624,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
30,3.8430858162005705,14.786070848937557,0.7874586720196339,-0.05655474874913828,LIN,linear,0.0,2,0.005129561565901949,1.0,6.387051308594925e-05,1.0,80.31188913417942,0.08951665456540156,1.0,1.0,7.105427357601002e-15,0.02416430420207307,32.587682452370274,1.0,1.0,1.5679078670870175,0.11599507387131051,0.5160546875,0.8946999907493591
31,3.9021764610673495,15.243437368454563,0.7652670957039246,-0.046376972173635476,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
32,3.9572361703617998,15.67789520280027,0.8476402642134793,-0.058733777574835354,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
33,4.009721889989956,16.094263780236787,0.7575524440601789,-0.04999757951225381,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
34,4.06296221154178,16.524797884102504,0.7742406823299979,-0.05068401294914855,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
35,4.113787976791509,16.94090880104136,0.7375169546347212,-0.04638318331885794,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
36,4.166229495948892,17.375374428275364,0.7541029950654178,-0.04654230642299375,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
37,4.220551221385133,17.83067809269677,0.7897948965780257,-0.04525626265325632,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
38,4.269608888600604,18.247016159518786,0.7991723744437522,-0.05276554654194082,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
39,4.31923421865296,18.673110369661025,0.794688564908119,-0.049517913380433196,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
40,4.365085622079133,19.0726452147461,0.7640101048432786,-0.04931070901682636,LIN,linear,0.0,2,0.004934970731910149,1.0,6.243909580754483e-05,1.0,79.03655022681814,0.08777108503339424,1.0,1.0,4.440892098500626e-15,0.024350709657320457,31.375270601758295,1.0,1.0,1.6542656462204866,0.13719528272755493,0.52587890625,0.886900007724762
41,4.4190966149683,19.546669548846296,0.8084333348885049,-0.0436942929411178,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
42,4.473239708575537,20.02965427927921,0.8239850200398231,-0.0431618198147584,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
43,4.52251696061718,20.474304130014154,0.8435019811989365,-0.04948219278141499,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
44,4.572054660044225,20.925701137264465,0.7939773035133623,-0.042891496102664614,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
45,4.618003577418385,21.34839923702789,0.7568986935986577,-0.042851433289421356,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
46,4.663935060634899,21.77548424083784,0.8014486865515417,-0.04672966963073771,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
47,4.706376848934564,22.173244175655963,0.8327965521821826,-0.05265602363284721,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
48,4.753186361275791,22.616274062160322,0.8191822361982729,-0.04622221780628535,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
49,4.800445326993141,23.066739210129548,0.8288176634393986,-0.044437623776972496,LIN,linear,0.0,2,,,,,,,,,,,,,,,,,
